variant_id,variant_name,removed_best_day_pct,final_equity,total_return_pct,CAGR,max_drawdown_pct,Sharpe,edge_stays_positive,top_symbol_pnl_share_pct,top_10pct_days_pnl_share_pct,symbol_concentration_index
calendar_stagger_alt_days,Calendar stagger alt days,1.0,74804.39749423643,199.21758997694573,24.594996043610195,56.96956230162691,0.7905203748750729,True,45.76669378530562,56.52407904225837,0.28924323911453104
calendar_stagger_alt_days,Calendar stagger alt days,2.5,17332.299198923836,-30.670803204304654,-7.085839677554362,88.71708340059904,0.23178178559324683,False,45.76669378530562,56.52407904225837,0.28924323911453104
calendar_stagger_alt_days,Calendar stagger alt days,5.0,-57414.21320957175,-329.656852838287,0.0,271.5192944863337,0.12358803260790396,False,45.76669378530562,56.52407904225837,0.28924323911453104
calendar_stagger_alt_days,Calendar stagger alt days,10.0,-168070.05103248605,-772.2802041299442,0.0,677.5187542063248,-0.1722723959344785,False,45.76669378530562,56.52407904225837,0.28924323911453104
reduced_selection_top3,Reduced selection top 3,1.0,123268.48031592704,393.07392126370814,37.728479158473995,70.26009885040969,0.8929149663919511,True,49.79648864466682,54.931882700142786,0.32744862084337734
reduced_selection_top3,Reduced selection top 3,2.5,21385.923269677965,-14.456306921288142,-3.0842397818515166,110.69283217959376,-0.527735245261158,False,49.79648864466682,54.931882700142786,0.32744862084337734
reduced_selection_top3,Reduced selection top 3,5.0,-112944.71756799624,-551.7788702719849,0.0,317.8609377842001,-0.3058016289032739,False,49.79648864466682,54.931882700142786,0.32744862084337734
reduced_selection_top3,Reduced selection top 3,10.0,-308175.28860058053,-1332.7011544023221,0.0,1044.931951566654,0.45384233931625967,False,49.79648864466682,54.931882700142786,0.32744862084337734
turnover_cap_max_positions_3,Turnover cap max_positions 3,1.0,109883.97350717959,339.5358940287183,34.588644725735264,81.05858748000995,0.8153333962973864,True,46.35521646002406,54.3474750519962,0.30372695529601446
turnover_cap_max_positions_3,Turnover cap max_positions 3,2.5,15291.016512168891,-38.83593395132443,-9.392681004908422,151.9424074586847,0.6133653943029329,False,46.35521646002406,54.3474750519962,0.30372695529601446
turnover_cap_max_positions_3,Turnover cap max_positions 3,5.0,-109972.68885352672,-539.8907554141068,0.0,352.18567125531325,0.49651483376614525,False,46.35521646002406,54.3474750519962,0.30372695529601446
turnover_cap_max_positions_3,Turnover cap max_positions 3,10.0,-290308.1059167972,-1261.2324236671886,0.0,990.1729053010301,0.08687207364848584,False,46.35521646002406,54.3474750519962,0.30372695529601446
