variant_id,base_strategy,family_label,slice_name,scope_note,candidate_for_branch,final_equity,total_return_pct,CAGR,max_drawdown_pct,Sharpe,profit_factor,expectancy,win_rate,average_win,average_loss,payoff_ratio,trade_count,percent_profitable_months,top_symbol,top_symbol_pnl_share_pct,top_10pct_days_pnl_share_pct,non_extreme_day_expectancy,reached_100k_from_25k,trust_adjusted_quality_score,slice_quality_score
csm_native,cross_sectional_momentum,CSM native,megacap_ex_nvda_baseline,CSM native baseline on the prior mega-cap ex-NVDA universe including TSLA.,False,155820.7713164669,523.2830852658677,44.358791341977046,40.02034466148905,1.1728261540260136,2.0947028874030087,65.41038565823347,63.9,195.87184734156122,-165.5172431939727,1.1833923980477092,2000,52.459016393442624,NFLX,25.270117131770466,51.873707964829066,124.14237053910229,True,,
csm_native,cross_sectional_momentum,CSM native,ex_tsla_full,CSM native on the mega-cap ex-NVDA ex-TSLA universe.,True,126443.85901905714,405.7754360762286,38.433094577470484,31.39786031480053,1.1235812182811011,2.2171432740309767,59.84888437702483,65.42772861356933,166.62734358179756,-142.22843858900416,1.171547302598875,1695,49.18032786885246,NFLX,32.48540442149629,49.51408386688425,106.50658046085769,True,0.713723,0.713055
csm_native,cross_sectional_momentum,CSM native,ex_tsla_rising_market,CSM native on the ex-TSLA universe with entry-day regime filter `rising_market`.,False,86699.9720022331,246.7998880089324,28.33933630345864,46.93862743025568,0.8715872460508552,1.9190107877384326,49.359977601786426,63.92,161.24824421691866,-148.86335948355872,1.0831963269962868,1250,44.26229508196721,GOOGL,44.081093822907334,54.60074000021658,64.22048133180336,False,,0.530189
csm_native,cross_sectional_momentum,CSM native,ex_tsla_calm_low_vol,CSM native on the ex-TSLA universe with entry-day regime filter `calm_low_vol`.,False,74312.75865281893,197.25103461127568,24.43026540183606,29.2481415085022,0.8124746763511094,1.818595394744184,43.52405882861331,61.60635481023831,156.9533775077674,-138.4843651669029,1.1333653248047564,1133,39.34426229508197,GOOGL,44.6332230332923,53.11714588049412,76.93637921634196,False,,0.597429
csm_native,cross_sectional_momentum,CSM native,ex_tsla_strong_momentum_participation,CSM native on the ex-TSLA universe with entry-day strong participation filter.,False,42071.12411703363,68.28449646813452,11.007621832001547,37.061926649066955,0.4644434162928789,1.4323601956702825,28.690964902577534,57.14285714285714,166.3373360877984,-154.83753001105026,1.074270146752712,595,24.59016393442623,NFLX,65.37276083925678,53.73131252540794,63.51398790783844,False,,0.484546
csm_native,cross_sectional_momentum,CSM native,remaining_single_leader_stress,CSM native on ex-TSLA days still classified as one-dominant-leader days.,False,96459.66223771348,285.8386489508539,31.115686282806763,36.756686520901575,1.1216449177671999,2.510541164265847,71.6028679736609,67.53507014028057,176.2121476828027,-146.01026327313411,1.2068476813384785,998,50.81967213114754,GOOGL,32.25043887166979,49.53841082706176,58.96253973749048,False,,0.590211
csm_native,cross_sectional_momentum,CSM native,broad_participation_only,CSM native on ex-TSLA days with broad multi-symbol participation.,False,27322.11746455327,9.288469858213077,1.7980452699232208,18.082595696470992,0.19527931327703413,1.1578916503619292,10.50731884413243,56.10859728506787,137.33184593126384,-151.61888073116955,0.9057700813315093,221,32.78688524590164,NFLX,88.01128027145614,55.56879920499731,14.391740239274588,False,,0.378101
csm_native,cross_sectional_momentum,CSM native,ex_tsla_non_extreme_2_5,CSM native on the ex-TSLA universe with both best and worst 2.5% of days removed from the equity path audit.,False,131187.06071947512,424.7482428779005,39.45971267838093,30.76703255050922,1.4065854256856052,2.2171432740309767,59.84888437702483,65.42772861356933,166.62734358179756,-142.22843858900416,1.171547302598875,1695,54.09836065573771,NFLX,32.48540442149629,43.789388987769115,105.84025231630885,True,,
rs_top3_native,relative_strength_vs_benchmark,RS top-3,megacap_ex_nvda_baseline,RS top-3 baseline on the prior mega-cap ex-NVDA universe including TSLA.,False,170802.41374596374,583.2233167178425,47.0429152732855,41.54891126633187,1.2864684991398263,2.1008660260905785,67.31413377006633,64.54293628808865,199.03132360957974,-172.45231335967287,1.15412382549182,2166,55.73770491803278,META,27.16991692536368,49.9804920770207,121.4067151082177,True,,
rs_top3_native,relative_strength_vs_benchmark,RS top-3,ex_tsla_full,RS top-3 on the mega-cap ex-NVDA ex-TSLA universe.,True,150503.13606501126,502.0245823440751,43.35716853038962,26.955535916797977,1.2839552494978672,2.336116975192581,64.79253281621645,65.77181208053692,172.24049049973732,-141.67609175211774,1.2157343442328739,1937,54.09836065573771,NFLX,33.33655241634312,49.029448545055246,116.14290598326103,True,0.763161,0.762466
