template_key,family,removed_best_day_pct,final_equity,total_return_pct,CAGR,max_drawdown_pct,Sharpe,edge_stays_positive
cross_sectional_momentum,Momentum / Relative-Strength Family,1.0,119113.31597618929,376.45326390475714,36.78419578021979,67.00574851917034,0.8805360496504937,True
cross_sectional_momentum,Momentum / Relative-Strength Family,2.5,14584.989293566323,-41.66004282573471,-10.247995865124505,118.10693591687604,0.4387467100535938,False
cross_sectional_momentum,Momentum / Relative-Strength Family,5.0,-123838.40393668856,-595.3536157467541,0.0,408.52047047885486,0.5382762730750633,False
cross_sectional_momentum,Momentum / Relative-Strength Family,10.0,-322114.97517815477,-1388.4599007126192,0.0,1193.8319574013549,0.4953021929502796,False
down_streak_exhaustion,Down Streak Exhaustion,1.0,22964.850109711097,-8.140599561155614,-1.6891993261344052,12.73885746420943,-0.3539649390789587,False
down_streak_exhaustion,Down Streak Exhaustion,2.5,17972.738540350634,-28.109045838597467,-6.40695883242538,28.551841624447448,-1.4187110712613973,False
down_streak_exhaustion,Down Streak Exhaustion,5.0,13716.707203849019,-45.133171184603924,-11.346491584252128,45.471110788630675,-2.4634226555844116,False
down_streak_exhaustion,Down Streak Exhaustion,10.0,9488.381979570793,-62.04647208171683,-17.665388991130193,62.10824743146037,-3.4385342875501315,False
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,1.0,125666.63039453783,402.66652157815133,38.26194671897376,70.30788792319925,0.8853004479275496,True
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,2.5,11520.080144879204,-53.91967942048318,-14.397040997345334,118.97886937187411,-0.39310935341940667,False
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,5.0,-137663.802586385,-650.65521034554,0.0,381.9015373567228,-0.4096155727361537,False
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,10.0,-358270.6455736805,-1533.082582294722,0.0,1179.8520529237485,0.07877388353192054,False
