winner_id,variant,entry_mode,timeframe_min,timeframe_label,layer_id,is_baseline_layer,start_offset_min,cutoff,trend_filter,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,baseline_layer_id,baseline_start_offset_min,baseline_cutoff,baseline_trend_filter,baseline_ending_equity,baseline_total_return_pct,baseline_cagr_pct,baseline_max_drawdown_pct,baseline_sharpe,baseline_profit_factor,baseline_trade_count,baseline_win_count,baseline_win_rate_pct,baseline_avg_trade_return_pct,baseline_avg_holding_bars,baseline_avg_holding_minutes,baseline_exposure_pct,delta_total_return_pct,delta_cagr_pct,delta_max_drawdown_pct,delta_sharpe,delta_profit_factor,delta_trade_count,beats_frozen_return,beats_frozen_sharpe
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_none_trend_none,True,0,none,none,0.0,1.25,3.5,281411.6368944062,181.41163689440623,23.296617503283112,12.397117447220174,1.4829041308457755,1.2539248201035478,1560,717,45.96153846153846,783,777,1245,0.06976192916274586,19.412179487179486,194.12179487179486,60.26361857687159,11816,7888,start_00_cutoff_none_trend_none,0,none,none,281411.6368944062,181.41163689440623,23.296617503283112,12.397117447220174,1.4829041308457755,1.2539248201035478,1560,717,45.96153846153846,0.06976192916274586,19.412179487179486,194.12179487179486,60.26361857687159,0.0,0.0,0.0,0.0,0.0,0,False,False
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_none_trend_none,True,0,none,none,2.0,1.25,3.5,150770.08929846933,50.77008929846934,8.66575794855744,16.722909560076694,0.6270996475217057,1.2539248201035478,1560,717,45.96153846153846,783,777,1245,0.06976192916274586,19.412179487179486,194.12179487179486,60.26361857687159,11816,7888,start_00_cutoff_none_trend_none,0,none,none,150770.08929846933,50.77008929846934,8.66575794855744,16.722909560076694,0.6270996475217057,1.2539248201035478,1560,717,45.96153846153846,0.06976192916274586,19.412179487179486,194.12179487179486,60.26361857687159,0.0,0.0,0.0,0.0,0.0,0,False,False
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_00_cutoff_none_trend_none,True,0,none,none,0.0,0.5,4.25,243931.77838219667,143.93177838219668,19.780701778633293,8.512294073301819,1.6062196711365744,1.2868996311435759,1328,564,42.46987951807229,674,654,1245,0.06992782914486631,11.079819277108435,166.1972891566265,41.60024714241582,6455,4597,start_00_cutoff_none_trend_none,0,none,none,243931.77838219667,143.93177838219668,19.780701778633293,8.512294073301819,1.6062196711365744,1.2868996311435759,1328,564,42.46987951807229,0.06992782914486631,11.079819277108435,166.1972891566265,41.60024714241582,0.0,0.0,0.0,0.0,0.0,0,False,False
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_00_cutoff_1430_trend_none,False,0,14:30,none,2.0,0.5,4.25,145305.11600752862,45.305116007528625,7.856722603608723,10.414128425629443,0.7113285078088554,1.2950734636989505,1205,508,42.15767634854772,605,600,1245,0.07392803001042422,11.981742738589212,179.72614107883817,41.06889094840902,6455,4597,start_00_cutoff_none_trend_none,0,none,none,143399.6463983002,43.399646398300185,7.568927945298243,13.696692505074104,0.6768721538591594,1.2868996311435759,1328,564,42.46987951807229,0.06992782914486631,11.079819277108435,166.1972891566265,41.60024714241582,1.9054696092284402,0.2877946583104807,-3.2825640794446613,0.03445635394969593,0.008173832555374627,-123,True,True
