variant_id,base_strategy,removed_symbol,comparison_scope,baseline_slice,comparison_slice,baseline_total_return_pct,comparison_total_return_pct,return_delta_pct_points,baseline_final_equity,comparison_final_equity,final_equity_delta,baseline_non_extreme_expectancy,comparison_non_extreme_expectancy,non_extreme_expectancy_delta,baseline_top_symbol_share_pct,comparison_top_symbol_share_pct,top_symbol_share_delta_pct_points
csm_native,cross_sectional_momentum,AAPL,broad_participation,broad_participation_only,ex_aapl_broad_participation_only,9.077537450716399,-0.6339854323953675,-9.711522883111765,27269.3843626791,24841.50364190116,-2427.880720777939,16.20524770292291,14.172127171096063,-2.0331205318268477,90.29916936182299,100.0,9.70083063817701
csm_native,cross_sectional_momentum,META,broad_participation,broad_participation_only,ex_meta_broad_participation_only,9.077537450716399,4.471081172052194,-4.606456278664205,27269.3843626791,26117.770293013047,-1151.6140696660514,16.20524770292291,10.896863297487224,-5.308384405435687,90.29916936182299,100.0,9.70083063817701
csm_native,cross_sectional_momentum,AAPL,full,ex_tsla_full,ex_aapl_full,405.7754360762286,379.52268144093983,-26.25275463528874,126443.85901905714,119880.67036023496,-6563.188658822182,106.50658046085769,107.87716831579901,1.37058785494132,32.48540442149629,34.3982178992774,1.912813477781107
csm_native,cross_sectional_momentum,META,full,ex_tsla_full,ex_meta_full,405.7754360762286,299.3935428673815,-106.38189320884709,126443.85901905714,99848.38571684538,-26595.473302211758,106.50658046085769,79.65020857885095,-26.85637188200674,32.48540442149629,43.59642978312721,11.111025361630922
dse_control_native,down_streak_exhaustion,AAPL,broad_participation,broad_participation_only,ex_aapl_broad_participation_only,-0.806153982930069,-0.4341962323608062,0.37195775056926283,24798.46150426748,24891.4509419098,92.98943764231808,0.0,0.0,0.0,100.0,100.0,0.0
dse_control_native,down_streak_exhaustion,META,broad_participation,broad_participation_only,ex_meta_broad_participation_only,-0.806153982930069,0.03159324311527989,0.8377472260453489,24798.46150426748,25007.89831077882,209.43680651133764,0.0,0.0,0.0,100.0,100.0,0.0
dse_control_native,down_streak_exhaustion,AAPL,full,ex_tsla_full,ex_aapl_full,9.314936742213153,6.234828279600979,-3.0801084626121735,27328.73418555329,26558.707069900247,-770.0271156530434,0.5755957171745768,1.8605978666221414,1.2850021494475645,53.831264985375896,67.43208786953304,13.60082288415714
dse_control_native,down_streak_exhaustion,META,full,ex_tsla_full,ex_meta_full,9.314936742213153,1.0943651277585342,-8.220571614454618,27328.73418555329,25273.591281939633,-2055.142903613658,0.5755957171745768,-1.6736458739011941,-2.249241591075771,53.831264985375896,56.31316292712481,2.4818979417489118
rs_top3_native,relative_strength_vs_benchmark,AAPL,broad_participation,broad_participation_only,ex_aapl_broad_participation_only,37.477302628236295,25.78214184288017,-11.695160785356126,34369.325657059075,31445.535460720042,-2923.7901963390323,27.346780415130144,21.71254062017176,-5.634239794958383,53.55154280927794,75.45136000012972,21.899817190851785
rs_top3_native,relative_strength_vs_benchmark,META,broad_participation,broad_participation_only,ex_meta_broad_participation_only,37.477302628236295,6.219218258560177,-31.25808436967612,34369.325657059075,26554.804564640042,-7814.521092419032,27.346780415130144,10.055836649970205,-17.290943765159938,53.55154280927794,100.0,46.44845719072206
rs_top3_native,relative_strength_vs_benchmark,AAPL,full,ex_tsla_full,ex_aapl_full,502.0245823440751,479.3681045429272,-22.6564778011479,150503.13606501126,144839.12987446133,-5664.0061905499315,116.14290598326103,122.69099846572107,6.548092482460035,33.33655241634312,36.977503598925225,3.640951182582107
rs_top3_native,relative_strength_vs_benchmark,META,full,ex_tsla_full,ex_meta_full,502.0245823440751,351.248896596056,-150.7756857480191,150503.13606501126,112809.96835568968,-37693.167709321584,116.14290598326103,91.24731620823957,-24.895589775021463,33.33655241634312,50.77901594214255,17.442463525799432
