candidate_id,variant,entry_mode,timeframe_min,timeframe_label,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,3.5,281411.6368944062,181.41163689440623,23.296617503283112,12.397117447220174,1.4829041308457755,1.2539248201035478,1560,717,45.96153846153846,783,777,1245,0.06976192916274586,19.412179487179486,194.12179487179486,60.26361857687159,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,3.75,273563.6663405513,173.56366634055126,22.592763741150357,12.397117447220252,1.4490315659230741,1.2485219772317964,1555,714,45.91639871382637,781,774,1245,0.06812763052287137,19.47524115755627,194.7524115755627,60.28009473792606,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,3.25,271830.822865581,171.830822865581,22.43518529791264,13.138014929139796,1.4201808847853092,1.2453447931658004,1555,715,45.98070739549839,779,776,1245,0.06771927219384614,19.529903536977493,195.2990353697749,60.502522912161474,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,1.75,271750.8209005425,171.7508209005425,22.427890884635303,12.877064378162139,1.4593319295242357,1.2299505830858157,1660,773,46.566265060240966,829,831,1245,0.0632243997800738,18.227710843373494,182.27710843373495,60.0,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,4.5,271695.2546797941,171.69525467979406,22.42282346384119,12.397117447220197,1.4640276490553286,1.2482530484071628,1550,711,45.87096774193548,779,771,1245,0.0679283242827569,19.538064516129033,195.38064516129032,60.29039233858511,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,1.5,271665.9517595799,171.6659517595799,22.42015081986317,13.148714843656684,1.4532296744137105,1.2232139305423764,1703,804,47.21080446271286,847,856,1245,0.061592775524325245,17.815619495008807,178.15619495008806,60.13180928843579,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,4.5,270175.7551700184,170.1757551700184,22.28392965641468,13.138014929139896,1.4395547001539302,1.246766774698358,1546,710,45.924967658473484,776,770,1245,0.06776807790939018,19.64424320827943,196.4424320827943,60.52723715374317,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,3.0,269415.9370535983,169.41593705359827,22.214242704100084,12.545888888758084,1.4409305523110858,1.2432070286330756,1561,717,45.93209481101857,782,779,1245,0.06680849932513662,19.399743754003843,193.99743754003845,60.26361857687159,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,3.25,269247.19926009397,169.24719926009396,22.198745598433156,12.397117447220197,1.431984946513094,1.2415945471974847,1563,716,45.80934101087652,782,781,1245,0.06676947114980536,19.375559820857326,193.75559820857325,60.26155905673978,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,3.0,268673.3254829258,168.6733254829258,22.145982221276263,13.285528142829438,1.4159411397286925,1.2425688527239966,1556,716,46.01542416452442,779,777,1245,0.06687285709667601,19.517352185089976,195.17352185089976,60.502522912161474,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,4.25,268229.19056406384,168.22919056406383,22.105085618245933,12.397117447220241,1.453598888312428,1.2451058362051362,1550,711,45.87096774193548,779,771,1245,0.06706716728018397,19.538064516129033,195.38064516129032,60.29039233858511,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,2.0,268079.3850310924,168.0793850310924,22.091279121105,12.189875625329648,1.4548305672195256,1.2330382814089633,1623,756,46.58040665434381,810,813,1245,0.06381587006152878,18.653727664818238,186.53727664818237,60.11533312738132,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,3.5,267973.65484089806,167.97365484089806,22.0815310262501,13.138014929139807,1.4467135737256767,1.2418067492924834,1555,715,45.98070739549839,779,776,1245,0.06683279979306944,19.529903536977493,195.2990353697749,60.502522912161474,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,1.5,267455.17800540867,167.45517800540867,22.033684129906362,12.407908627665643,1.450124558402215,1.2183900581238165,1715,807,47.055393586005835,854,861,1245,0.06023897735478638,17.634402332361518,176.34402332361518,59.84759551024611,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,4.25,266729.0755765948,166.7290755765948,21.96655229767881,13.13801492913983,1.4290591208017136,1.243622893960872,1546,710,45.924967658473484,776,770,1245,0.06690469281625432,19.64424320827943,196.4424320827943,60.52723715374317,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,2.0,265739.36963153083,165.73936963153085,21.874813856801858,12.955071106894378,1.415718358586752,1.2304054385702765,1618,755,46.66254635352286,807,811,1245,0.06351838363710748,18.76390605686032,187.6390605686032,60.3542374626712,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,1.75,265347.1497586928,165.34714975869278,21.83838256025925,13.320583617162917,1.4313903905061809,1.2257910348869785,1647,768,46.63023679417122,821,826,1245,0.062279811883170624,18.421979356405586,184.21979356405586,60.249201935948925,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.75,1.5,264570.9943052325,164.5709943052325,21.766162674359336,13.307015764067675,1.414016998467665,1.217139220340838,1701,803,47.20752498530276,845,856,1245,0.06012906560383148,17.84656084656085,178.46560846560848,60.19359489239007,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,4.0,263828.4964213873,163.82849642138729,21.696916241961883,12.397117447220197,1.441830142412494,1.2409738248962716,1551,711,45.84139264990329,779,772,1245,0.06591748620156207,19.52546744036106,195.25467440361058,60.288332818453306,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,2.25,263495.6561824278,163.49565618242775,21.665824611712246,12.433622412458478,1.4191986542407242,1.2310870388805837,1599,739,46.21638524077549,801,798,1245,0.06376045586245864,18.93558474046279,189.3558474046279,60.17094017094017,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.25,2.5,263047.4698459899,163.04746984598987,21.623908620849107,12.400197717352135,1.4054771039764284,1.232718679747674,1582,727,45.954487989886225,791,791,1245,0.06438812720480698,19.139696586599243,191.39696586599243,60.210071053444544,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,4.0,262352.99302531476,162.35299302531473,21.558846006603428,13.138014929139775,1.4178607990151262,1.2394957821050732,1547,710,45.89528118939884,776,771,1245,0.06575214409067019,19.631544925662574,196.31544925662575,60.52517763361137,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.0,3.5,262290.5171178482,162.29051711784822,21.552986169333455,12.124668245510595,1.420041361209023,1.2340160599580623,1577,717,45.466074825618264,792,785,1245,0.06450699911004426,19.040583386176284,190.40583386176283,59.577798372979096,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,2.25,3.25,262251.5089804067,162.25150898040667,21.54932689300797,12.958961107035327,1.3647006076886095,1.2359387973357356,1554,715,46.01029601029601,778,776,1245,0.06547516530855396,19.562419562419564,195.62419562419564,60.605498918751934,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,2.25,4.5,262134.23475000783,162.13423475000783,21.53832301399379,12.958961107035204,1.39237817489717,1.238861789279873,1545,710,45.9546925566343,775,770,1245,0.06586979012909512,19.676375404530745,196.76375404530745,60.62609412007003,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,2.25,3.5,261905.57161431003,161.90557161431002,21.516856181237152,12.958961107035217,1.3978896448417037,1.236433853601902,1553,715,46.03992273019961,777,776,1245,0.06544464009902755,19.575016097875082,195.7501609787508,60.60961795901555,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,2.25,261757.6889806725,161.7576889806725,21.502965038681165,13.174211155258753,1.393518623710748,1.229632135636428,1592,738,46.35678391959799,797,795,1245,0.0636582063762059,19.07537688442211,190.7537688442211,60.4222016270209,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,2.0,1.5,261433.62104635674,161.43362104635673,21.472502281578954,12.969683077927929,1.39747930518452,1.214152432699085,1700,803,47.23529411764706,844,856,1245,0.05948283074144534,17.86,178.6,60.21419009370816,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,2.0,3.25,261196.14127120338,161.19614127120337,21.450159782906542,12.958961107035272,1.3604792614852974,1.2347775912885057,1554,715,46.01029601029601,778,776,1245,0.06521419097826006,19.556628056628057,195.56628056628057,60.57872515703841,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,3.75,261193.55400767006,161.19355400767006,21.4499162795758,13.138014929139786,1.4186975699213127,1.2372158218001437,1550,712,45.935483870967744,777,773,1245,0.06534507074026075,19.593548387096774,195.93548387096774,60.51899907321594,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,2.25,1.5,261152.422073961,161.152422073961,21.446044841140612,12.96968307792794,1.3935267586971811,1.2139096309077206,1700,803,47.23529411764706,844,856,1245,0.05942727433513749,17.86529411764706,178.65294117647062,60.24096385542169,11816,7888
dominant_count_10m,active_dominant_count_session_reset,always_on_active,10,10m,0.0,1.5,2.5,260923.25306720161,160.9232530672016,21.42446598468515,13.141069148024286,1.3792514624796646,1.2308312926981608,1576,726,46.06598984771574,788,788,1245,0.06415188561581853,19.26967005076142,192.6967005076142,60.459272989393476,11816,7888
