strategy_id,date,total_pnl_dollars,total_pnl_pct,number_of_trades,number_of_symbols_traded,winning_trades_count,losing_trades_count,biggest_winner_contribution,biggest_loser_contribution,top_symbol,top_symbol_contribution,top_symbol_pct_of_day_pnl,cumulative_equity_before_day,cumulative_equity_after_day,rolling_drawdown_before_day,rolling_drawdown_after_day,positive_symbols_count,negative_symbols_count,rising_market,falling_or_volatile,calmer,regime_primary,spy_vol_20d,volatility_bucket,gap_pct,uptrend_regime,trend_stack_regime,dominant_symbol_family,gap_bucket,day_of_week,breadth_proxy,participation_type,gap_continuation_label,strategy_label
cross_sectional_momentum,2021-03-24 00:00:00+00:00,0.0,0.0,0,0,0,0,0.0,0.0,,0.0,0.0,25000.0,25000.0,0.0,0.0,0,0,False,True,False,falling_or_volatile,,high_vol,,,,all_other,-1% to 1%,Wednesday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-03-25 00:00:00+00:00,0.0,0.0,0,0,0,0,0.0,0.0,,0.0,0.0,25000.0,25000.0,0.0,0.0,0,0,True,False,False,rising_market,,high_vol,,,,all_other,-1% to 1%,Thursday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-03-26 00:00:00+00:00,0.0,0.0,0,0,0,0,0.0,0.0,,0.0,0.0,25000.0,25000.0,0.0,0.0,0,0,True,False,False,rising_market,,high_vol,,,,all_other,-1% to 1%,Friday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-03-29 00:00:00+00:00,0.0,0.0,0,0,0,0,0.0,0.0,,0.0,0.0,25000.0,25000.0,0.0,0.0,0,0,True,False,False,rising_market,,high_vol,,,,all_other,-1% to 1%,Monday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-03-30 00:00:00+00:00,0.0,0.0,0,0,0,0,0.0,0.0,,0.0,0.0,25000.0,25000.0,0.0,0.0,0,0,True,False,False,rising_market,,high_vol,,,,all_other,-1% to 1%,Tuesday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-03-31 00:00:00+00:00,0.0,0.0,0,0,0,0,0.0,0.0,,0.0,0.0,25000.0,25000.0,0.0,0.0,0,0,True,False,False,rising_market,,high_vol,,,,all_other,-1% to 1%,Wednesday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-04-01 00:00:00+00:00,0.0,0.0,0,0,0,0,0.0,0.0,,0.0,0.0,25000.0,25000.0,0.0,0.0,0,0,True,False,False,rising_market,,high_vol,,,,all_other,-1% to 1%,Thursday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-04-05 00:00:00+00:00,0.0,0.0,0,0,0,0,0.0,0.0,,0.0,0.0,25000.0,25000.0,0.0,0.0,0,0,True,False,False,rising_market,,high_vol,,,,all_other,-1% to 1%,Monday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-04-06 00:00:00+00:00,0.0,0.0,0,0,0,0,0.0,0.0,,0.0,0.0,25000.0,25000.0,0.0,0.0,0,0,True,False,False,rising_market,,high_vol,,,,all_other,-1% to 1%,Tuesday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
cross_sectional_momentum,2021-04-07 00:00:00+00:00,-0.49990001999685774,-0.001999600079987431,1,1,0,1,-0.4999000199960773,-0.4999000199960773,META,-0.4999000199960773,99.99999999984388,25000.0,24999.500099980003,0.0,-0.0019996000799826774,0,1,True,False,False,rising_market,,high_vol,0.0002632444883186036,True,True,mega_cap_tech_ex_nvda,-1% to 1%,Wednesday,0.0,one_symbol_driven,mixed_day,Cross-sectional momentum
