template_key,family,slice_name,scope_note,final_equity,total_return_pct,CAGR,max_drawdown_pct,Sharpe,profit_factor,expectancy,win_rate,trade_count,average_win,average_loss,payoff_ratio,top_symbol,top_symbol_pnl_share_pct,nvda_pnl_share_pct,top_10pct_days_pnl_share_pct,symbol_concentration_index,active_symbol_count,positive_symbol_count,reached_100k_from_25k,above_60pct_winrate
cross_sectional_momentum,Momentum / Relative-Strength Family,annual_window_1,annual window 2021-03-24 to 2022-03-24,55749.69015179206,122.99876060716824,121.5949762530165,44.21177553372704,1.5086659696025335,1.7398847329936131,62.4993702272196,56.50406504065041,492,260.10719119904667,-194.20611682963985,1.339335729714508,TSLA,43.34713280239013,39.571713559065344,57.903230586720255,0.3579873624663822,7,5,False,False
cross_sectional_momentum,Momentum / Relative-Strength Family,annual_window_2,annual window 2022-03-24 to 2023-03-24,31973.256253201507,27.89302501280604,27.89302501280604,23.07073936155013,0.7565617867140355,1.7610922296178206,83.01495539525602,64.28571428571429,84,298.8041864619491,-305.4056605247916,0.9783845720099004,NVDA,96.10261946511704,96.10261946511704,90.0393818971406,0.9250903043090776,3,2,False,True
cross_sectional_momentum,Momentum / Relative-Strength Family,annual_window_3,annual window 2023-03-24 to 2024-03-24,125516.50633697463,402.0961450926552,405.33440392517576,30.84517851954768,2.4085874222290946,6.536220374144418,153.46031501828182,78.62595419847328,655,230.43236302195112,-129.68686156664455,1.776836606563531,NVDA,47.82006135750056,47.82006135750056,55.493507143990506,0.3232042656067883,7,6,True,True
cross_sectional_momentum,Momentum / Relative-Strength Family,annual_window_4,annual window 2024-03-24 to 2025-03-24,55235.37768071119,120.95918392291858,122.36506291170008,62.90848112825636,1.2972752994398336,1.572745321638154,53.41939519560283,52.82685512367491,566,277.67773690157765,-197.71635075977724,1.4044247520982849,NVDA,40.785512437072455,40.785512437072455,45.94003080139298,0.3111975835111793,7,5,False,False
cross_sectional_momentum,Momentum / Relative-Strength Family,annual_window_5,annual window 2025-03-24 to 2026-03-24,48718.648586919255,94.87459434767702,94.87459434767702,17.432707732493014,1.73163155220354,3.08031468945114,78.27936827366088,70.29702970297029,303,164.88319277020406,-126.683016368158,1.3015414180779463,NFLX,36.81228691360386,26.72054122378531,51.77398216852318,0.253589761791423,6,5,False,True
cross_sectional_momentum,Momentum / Relative-Strength Family,calmer,regime slice from SPY tagging: calmer,240384.3786809657,861.556742013245,151.29114642728655,37.09466812692169,1.6211682217701469,3.3209184892800248,131.73356494248657,68.80733944954129,1635,273.94287362905953,-181.96343951318912,1.5054830484736113,NVDA,44.31465014943596,44.31465014943596,54.04812057321643,0.2577233222602115,8,8,True,True
cross_sectional_momentum,Momentum / Relative-Strength Family,falling_or_volatile,regime slice from SPY tagging: falling_or_volatile,212220.17453985,748.8806981593999,108.19088510566282,50.52000769414629,1.4115535122400955,3.1467623451319806,166.56599158349636,62.01067615658364,1124,393.7312116616754,-204.23999997268825,1.9277869747078276,NVDA,45.32084947039828,45.32084947039828,70.62995770691762,0.2837196761719827,9,8,True,True
cross_sectional_momentum,Momentum / Relative-Strength Family,first_half,first half of the 5-year window,144956.27495063562,479.82509980254247,101.98485391936605,40.02106557364612,1.6618518858227094,2.8544663812607736,101.40006335641212,68.04733727810651,1183,229.36812184353224,-171.12450564393615,1.340358126852885,NVDA,47.17245300056895,47.17245300056895,62.33472822722891,0.2979992766801353,8,8,True,True
cross_sectional_momentum,Momentum / Relative-Strength Family,rising_market,regime slice from SPY tagging: rising_market,272610.9381956911,990.4437527827644,137.80692353637568,44.132895187229884,2.110844773235665,3.61071909018622,130.18451009237157,70.66246056782335,1902,254.80275198562225,-169.97125532793115,1.4990931936933858,NVDA,42.409570867829565,42.409570867829565,47.50786856600538,0.2453134446070572,8,8,True,True
cross_sectional_momentum,Momentum / Relative-Strength Family,second_half,second half of the 5-year window,144051.1833124157,476.2277777518725,102.3865684257928,34.770698671693246,1.6133553081665764,2.477168472127323,88.05560895888729,63.609467455621306,1352,232.1457725368195,-163.80931111636008,1.4171708003333057,NVDA,37.683337493155534,37.683337493155534,50.98853231785745,0.2543942489182778,8,6,True,True
