variant_id,base_strategy,family_label,slice_name,scope_note,candidate_for_branch,final_equity,total_return_pct,CAGR,max_drawdown_pct,Sharpe,profit_factor,expectancy,win_rate,average_win,average_loss,payoff_ratio,trade_count,percent_profitable_months,top_symbol,top_symbol_pnl_share_pct,top_10pct_days_pnl_share_pct,non_extreme_day_expectancy,reached_100k_from_25k,trust_adjusted_quality_score,slice_quality_score
rs_top3_native,relative_strength_vs_benchmark,RS top-3,ex_tsla_full,RS top-3 baseline on the narrowed mega-cap ex-NVDA ex-TSLA universe.,True,150503.13606501126,502.0245823440751,43.35716853038962,26.955535916797977,1.2839552494978672,2.336116975192581,64.79253281621645,65.77181208053692,172.24049049973732,-141.67609175211774,1.2157343442328739,1937,54.09836065573771,NFLX,33.33655241634312,49.029448545055246,116.14290598326103,True,0.763161,
rs_top3_native,relative_strength_vs_benchmark,RS top-3,broad_participation_only,"RS top-3 baseline broad-participation slice on ex-TSLA days with multi-symbol participation, at least two profitable symbols, at least three traded symbols, and top-symbol share at or below 60%.",False,34369.325657059075,37.477302628236295,6.59436474181212,21.887827479588918,0.4963321781248518,1.5267751101797673,29.6497647375287,60.12658227848101,142.92380118723767,-141.1602902263182,1.0124929678034245,316,31.147540983606557,NFLX,53.55154280927794,48.67901834943116,27.346780415130144,False,,
rs_top3_native,relative_strength_vs_benchmark,RS top-3,ex_aapl_full,RS top-3 rerun on the narrowed mega-cap universe with `AAPL` removed.,False,144839.12987446133,479.3681045429272,42.258057714625494,22.038730652080307,1.322449389874568,2.4235432498851828,71.7170136890852,65.94853381208857,185.13867899004163,-147.95025373034179,1.2513576308390826,1671,52.459016393442624,NFLX,36.977503598925225,49.389589148632965,122.69099846572107,True,,0.766855
rs_top3_native,relative_strength_vs_benchmark,RS top-3,ex_aapl_broad_participation_only,"RS top-3 rerun on the ex-AAPL universe, then filtered to honest broad-participation days only.",False,31445.535460720042,25.78214184288017,4.709780386917073,23.04403203284544,0.37961091648347317,1.3857199356922276,24.69553816367831,57.08812260536399,155.40898104682375,-149.2000242433634,1.0416149852183187,261,29.508196721311474,NFLX,75.45136000012972,49.528988628084356,21.71254062017176,False,,0.413802
rs_top3_native,relative_strength_vs_benchmark,RS top-3,ex_amzn_full,RS top-3 rerun on the narrowed mega-cap universe with `AMZN` removed.,False,138743.310649194,454.98434006408377,41.03607395447053,25.79584238211944,1.272527307496117,2.311832492642865,65.78560477107811,64.66165413533834,179.29246617025282,-141.90780119336924,1.263443339002496,1729,50.81967213114754,NFLX,36.73693082179705,48.53863826636057,102.43035552630066,True,,0.71459
rs_top3_native,relative_strength_vs_benchmark,RS top-3,ex_amzn_broad_participation_only,"RS top-3 rerun on the ex-AMZN universe, then filtered to honest broad-participation days only.",False,30265.880065132522,21.06352026053009,3.9095668195124,15.694587857271369,0.4359657428790743,1.5889027963187885,32.10902478739341,62.80487804878049,137.93912018338966,-146.58769366814133,0.9410006851985058,164,27.86885245901639,NFLX,56.08496505480115,51.0274680749225,17.883342502446837,False,,0.44108
rs_top3_native,relative_strength_vs_benchmark,RS top-3,ex_googl_full,RS top-3 rerun on the narrowed mega-cap universe with `GOOGL` removed.,False,116735.4784500703,366.94191380028116,36.23191260570733,38.40165299959569,1.0313651445564336,2.103095046855366,58.28175250957456,64.93011435832274,171.13246288236166,-150.65561343424503,1.135918264054953,1574,54.09836065573771,NFLX,50.09338255105945,53.53880891294622,80.99605130816177,True,,0.595867
rs_top3_native,relative_strength_vs_benchmark,RS top-3,ex_googl_broad_participation_only,"RS top-3 rerun on the ex-GOOGL universe, then filtered to honest broad-participation days only.",False,32599.82220862827,30.399288834513083,5.469883982041335,18.78838468592705,0.5025248636985867,1.6151396667406133,37.81006073944412,61.69154228855721,160.92299155791255,-160.44972395523234,1.0029496317663487,201,26.229508196721312,NFLX,58.089268651989755,51.93149184880972,22.249671608633662,False,,0.442117
rs_top3_native,relative_strength_vs_benchmark,RS top-3,ex_meta_full,RS top-3 rerun on the narrowed mega-cap universe with `META` removed.,False,112809.96835568968,351.248896596056,35.30070394810541,31.72560613915858,1.0897698261723867,2.1155617618696083,57.279822802145915,64.64448793215917,168.03596922060768,-145.2281866087315,1.157047906088121,1533,54.09836065573771,NFLX,50.77901594214255,49.59833598288385,91.24731620823957,True,,0.638363
rs_top3_native,relative_strength_vs_benchmark,RS top-3,ex_meta_broad_participation_only,"RS top-3 rerun on the ex-META universe, then filtered to honest broad-participation days only.",False,26554.804564640042,6.219218258560177,1.2178970672457101,17.924723958338085,0.17131093401524536,1.1772833173919712,11.432386504706187,58.82352941176471,129.06216322857077,-156.61015167224318,0.82409832217438,136,22.950819672131146,NFLX,100.0,58.080904311880666,10.055836649970205,False,,0.327383
