entry_time,exit_time,mode,side,entry_price,exit_price,gross_price_return_pct,net_trade_return_pct,bars_held,entry_reason,exit_reason,cost_bps_per_side,equity_after_trade
2021-03-09 13:30:00-05:00,2021-03-09 15:45:00-05:00,active_uncontested_session_reset|hybrid_reentry_once,long,312.8,311.79,-0.32289002557544466,-0.36275688248080806,10,bias_change,session_close,2.0,99637.24311751919
2021-03-10 10:45:00-05:00,2021-03-10 15:45:00-05:00,active_uncontested_session_reset|hybrid_reentry_once,short,312.31,310.92,0.445070602926575,0.4048965924882353,21,bias_change,session_close,2.0,100040.67091975124
2021-03-15 10:45:00-04:00,2021-03-15 14:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,315.75,317.32874999999996,-0.4999999999999863,-0.539796019999994,15,bias_change,stop_loss,2.0,99500.65535974513
2021-03-16 09:45:00-04:00,2021-03-16 14:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,321.83,320.22085,-0.49999999999999994,-0.5397960200000052,19,bias_change,stop_loss,2.0,98963.5547822393
2021-03-16 14:30:00-04:00,2021-03-16 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,319.84,320.62,0.24387193596799323,0.2037783969484952,6,stop_reentry,session_close,2.0,99165.2211277378
2021-03-17 14:30:00-04:00,2021-03-17 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,319.28,321.95,0.8362565772989276,0.7959261081182945,6,bias_change,session_close,2.0,99954.5030128667
2021-03-18 12:30:00-04:00,2021-03-18 12:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,317.18,315.5941,-0.499999999999994,-0.5397960199999718,2,bias_change,stop_loss,2.0,99414.95258379249
2021-03-18 13:15:00-04:00,2021-03-18 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,315.55,312.01,1.121850736808753,1.0814060413880666,11,bias_change,session_close,2.0,100490.0318870767
2021-03-19 11:00:00-04:00,2021-03-19 11:15:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,313.36,311.7932,-0.5000000000000002,-0.539796019999994,2,bias_change,stop_loss,2.0,99947.59069445352
2021-03-23 10:30:00-04:00,2021-03-23 15:00:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,319.51,317.91245,-0.5000000000000039,-0.539796019999994,19,bias_change,stop_loss,2.0,99408.07757779898
2021-03-23 15:15:00-04:00,2021-03-23 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,317.4828,317.02,0.14577167644987876,0.1057173736101591,3,bias_change,session_close,2.0,99513.16918657058
2021-03-24 11:15:00-04:00,2021-03-24 11:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,317.58,315.9921,-0.49999999999999706,-0.539796019999983,3,bias_change,stop_loss,2.0,98976.00105992562
2021-03-24 13:30:00-04:00,2021-03-24 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,314.91,311.76,1.0002857959417084,0.9598897216347879,10,bias_change,session_close,2.0,99926.06152098498
2021-03-25 09:45:00-04:00,2021-03-25 12:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,311.34,310.93,0.13168882893298908,0.0916401586689819,12,bias_change,reverse_open,2.0,100017.63392231448
2021-03-25 12:45:00-04:00,2021-03-25 14:00:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,310.93,309.37535,-0.49999999999999384,-0.539796019999983,6,bias_change,stop_loss,2.0,99477.74271510367
2021-03-25 15:00:00-04:00,2021-03-25 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,311.45,311.32,-0.041740247230693674,-0.08171955280140697,4,bias_change,session_close,2.0,99396.44994861995
2021-03-26 12:00:00-04:00,2021-03-26 14:00:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,312.96,312.01,-0.3035531697341477,-0.34342776060837243,8,bias_change,reverse_open,2.0,99055.09494643718
2021-03-26 14:00:00-04:00,2021-03-26 15:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,312.01,313.2,-0.3813980321143546,-0.4212414881574311,6,bias_change,reverse_open,2.0,98637.83379038905
2021-03-26 15:30:00-04:00,2021-03-26 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,313.2,316.01,0.8971902937420186,0.8568354535121392,2,bias_change,session_close,2.0,99482.99772088148
2021-03-29 10:15:00-04:00,2021-03-29 12:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,313.48,315.0474,-0.4999999999999884,-0.539796019999983,10,bias_change,stop_loss,2.0,98945.99245860749
2021-03-30 10:00:00-04:00,2021-03-30 11:30:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,short,312.87,314.43435,-0.4999999999999969,-0.5397960200000052,7,bias_change,stop_loss,2.0,98411.88592936643
2021-03-31 10:15:00-04:00,2021-03-31 15:45:00-04:00,active_uncontested_session_reset|hybrid_reentry_once,long,318.76,318.95,0.05960597314593981,0.019586133140925277,23,bias_change,session_close,2.0,98431.16101237104
