winner_id,variant,entry_mode,timeframe_min,timeframe_label,layer_id,is_baseline_layer,start_offset_min,cutoff,trend_filter,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_none_trend_none,True,0,none,none,0.0,1.25,3.5,281411.6368944062,181.41163689440623,23.296617503283112,12.397117447220174,1.4829041308457755,1.2539248201035478,1560,717,45.96153846153846,783,777,1245,0.06976192916274586,19.412179487179486,194.12179487179486,60.26361857687159,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_1430_trend_none,False,0,14:30,none,0.0,1.25,3.5,258097.45951021046,158.09745951021048,21.15713524248728,11.627459948845864,1.405599631027293,1.2440486168467173,1424,653,45.85674157303371,710,714,1245,0.07025424392236714,21.065308988764045,210.65308988764045,59.78992894655545,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_none_trend_none,False,30,none,none,0.0,1.25,3.5,248475.68909083068,148.47568909083066,20.229010292006034,11.446525177581336,1.3406980571812588,1.2314753819410884,1517,703,46.34146341463415,769,748,1245,0.06334945510086426,19.35398813447594,193.5398813447594,58.37503861600247,11816,7888
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_00_cutoff_none_trend_none,True,0,none,none,0.0,0.5,4.25,243931.77838219667,143.93177838219668,19.780701778633293,8.512294073301819,1.6062196711365744,1.2868996311435759,1328,564,42.46987951807229,674,654,1245,0.06992782914486631,11.079819277108435,166.1972891566265,41.60024714241582,6455,4597
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_none_trend_vwap,False,0,none,vwap,0.0,1.25,3.5,242143.56179718237,142.14356179718237,19.602446182943,10.915612034211343,1.324583960676389,1.226274290066405,1435,670,46.68989547038328,722,713,1245,0.06516020199228886,20.60348432055749,206.03484320557493,58.807537843682425,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_none_trend_ema10,False,0,none,ema10,0.0,1.25,3.5,238649.39491058554,138.64939491058556,19.251083420923052,10.982817938515343,1.3130369106723774,1.2216456611142739,1481,692,46.72518568534774,741,740,1245,0.062130783305103555,20.0067521944632,200.067521944632,58.94140665225003,11816,7888
uncontested_15m_hybrid,active_uncontested_session_reset,hybrid_reentry_once,15,15m,start_00_cutoff_1430_trend_none,False,0,14:30,none,0.0,0.5,4.25,235305.33916181006,135.30533916181008,18.91095158999667,9.023688046165635,1.567757361489728,1.2950734636989505,1205,508,42.15767634854772,605,600,1245,0.07392803001042422,11.981742738589212,179.72614107883817,41.06889094840902,6455,4597
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_none_trend_vwap,False,30,none,vwap,0.0,1.25,3.5,231443.5247657722,131.4435247657722,18.513326347244853,9.776139615432944,1.2670665634315077,1.2206636197787764,1407,660,46.908315565031984,709,698,1245,0.06312816617318312,20.570717839374556,205.70717839374555,57.53269488209247,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_1430_trend_none,False,30,14:30,none,0.0,1.25,3.5,227933.54605075202,127.93354605075203,18.14730999255452,12.169965452430597,1.2542639461067147,1.2202637781409849,1381,638,46.198406951484436,696,685,1245,0.06324068892543788,21.049239681390297,210.49239681390299,57.8931109051591,11816,7888
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_1430_trend_vwap,False,0,14:30,vwap,0.0,1.25,3.5,222400.7138835912,122.4007138835912,17.561118153884237,9.066768667352498,1.2428441192014261,1.2149267459937638,1309,616,47.05882352941176,652,657,1245,0.06481635021804828,22.350649350649352,223.5064935064935,58.28853877046648,11816,7888
