timeframe_min,timeframe_label,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct,bullish_signal_count,bearish_signal_count,bar_count
10,10m,0.25,4.0,285875.3869820409,185.87538698204088,23.689995643124572,11.345880686349208,1.8427307012130862,1.312006941369426,2104,646,30.70342205323194,1020,1084,1245,0.051596007975363074,9.566539923954373,95.66539923954373,37.59654000617856,1442,1702,48555
10,10m,0.25,3.0,275230.07045961777,175.2300704596178,22.743551293452448,10.987071233199119,1.8252757408403573,1.2999007588265097,2110,649,30.75829383886256,1022,1088,1245,0.049559605184701025,9.524644549763034,95.24644549763033,37.516218721037994,1442,1702,48555
10,10m,0.25,2.0,266071.67270808364,166.07167270808364,21.905646243725574,12.07164623904693,1.8192000250568208,1.2854541995654687,2139,657,30.715287517531557,1030,1109,1245,0.047201801323315994,9.297802711547453,92.97802711547453,37.001338688085674,1442,1702,48555
10,10m,0.5,4.0,260754.92508673467,160.75492508673466,21.408606368206897,13.495272502564271,1.5099528057842126,1.229197872967461,1913,792,41.40094093047569,943,970,1245,0.05247799865377852,13.930475692629377,139.30475692629378,51.82782411698075,1442,1702,48555
10,10m,0.5,2.0,256358.32650628508,156.35832650628507,20.991444042932784,13.296793255938633,1.5393385419765568,1.2220462169389892,1946,812,41.726618705035975,955,991,1245,0.050492090112488466,13.581706063720452,135.81706063720452,51.28411080218309,1442,1702,48555
10,10m,0.25,1.5,251352.64149194938,151.3526414919494,20.509484634152876,10.76548099474569,1.7714482141885763,1.2630652064730463,2188,675,30.850091407678242,1045,1143,1245,0.043434170192469264,8.81581352833638,88.15813528336379,35.62557924003707,1442,1702,48555
10,10m,0.5,3.0,250907.4953496804,150.90749534968037,20.466255302189886,13.495272502564326,1.4745028360178407,1.219468932522071,1919,795,41.427826993225636,945,974,1245,0.050211723327390406,13.870766023970818,138.7076602397082,51.74750283184019,1442,1702,48555
10,10m,1.5,4.0,247315.012835521,147.315012835521,20.11512223160823,15.88584646627158,1.3569156056705183,1.2080489543688302,1799,823,45.74763757643135,889,910,1245,0.053297380782215464,16.863813229571985,168.63813229571986,60.459272989393476,1442,1702,48555
10,10m,0.75,4.0,243902.6917165425,143.9026917165425,19.777810671053974,16.073956866356333,1.3652774520066793,1.2050151340176725,1838,820,44.613710554951034,904,934,1245,0.051235619017239636,15.865070729053318,158.65070729053318,57.545052002883324,1442,1702,48555
10,10m,1.0,4.0,243245.42151839903,143.24542151839904,19.712406998287157,15.949052057875846,1.337330500989089,1.2037995757439202,1811,824,45.499723909442295,893,918,1245,0.05196619940713865,16.574820541137495,165.74820541137495,59.59839357429719,1442,1702,48555
