strategy_id,family,coverage_status,runnable_status,window_start,window_end,final_equity,total_return_pct,max_drawdown_pct,sharpe,profit_factor,expectancy,win_rate,average_win,average_loss,payoff_ratio,trade_count,trades_per_day,percent_profitable_days,largest_win,largest_loss,top_symbol,top_symbol_concentration_pct,top_symbol_concentration_basis,top_10pct_days_concentration_pct,top_10pct_days_concentration_basis,ending_status,historical_role,historical_trust_level,implementation_note
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,exact,exact,2026-02-02,2026-03-31,25536.396131327117,1.5794392471734087,8.09277560218138,0.8026812194539458,1.1280789624249115,13.124416207422332,54.347826086956516,212.6960951962906,-224.46091592218272,0.9475863284369257,46,1.1219512195121952,56.09756097560976,557.0771356894533,-520.4909421007817,SQQQ,100.0,positive_pnl,48.57318432398982,positive_day_pnl,mixed,best operational candidate / only active paper strategy,highest operational trust,"Exact adverse-baseline intraday pair rerun using opening_window=10, threshold=15bps, decision_interval=15m, start_delay=25m, flat_before_close=40m, notional=50%, min_relative_volume=1.0."
down_streak_exhaustion,Down Streak Exhaustion,partial,partial,2026-02-02,2026-03-24,24794.48995288818,-0.8200569862274465,4.487312853266179,-0.384917570475268,0.8618482066004335,-5.269488387482529,38.46153846153847,85.47046268612887,-61.98195780848965,1.3789571305606936,39,1.0833333333333333,44.44444444444444,226.5472384912157,-149.39819761616982,NVDA,40.93752610100469,positive_pnl,55.877839225173446,positive_day_pnl,weak,daily trust anchor / benchmark-control,high trust control,Exact daily baseline logic/params; partial recent window because local daily features stop at 2026-03-24.
cross_sectional_momentum::csm_native,Cross-Sectional Momentum :: CSM Native,partial,partial,2026-02-02,2026-03-24,24189.378959072572,-3.240549361657352,3.240549361657352,-4.608520210848802,0.0,-270.20701364247645,0.0,0.0,-270.20701364247645,0.0,3,0.08333333333333333,13.88888888888889,-247.86496389320982,-292.62864853146704,GOOGL,100.0,absolute_pnl,93.84109073812932,positive_day_pnl,weak,main upside challenger,research-only challenger,Current narrowed CSM challenger on AAPL/AMZN/GOOGL/META/NFLX; coverage gap 2026-03-25 to 2026-03-31.
relative_strength_vs_benchmark::rs_top3_native,Relative Strength vs Benchmark :: RS Top-3 Native,partial,partial,2026-02-02,2026-03-24,23497.995729553066,-6.006137580439608,7.137127270283217,-2.8973648204615348,0.0,-166.88936338299277,0.0,0.0,-166.88936338299277,0.0,9,0.25,22.22222222222222,-53.684444302240564,-292.62864853146704,GOOGL,100.0,absolute_pnl,88.60824662281203,positive_day_pnl,weak,canonical upside research branch,research-only; weakened but still best upside branch,Current canonical narrowed branch on AAPL/AMZN/GOOGL/META/NFLX with top-3 wrapper; coverage gap 2026-03-25 to 2026-03-31.
