session_date,equity
2021-03-09,99750.0
2021-03-10,99003.74375390625
2021-03-11,99003.74375390625
2021-03-12,98263.07044901385
2021-03-15,98017.41277289132
2021-03-16,97852.839136687
2021-03-17,96635.77917952074
2021-03-18,96950.86449216583
2021-03-19,96708.48733093542
2021-03-22,97365.45357872052
2021-03-23,96959.07919669308
2021-03-24,96716.68149870136
2021-03-25,96209.44431629409
2021-03-26,97336.42024310314
2021-03-29,96608.22062827785
2021-03-30,96608.22062827785
2021-03-31,96608.22062827785
2021-04-01,96831.98889718213
2021-04-05,97580.61387982912
2021-04-06,97580.61387982912
2021-04-07,97266.07098453112
2021-04-08,97266.07098453112
2021-04-09,97266.07098453112
2021-04-12,97022.9058070698
2021-04-13,96780.34854255212
2021-04-14,96538.39767119575
2021-04-15,96895.81071461157
2021-04-16,96443.8920735247
2021-04-19,96529.19284189068
2021-04-20,96570.79221466962
2021-04-21,96652.84898190593
2021-04-22,96726.42994376169
2021-04-23,97522.28395357639
2021-04-26,97522.28395357639
2021-04-27,97553.81858593249
2021-04-28,97309.93403946765
2021-04-29,97274.16832178603
2021-04-30,96788.40544372912
2021-05-03,96940.61826658303
2021-05-04,98699.88436038529
2021-05-05,98207.00181286063
2021-05-06,97228.60842319862
2021-05-07,96985.53690214062
2021-05-10,98463.56986292347
2021-05-11,97701.86469186486
2021-05-12,97213.96600505988
2021-05-13,97170.6583753387
2021-05-14,97872.42480414736
2021-05-17,97627.743742137
2021-05-18,97140.21519682473
2021-05-19,96655.12124718561
2021-05-20,97586.86557750877
2021-05-21,97845.83511463794
2021-05-24,98333.76314878673
2021-05-25,98333.76314878673
2021-05-26,98333.76314878673
2021-05-27,98333.76314878673
2021-05-28,98333.76314878673
2021-06-01,98437.06111715843
2021-06-02,98437.06111715843
2021-06-03,97456.37574730764
2021-06-04,97990.58322856441
2021-06-07,97990.58322856441
2021-06-08,98272.11532302479
2021-06-09,98272.11532302479
2021-06-10,97781.36894713045
2021-06-11,97781.36894713045
2021-06-14,97781.36894713045
2021-06-15,97781.36894713045
2021-06-16,97662.9544170707
2021-06-17,98083.35295253892
2021-06-18,97977.52730264595
2021-06-21,97513.59300862082
2021-06-22,97513.59300862082
2021-06-23,97247.42113058717
2021-06-24,97247.42113058717
2021-06-25,97247.42113058717
2021-06-28,97664.38908897995
2021-06-29,97664.38908897995
2021-06-30,97664.38908897995
2021-07-01,97664.38908897995
2021-07-02,97664.38908897995
2021-07-06,97420.22811625752
2021-07-07,96933.73585210198
2021-07-08,96691.40151247173
2021-07-09,96884.63402354362
2021-07-12,96884.63402354362
2021-07-13,96676.3460529745
2021-07-14,96801.36430210064
2021-07-15,97327.58932948863
2021-07-16,97084.27035616491
2021-07-19,96599.45578107383
2021-07-20,97702.41272563323
