variant_id,base_strategy,family_label,slice_name,scope_note,candidate_for_branch,final_equity,total_return_pct,CAGR,max_drawdown_pct,Sharpe,profit_factor,expectancy,win_rate,average_win,average_loss,payoff_ratio,trade_count,percent_profitable_months,top_symbol,top_symbol_pnl_share_pct,top_10pct_days_pnl_share_pct,non_extreme_day_expectancy,reached_100k_from_25k,trust_adjusted_quality_score
rs_top3_native,relative_strength_vs_benchmark,RS top-3,megacap_full,Canonical narrowed RS branch on the mega-cap ex-NVDA universe.,True,170802.41374596374,583.2233167178425,47.0429152732855,41.54891126633187,1.2864684991398263,2.1008660260905785,67.31413377006633,64.54293628808865,199.03132360957974,-172.45231335967287,1.15412382549182,2166,55.73770491803278,META,27.16991692536368,49.9804920770207,121.4067151082177,True,0.728157
rs_top3_native,relative_strength_vs_benchmark,RS top-3,megacap_rising_market,Canonical narrowed RS branch on the mega-cap ex-NVDA universe. Entry-day regime filter `megacap_rising_market`.,False,110866.5211823898,343.4660847295592,34.82924273369294,51.82624938102287,0.9458664187465108,1.870786514953414,54.936993718739444,63.595649392194495,185.58805469652833,-173.30053635493744,1.070902944676552,1563,47.540983606557376,META,40.90102435822407,52.5299612161634,81.06834964135267,True,
rs_top3_native,relative_strength_vs_benchmark,RS top-3,megacap_calm_low_vol,Canonical narrowed RS branch on the mega-cap ex-NVDA universe. Entry-day regime filter `megacap_calm_low_vol`.,False,97590.63560932325,290.36254243729303,31.42269201561838,41.951100618128265,0.932456037106222,1.9279055257448836,53.375467359796495,62.5,177.43678528834928,-153.39339585445813,1.15674331544693,1360,42.62295081967213,META,36.42346376060655,52.59865753650364,94.14765123594272,False,
rs_top3_native,relative_strength_vs_benchmark,RS top-3,megacap_strong_momentum_participation,Canonical narrowed RS branch on the mega-cap ex-NVDA universe. Entry-day regime filter `megacap_strong_momentum_participation`.,False,49507.74936203574,98.03099744814297,14.692663120676386,61.34473310445178,0.535206710832665,1.5669175725090643,43.147446059922096,56.16197183098591,212.3435038761812,-173.6137685721528,1.2230798606732194,568,29.508196721311474,NFLX,39.38977230426627,56.836867499129355,68.55125116231174,False,
rs_top3_native,relative_strength_vs_benchmark,RS top-3,megacap_non_extreme_2_5,Canonical narrowed RS branch on the mega-cap ex-NVDA universe. Equity-path audit with both best and worst 2.5% of days removed; trade-level columns remain native.,False,154298.15159025186,517.2049479916412,44.075235463328454,30.950297724606667,1.4659468631677415,2.1008660260905785,67.31413377006633,64.54293628808865,199.03132360957974,-172.45231335967287,1.15412382549182,2166,60.65573770491803,META,27.16991692536368,44.58349390590048,122.10752548413812,True,
rs_top2_native,relative_strength_vs_benchmark,RS top-2,megacap_full,Reduced rank-depth RS audit rerun on the same mega-cap ex-NVDA universe.,True,143095.6660605626,472.39410983532844,41.91282308226596,44.26404011756988,1.2007660659560238,2.0105243410281384,66.94765649691762,63.548752834467116,209.59981918906647,-181.75074844538236,1.1532267183595835,1764,52.459016393442624,NFLX,30.85452397633368,49.61542762619419,95.04231437552795,True,0.650441
rs_top3_equal_weight,relative_strength_vs_benchmark,RS top-3 equal-weight,megacap_full,Native RS top-3 trades scaled to equalize cumulative symbol notional.,True,151421.89531033835,505.69896736658774,43.53229182067806,40.96497844003936,1.2418775015293002,2.0421527380639586,58.36652599738615,64.54293628808865,177.20336826909744,-157.95366345033833,1.1218693153312733,2166,55.73770491803278,GOOGL,25.537778530943676,50.659460073915376,104.1576155461129,True,0.686939
rs_top3_cap20,relative_strength_vs_benchmark,RS top-3 cap20,megacap_full,Native RS top-3 trades scaled ex post so no symbol keeps more than 20% of positive PnL.,True,90304.97887080292,261.2226625232419,29.392846979276534,38.48892159468551,1.0066700489483897,1.8475715203560927,30.15003641311311,64.54293628808865,101.8272524632291,-100.32489592811366,1.0149749124702998,2166,55.73770491803278,GOOGL,20.000000000910994,53.49686969513261,51.64649662403994,False,0.56144
rs_top2_equal_weight,relative_strength_vs_benchmark,RS top-2 equal-weight,megacap_full,Reduced rank-depth RS top-2 trades plus equal-weight symbol budget.,True,116634.95084394653,366.54773040498947,36.20883069247065,42.19191592154462,1.1303706131023912,1.9382018431052916,51.947251045321224,63.548752834467116,168.8722380378749,-151.89864385149474,1.1117428948409478,1764,52.459016393442624,GOOGL,28.8608029169341,50.27492390385218,72.38179657757709,True,0.599409
csm_native,cross_sectional_momentum,CSM native,megacap_full,Native CSM on the same mega-cap ex-NVDA universe.,True,155820.7713164669,523.2830852658677,44.358791341977046,40.02034466148905,1.1728261540260136,2.0947028874030087,65.41038565823347,63.9,195.87184734156122,-165.5172431939727,1.1833923980477092,2000,52.459016393442624,NFLX,25.270117131770466,51.873707964829066,124.14237053910229,True,0.731554
csm_native,cross_sectional_momentum,CSM native,megacap_rising_market,Native CSM on the same mega-cap ex-NVDA universe. Entry-day regime filter `megacap_rising_market`.,False,94680.14115171286,278.72056460685144,30.626753571121192,58.35781686755583,0.800761632725467,1.7282895735368737,47.498392059790625,61.89502385821404,182.11075324045245,-171.1563913964544,1.0640020612413132,1467,44.26229508196721,GOOGL,39.354401036761786,53.102445139031076,79.15227907488607,False,
csm_native,cross_sectional_momentum,CSM native,megacap_calm_low_vol,Native CSM on the same mega-cap ex-NVDA universe. Entry-day regime filter `megacap_calm_low_vol`.,False,86356.67504422873,245.4267001769149,28.237216473243997,44.62213987295682,0.8265430835503178,1.8267500247257633,47.748385248426985,61.32295719844358,172.04438562415592,-149.32454894890583,1.1521507135643456,1285,40.98360655737705,GOOGL,35.497066348001894,53.821546105114514,94.29966126594827,False,
csm_native,cross_sectional_momentum,CSM native,megacap_strong_momentum_participation,Native CSM on the same mega-cap ex-NVDA universe. Entry-day regime filter `megacap_strong_momentum_participation`.,False,42149.41241752425,68.59764967009698,11.04903645219213,62.41481791934487,0.4678413263163463,1.361177727550628,27.83995522325366,53.08441558441559,197.64933843881923,-164.2973053701371,1.202998052789393,616,27.86885245901639,NFLX,55.82234064677891,59.36609369352654,66.04591860068662,False,
