variant_id,opening_window,threshold_bps,decision_interval_minutes,start_delay_minutes,flat_before_close_minutes,notional_pct,blocked_hours,min_relative_volume,is_combined_finalist,recent_2m_final_equity,recent_2m_total_return_pct,recent_2m_max_drawdown_pct,recent_2m_sharpe,recent_2m_profit_factor,recent_2m_expectancy,recent_2m_win_rate,recent_2m_average_win,recent_2m_average_loss,recent_2m_payoff_ratio,recent_2m_trade_count,recent_2m_percent_profitable_days,recent_2m_top_day_concentration_pct,recent_2m_start,recent_2m_end,recent_6m_final_equity,recent_6m_total_return_pct,recent_6m_max_drawdown_pct,recent_6m_sharpe,recent_6m_profit_factor,recent_6m_expectancy,recent_6m_win_rate,recent_6m_average_win,recent_6m_average_loss,recent_6m_payoff_ratio,recent_6m_trade_count,recent_6m_percent_profitable_days,recent_6m_top_day_concentration_pct,recent_6m_start,recent_6m_end,paper_promotion_validation_final_equity,paper_promotion_validation_total_return_pct,paper_promotion_validation_max_drawdown_pct,paper_promotion_validation_sharpe,paper_promotion_validation_profit_factor,paper_promotion_validation_expectancy,paper_promotion_validation_win_rate,paper_promotion_validation_average_win,paper_promotion_validation_average_loss,paper_promotion_validation_payoff_ratio,paper_promotion_validation_trade_count,paper_promotion_validation_percent_profitable_days,paper_promotion_validation_top_day_concentration_pct,paper_promotion_validation_start,paper_promotion_validation_end,recent_2m_rank,recent_6m_rank,paper_promotion_validation_rank
delay_30,10,15.0,15,30,40,0.5,,1.0,False,26285.710020965107,5.142840083860434,5.187045992445471,1.9752494522578363,1.328406393564558,27.18868265388916,48.97959183673469,224.53929647222358,-162.26790661171185,1.3837566599630813,49,53.65853658536586,43.95328813835834,2026-02-02,2026-03-31,29636.624271880835,18.54649708752334,5.187045992445483,2.4880140572653184,1.4507743845260817,31.9113254145844,58.992805755395686,174.09505691897135,-172.6336918373408,1.008465120951057,139,57.599999999999994,44.51258021343933,2025-10-01,2026-03-31,25249.70817226162,0.9988326890464805,7.975430399839956,0.22219852098257936,1.0371892405290937,2.557016964648804,50.34013605442177,141.66413622207156,-138.45567926890308,1.0231731697111328,147,49.21875,53.23896472732912,2025-07-01,2025-12-31,1,1,7
threshold_20,10,20.0,15,25,40,0.5,,1.0,False,25875.14780469391,3.5005912187756394,8.09277560218138,1.2566488688198647,1.2147525081483204,20.693574280239776,55.55555555555556,210.69662309044682,-216.81023673251897,0.9718020065186563,45,58.536585365853654,48.025669010524,2026-02-02,2026-03-31,28458.302023732536,13.83320809493014,8.09277560218139,1.6422921891866757,1.3229986857970792,25.427680866478887,57.46268656716418,181.2506124756481,-185.06996358801294,0.9793626635121236,134,57.599999999999994,45.476151561700206,2025-10-01,2026-03-31,25891.27013309534,3.5650805323813595,6.235313547745591,0.5510552777621073,1.1063947542865655,7.3613267003703475,53.333333333333336,143.53151091352345,-148.26174097180464,0.9680954100007448,135,52.34375,48.84210878120433,2025-07-01,2025-12-31,2,4,5
delay30_threshold20,10,20.0,15,30,40,0.5,,1.0,True,25816.566703745124,3.2662668149805008,6.827739365966279,1.2570934742858249,1.202949146562543,18.721338679160983,48.93617021276596,226.7602676310675,-180.64930156641609,1.2552512833696101,47,48.78048780487805,44.56001293347517,2026-02-02,2026-03-31,28633.245067894157,14.532980271576633,6.8277393659662895,1.9679135387052542,1.3492961981694107,26.073828800611867,57.66423357664233,174.66734685697432,-176.32079062098535,0.9906225252383014,137,54.400000000000006,45.56825367489545,2025-10-01,2026-03-31,24680.127061406733,-1.2794917543730744,8.2870329628832,-0.14885113171801312,0.9805402033003532,-1.3715312309260137,50.349650349650354,137.25758346309024,-141.9531686671115,0.9669215893656261,143,47.65625,54.53592901363816,2025-07-01,2025-12-31,3,3,8
baseline,10,15.0,15,25,40,0.5,,1.0,False,25536.396131327117,2.1455845253084638,8.09277560218138,0.8026812194539458,1.1280789624249115,13.124416207422327,54.347826086956516,212.6960951962906,-224.46091592218272,0.9475863284369257,46,56.09756097560976,48.57318432398982,2026-02-02,2026-03-31,28051.7944413052,12.2071777652208,8.092775602181412,1.4738807415688997,1.2757713730374962,22.26467187479499,56.934306569343065,180.91140020217023,-187.47168082919268,0.9650065514001575,137,56.00000000000001,45.991290334924415,2025-10-01,2026-03-31,26109.618111031064,4.438472444124253,5.857594528292287,0.6786989982142789,1.129128309056107,8.671202920713734,52.51798561151079,144.37537382793462,-141.42583459787912,1.0208557314753846,139,50.78125,49.28289748084349,2025-07-01,2025-12-31,4,7,3
flat_35,10,15.0,15,25,35,0.5,,1.0,False,25500.44925344864,2.0017970137945706,8.715267696734996,0.7423309357702671,1.1164905195427528,12.377857943728861,54.347826086956516,218.2869509486638,-232.75201468119363,0.9378520364159124,46,53.65853658536586,50.90821194562385,2026-02-02,2026-03-31,28124.36094454519,12.497443778180761,8.715267696734974,1.4913427666166679,1.2819520078092077,22.748808231572358,57.66423357664233,179.36954267739316,-190.57943351359737,0.9411799551004311,137,55.2,47.61017613164572,2025-10-01,2026-03-31,26065.281421475356,4.2611256859014235,5.64381815250945,0.6503216169974779,1.1249877177580432,8.374713518282103,51.798561151079134,145.52335758532072,-139.00890398659524,1.0468635706915126,139,50.0,50.150963159843776,2025-07-01,2025-12-31,5,6,4
flat_45,10,15.0,15,25,45,0.5,,1.0,False,25314.106475096676,1.256425900386704,8.75427373141523,0.5067611349974472,1.0811208478393368,8.342233198418482,56.52173913043478,196.7019071660279,-236.5253429594738,0.8316314214148747,46,56.09756097560976,48.980572679319934,2026-02-02,2026-03-31,28139.73143859797,12.55892575439188,8.754273731415251,1.515034485742607,1.2842398863727396,22.81898109356178,57.66423357664233,178.79314254085773,-189.6285836363758,0.9428596634128973,137,56.00000000000001,46.45862226238854,2025-10-01,2026-03-31,26637.452199469564,6.549808797878254,5.145654992661807,0.9672196470790703,1.1857139125838139,12.26167084290919,53.23741007194245,147.05107715235957,-141.19088403246505,1.0415054637560528,139,52.34375,48.541331430730516,2025-07-01,2025-12-31,6,5,2
delay_20,10,15.0,15,20,40,0.5,,1.0,False,25295.53814193904,1.1821525677561562,6.839043261234156,0.4703175568756056,1.0724088078650753,7.704459982210412,56.25,202.85637098274353,-243.20513987561787,0.8340957394506141,48,56.09756097560976,45.06997873628863,2026-02-02,2026-03-31,28824.17033071297,15.296681322851867,6.839043261234123,1.9169940266214265,1.3470665758520672,26.69865714669727,58.57142857142858,176.921197758657,-185.68493475297,0.9528031877978037,140,56.8,47.190330530591886,2025-10-01,2026-03-31,27097.00794924672,8.388031796986883,5.2030235775656575,1.3672384751469508,1.2520872676808499,15.498893847505107,54.347826086956516,141.6453151472401,-134.675417223608,1.0517533048519139,138,51.5625,53.1345562441184,2025-07-01,2025-12-31,7,2,1
threshold_10,10,10.0,15,25,40,0.5,,1.0,False,25181.90412811551,0.7276165124620482,8.598320585448072,0.3301666785722034,1.0502125773795152,5.296556228433012,52.083333333333336,212.6960951962906,-220.13772525836868,0.9661955711891541,48,56.09756097560976,48.436359995076444,2026-02-02,2026-03-31,27278.436289764497,9.113745159057984,8.598320585448072,1.0979155005225767,1.1938844304420784,16.450068719041152,55.94405594405595,181.06442105986048,-192.58402949152318,0.9401839889731368,143,57.599999999999994,46.06924175028853,2025-10-01,2026-03-31,25527.198039270337,2.1087921570813517,5.857594528292265,0.3537942962979841,1.0622977889912226,4.414584319762929,52.054794520547944,144.6114644144684,-147.79917121163163,0.9784321740708627,146,52.34375,49.081280194073365,2025-07-01,2025-12-31,8,8,6
