strategy_id,family,symbol,timestamp_in,timestamp_out,side,entry_price,exit_price,shares/contracts,stop_level,target_level,pnl_dollars,pnl_pct,mfe,mae,exit_reason,rth_compliant_flag,scope_label,coverage_status
cross_sectional_momentum::csm_native,Cross-Sectional Momentum :: CSM Native,GOOGL,2026-02-02 05:00:00+00:00,2026-03-03 05:00:00+00:00,long,343.51869,303.309326,7.277624399417685,,,-292.62864853146704,-0.011705145941258682,0.015257714216364793,-0.13818371862095769,time_stop,True,recent_2m_daily_partial,partial
down_streak_exhaustion,Down Streak Exhaustion,SLB,2026-02-02 05:00:00+00:00,2026-02-09 05:00:00+00:00,long,47.789556,50.23995,52.312685223524575,,,128.18668999561342,0.0051274675998245365,0.07010828893241872,-0.014847511870585306,time_stop,True,recent_2m_daily_partial,partial
relative_strength_vs_benchmark::rs_top3_native,Relative Strength vs Benchmark :: RS Top-3 Native,GOOGL,2026-02-02 05:00:00+00:00,2026-03-03 05:00:00+00:00,long,343.51869,303.309326,7.277624399417685,,,-292.62864853146704,-0.011705145941258682,0.015257714216364793,-0.13818371862095769,time_stop,True,recent_2m_daily_partial,partial
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,TQQQ,2026-02-02 14:55:00+00:00,2026-02-02 20:20:00+00:00,long,54.54,55.19,229.1895856252292,,,139.80724838190852,0.005592289935276341,0.01980198019801982,-0.005317198386505351,flat_before_close_or_flip,True,recent_2m_intraday_exact,exact
cross_sectional_momentum::csm_native,Cross-Sectional Momentum :: CSM Native,GOOGL,2026-02-03 05:00:00+00:00,2026-03-04 05:00:00+00:00,long,339.54789600000004,302.859416,7.362731530517273,,,-270.12742850275254,-0.010805097140110102,0.027130499433281496,-0.1281053321561445,time_stop,True,recent_2m_daily_partial,partial
relative_strength_vs_benchmark::rs_top3_native,Relative Strength vs Benchmark :: RS Top-3 Native,GOOGL,2026-02-03 05:00:00+00:00,2026-03-04 05:00:00+00:00,long,339.54789600000004,302.859416,7.362731530517273,,,-270.12742850275254,-0.010805097140110102,0.027130499433281496,-0.1281053321561445,time_stop,True,recent_2m_daily_partial,partial
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,SQQQ,2026-02-03 14:55:00+00:00,2026-02-03 20:20:00+00:00,long,65.35,68.35,191.2777352716144,,,557.0771356894533,0.02228308542757813,0.0572302983932671,-0.0010711553175208888,flat_before_close_or_flip,True,recent_2m_intraday_exact,exact
down_streak_exhaustion,Down Streak Exhaustion,NVDA,2026-02-04 05:00:00+00:00,2026-02-11 05:00:00+00:00,long,174.214836,190.001992,14.350098174187647,,,226.5472384912157,0.009061889539648628,0.11155860457257516,-0.01833848410017147,time_stop,True,recent_2m_daily_partial,partial
relative_strength_vs_benchmark::rs_top3_native,Relative Strength vs Benchmark :: RS Top-3 Native,GOOGL,2026-02-04 05:00:00+00:00,2026-03-05 05:00:00+00:00,long,332.876562,300.609866,7.510291457528332,,,-242.33229133146335,-0.009693291653258534,0.030622276133697834,-0.11063128559949487,time_stop,True,recent_2m_daily_partial,partial
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,SQQQ,2026-02-04 15:40:00+00:00,2026-02-04 20:20:00+00:00,long,69.34,70.53,180.27112777617535,,,209.2656566513379,0.008370626266053517,0.04788001153735211,-0.007787712719930839,flat_before_close_or_flip,True,recent_2m_intraday_exact,exact
cross_sectional_momentum::csm_native,Cross-Sectional Momentum :: CSM Native,GOOGL,2026-02-05 05:00:00+00:00,2026-03-06 05:00:00+00:00,long,331.08620399999995,298.260336,7.550903570720815,,,-247.86496389320982,-0.009914598555728392,0.004149360448736816,-0.10905378588350945,time_stop,True,recent_2m_daily_partial,partial
down_streak_exhaustion,Down Streak Exhaustion,NVDA,2026-02-05 05:00:00+00:00,2026-02-12 05:00:00+00:00,long,171.904374,186.892614,14.542969104439425,,,217.97351124992343,0.008718940449996937,0.1264983868298779,-0.005144569503507723,time_stop,True,recent_2m_daily_partial,partial
down_streak_exhaustion,Down Streak Exhaustion,XLC,2026-02-05 05:00:00+00:00,2026-02-12 05:00:00+00:00,long,115.863168,114.257144,21.57717627745169,,,-34.653462953818185,-0.0013861385181527274,0.014386211155559048,-0.014958748581775372,time_stop,True,recent_2m_daily_partial,partial
relative_strength_vs_benchmark::rs_top3_native,Relative Strength vs Benchmark :: RS Top-3 Native,GOOGL,2026-02-05 05:00:00+00:00,2026-03-06 05:00:00+00:00,long,331.08620399999995,298.260336,7.550903570720815,,,-247.86496389320982,-0.009914598555728392,0.004149360448736816,-0.10905378588350945,time_stop,True,recent_2m_daily_partial,partial
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,SQQQ,2026-02-05 16:10:00+00:00,2026-02-05 20:20:00+00:00,long,74.7,73.55,167.33601070950468,,,-198.1989814345869,-0.007927959257383476,0.0013386880856760541,-0.03748326639892896,flat_before_close_or_flip,True,recent_2m_intraday_exact,exact
down_streak_exhaustion,Down Streak Exhaustion,GOOGL,2026-02-06 05:00:00+00:00,2026-02-13 05:00:00+00:00,long,322.704528,305.448898,7.7470248573642575,,,-133.67979453948038,-0.005347191781579216,0.023072102663523886,-0.05951118231597907,time_stop,True,recent_2m_daily_partial,partial
down_streak_exhaustion,Down Streak Exhaustion,XLC,2026-02-06 05:00:00+00:00,2026-02-13 05:00:00+00:00,long,115.413078,114.197156,21.661323338070925,,,-26.3384795958737,-0.001053539183834948,0.01834213276939023,-0.017269082798398228,time_stop,True,recent_2m_daily_partial,partial
relative_strength_vs_benchmark::rs_top3_native,Relative Strength vs Benchmark :: RS Top-3 Native,GOOGL,2026-02-06 05:00:00+00:00,2026-03-09 04:00:00+00:00,long,322.704528,306.29872800000004,7.7470248573642575,,,-127.09614040494608,-0.005083845616197844,0.023072102663523886,-0.0887019719785277,time_stop,True,recent_2m_daily_partial,partial
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,TQQQ,2026-02-06 16:25:00+00:00,2026-02-06 20:20:00+00:00,long,49.7,50.31,251.50905432595573,,,143.44971880055513,0.005737988752022205,0.01327967806841035,-0.0038229376257545855,flat_before_close_or_flip,True,recent_2m_intraday_exact,exact
relative_strength_vs_benchmark::rs_top3_native,Relative Strength vs Benchmark :: RS Top-3 Native,GOOGL,2026-02-09 05:00:00+00:00,2026-03-10 04:00:00+00:00,long,324.16482,306.97859200000005,7.712126195556939,,,-132.54235916161392,-0.005301694366464557,0.010226834608394464,-0.09280717136424621,time_stop,True,recent_2m_daily_partial,partial
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,TQQQ,2026-02-09 16:10:00+00:00,2026-02-09 20:20:00+00:00,long,51.52,51.98,242.62422360248445,,,101.9583138668251,0.004078332554673003,0.013004658385093126,-0.0007763975155280489,flat_before_close_or_flip,True,recent_2m_intraday_exact,exact
relative_strength_vs_benchmark::rs_top3_native,Relative Strength vs Benchmark :: RS Top-3 Native,GOOGL,2026-02-10 05:00:00+00:00,2026-03-11 04:00:00+00:00,long,318.423672,308.63826,7.85117508474684,,,-76.82698288838282,-0.0030730793155353126,0.009504092396748653,-0.0764505724310598,time_stop,True,recent_2m_daily_partial,partial
relative_strength_vs_benchmark::rs_top3_native,Relative Strength vs Benchmark :: RS Top-3 Native,GOOGL,2026-02-11 05:00:00+00:00,2026-03-12 04:00:00+00:00,long,310.81215,303.48929000000004,8.04344360411908,,,-58.90101143085892,-0.002356040457234357,0.03226337837822624,-0.05383364196026441,time_stop,True,recent_2m_daily_partial,partial
qqq_led_tqqq_sqqq_pair_opening_range_intraday_system,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,SQQQ,2026-02-11 15:10:00+00:00,2026-02-11 20:20:00+00:00,long,68.66,68.07,182.0565103408098,,,-113.72035747625435,-0.004548814299050174,0.021118555199533873,-0.01471016603553732,flat_before_close_or_flip,True,recent_2m_intraday_exact,exact
