signal_date,signal_timestamp,bullish_or_bearish,qqq_state,trade_side,underlying_instrument,underlying_entry_timestamp,underlying_exit_timestamp,underlying_entry_price,underlying_exit_price,underlying_pnl,underlying_return_pct
2026-04-01,2026-04-01T10:40:00-04:00,bullish,below_open,TQQQ,TQQQ,2026-04-01T10:40:00-04:00,2026-04-01T15:20:00-04:00,43.275,43.28,1.4442518775281796,0.005777007510112718
2026-04-02,2026-04-02T10:25:00-04:00,bullish,below_open,TQQQ,TQQQ,2026-04-02T10:25:00-04:00,2026-04-02T15:20:00-04:00,42.045,42.9601,272.07541485186124,1.0882387917707164
