variant_id,base_strategy,removed_symbol,removal_kind,comparison_scope,baseline_slice,comparison_slice,baseline_total_return_pct,comparison_total_return_pct,return_delta_pct_points,baseline_final_equity,comparison_final_equity,final_equity_delta,baseline_non_extreme_expectancy,comparison_non_extreme_expectancy,non_extreme_expectancy_delta,baseline_top_symbol_share_pct,comparison_top_symbol_share_pct,top_symbol_share_delta_pct_points
csm_native,cross_sectional_momentum,AAPL+META,pair,broad_participation,broad_participation_only,pair_aapl_meta_broad_participation_only,9.077537450716399,1.5464523306208067,-7.531085120095592,27269.3843626791,25386.6130826552,-1882.7712800238987,16.20524770292291,8.592796392971625,-7.612451309951286,90.29916936182299,100.0,9.70083063817701
csm_native,cross_sectional_momentum,META+NFLX,pair,broad_participation,broad_participation_only,pair_meta_nflx_broad_participation_only,9.077537450716399,2.709061469036844,-6.368475981679555,27269.3843626791,25677.26536725921,-1592.118995419889,16.20524770292291,12.037265554567421,-4.16798214835549,90.29916936182299,100.0,9.70083063817701
csm_native,cross_sectional_momentum,AAPL+META,pair,full,ex_tsla_full,pair_aapl_meta_full,405.7754360762286,275.0908943380125,-130.68454173821607,126443.85901905714,93772.72358450312,-32671.135434554017,106.50658046085769,80.0165101872187,-26.49007027363899,32.48540442149629,47.447915717273794,14.962511295777503
csm_native,cross_sectional_momentum,META+NFLX,pair,full,ex_tsla_full,pair_meta_nflx_full,405.7754360762286,168.86864717598687,-236.9067889002417,126443.85901905714,67217.16179399671,-59226.69722506043,106.50658046085769,52.41774203190356,-54.08883842895413,32.48540442149629,70.38801588643445,37.902611464938154
csm_native,cross_sectional_momentum,AAPL,single,broad_participation,broad_participation_only,ex_aapl_broad_participation_only,9.077537450716399,-0.6339854323953675,-9.711522883111765,27269.3843626791,24841.50364190116,-2427.880720777939,16.20524770292291,14.172127171096063,-2.0331205318268477,90.29916936182299,100.0,9.70083063817701
csm_native,cross_sectional_momentum,AMZN,single,broad_participation,broad_participation_only,ex_amzn_broad_participation_only,9.077537450716399,4.498836744281465,-4.578700706434934,27269.3843626791,26124.709186070366,-1144.6751766087327,16.20524770292291,15.399128552285301,-0.8061191506376097,90.29916936182299,100.0,9.70083063817701
csm_native,cross_sectional_momentum,GOOGL,single,broad_participation,broad_participation_only,ex_googl_broad_participation_only,9.077537450716399,-6.312967820506765,-15.390505271223164,27269.3843626791,23421.75804487331,-3847.626317805789,16.20524770292291,9.65223119192484,-6.553016510998072,90.29916936182299,66.66699812723739,-23.6321712345856
csm_native,cross_sectional_momentum,META,single,broad_participation,broad_participation_only,ex_meta_broad_participation_only,9.077537450716399,4.471081172052194,-4.606456278664205,27269.3843626791,26117.770293013047,-1151.6140696660514,16.20524770292291,10.896863297487224,-5.308384405435687,90.29916936182299,100.0,9.70083063817701
csm_native,cross_sectional_momentum,NFLX,single,broad_participation,broad_participation_only,ex_nflx_broad_participation_only,9.077537450716399,0.5980214646011506,-8.47951598611525,27269.3843626791,25149.505366150286,-2119.8789965288124,16.20524770292291,8.690083541302869,-7.515164161620042,90.29916936182299,68.12647126667451,-22.172698095148476
csm_native,cross_sectional_momentum,AAPL,single,full,ex_tsla_full,ex_aapl_full,405.7754360762286,379.52268144093983,-26.25275463528874,126443.85901905714,119880.67036023496,-6563.188658822182,106.50658046085769,107.87716831579901,1.37058785494132,32.48540442149629,34.3982178992774,1.912813477781107
