winner_id,variant,entry_mode,timeframe_min,timeframe_label,layer_id,is_baseline_layer,start_offset_min,cutoff,block_window,cost_bps_per_side,stop_loss_pct,take_profit_pct,ending_equity,total_return_pct,cagr_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_count,win_rate_pct,long_trades,short_trades,session_count,avg_trade_return_pct,avg_holding_bars,avg_holding_minutes,exposure_pct
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_none_block_lunch_1130_1300,False,0,none,lunch_1130_1300,0.0,1.25,3.5,383148.333979478,283.14833397947797,31.243889276031744,10.716155741316491,1.9536537233326394,1.3639565473181754,1423,700,49.191848208011244,725,698,1245,0.09799917112862551,20.683766690091357,206.83766690091358,58.5356811862836
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_1430_block_lunch_1130_1300,False,0,14:30,lunch_1130_1300,0.0,1.25,3.5,352941.1382365312,252.9411382365312,29.080375741548494,10.734096103000912,1.9029617882695495,1.3602136944178602,1290,639,49.53488372093023,655,635,1245,0.1016245140311206,22.586046511627906,225.86046511627904,58.041396354649365
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_1400_block_lunch_1130_1300,False,0,14:00,lunch_1130_1300,0.0,1.25,3.5,351914.65556962875,251.91465556962876,29.004300200668666,10.696733324948426,1.8835338659385104,1.3756258041817917,1228,613,49.9185667752443,620,608,1245,0.10641132652237287,23.47638436482085,234.76384364820848,57.470909278138194
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_1415_block_lunch_1130_1300,False,0,14:15,lunch_1130_1300,0.0,1.25,3.5,349991.3013536351,249.9913013536351,28.86127717900646,10.696733324948493,1.875770337079525,1.3724232338210973,1239,618,49.87893462469734,627,612,1245,0.10502332346477633,23.335754640839387,233.35754640839386,57.62949232828751
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_1500_block_lunch_1130_1300,False,0,15:00,lunch_1130_1300,0.0,1.25,3.5,349482.80483017385,249.48280483017388,28.823359989772523,10.734096103000878,1.835499775007736,1.346873187316496,1345,660,49.07063197026022,686,659,1245,0.09678861257087298,21.806691449814128,218.06691449814127,58.39151477705694
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_1445_block_lunch_1130_1300,False,0,14:45,lunch_1130_1300,0.0,1.25,3.5,347590.86893743987,247.59086893743984,28.68189595350874,10.734096103000844,1.869127649264315,1.3526757399156581,1307,644,49.273144605967865,664,643,1245,0.09914314603565967,22.345830145371078,223.4583014537108,58.17114612295335
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_15_cutoff_none_block_lunch_1130_1300,False,15,none,lunch_1130_1300,0.0,1.25,3.5,332226.0348717216,232.2260348717216,27.509692743056725,11.346319777620318,1.7734620549560847,1.32636620774788,1412,693,49.079320113314445,722,690,1245,0.08856475118105174,20.592776203966007,205.92776203966008,57.8066110596231
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_00_cutoff_none_block_lunch_1130_1230,False,0,none,lunch_1130_1230,0.0,1.25,3.5,324908.87345304666,224.90887345304665,26.93619470420938,13.082909876277371,1.709931726328031,1.3044200178267873,1475,705,47.79661016949153,743,732,1245,0.08344586838593099,20.107118644067796,201.07118644067796,58.99495417567707
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_30_cutoff_none_block_lunch_1130_1300,False,30,none,lunch_1130_1300,0.0,1.25,3.5,323174.8156029252,223.17481560292518,26.798776268069304,11.746095091586707,1.769400551883714,1.3285642352811993,1382,685,49.56584659913169,711,671,1245,0.08837003318187849,20.562952243125906,205.62952243125906,56.46174441355164
dominant_count_10m_always_on,active_dominant_count_session_reset,always_on_active,10,10m,start_45_cutoff_none_block_lunch_1130_1300,False,45,none,lunch_1130_1300,0.0,1.25,3.5,315301.6720661472,215.30167206614718,26.167356834976818,11.04778054853166,1.8145605847661082,1.362676221542709,1281,644,50.27322404371585,670,611,1245,0.09291952467508133,20.473067915690866,204.73067915690865,52.03171661002987
