strategy_id,family,cluster_dimension,cluster_value,trade_count,expectancy,payoff_ratio,win_rate,average_MFE,average_MAE,drawdown_contribution,profit_concentration,stability_across_subperiods,hotspot_score
breakout_consolidation_rep_user_subset_5y,Breakout / Trend-Continuation Family,symbol,NVDA,10,419.1450533571568,10.732491491435226,0.8,0.3437224040885238,-0.036583263764779515,99.9631274920713,4291.41366106364,0.75,8090.146253633384
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,symbol,NVDA,586,169.80836259340614,1.876629646371288,0.6706484641638225,0.16436445921628587,-0.07888578464519859,35269.86453088828,134777.5650106243,0.8,1625.2101053834294
volatility_contraction_breakout_rep_user_subset_5y,Breakout / Trend-Continuation Family,symbol,NVDA,36,163.78379003940995,2.4008213650179524,0.6666666666666666,0.13195391003940304,-0.0656355796132963,1550.9654273491058,7447.181868767864,1.0,1419.86933434821
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,symbol,NVDA,625,159.94681216207087,1.8116981915557973,0.6592,0.16099236007938422,-0.08009034205515671,39917.7630082447,139884.520609539,0.6666666666666666,1243.9766731613288
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,trend_alignment,trend_not_aligned,209,137.5748558792589,1.7487639539282411,0.6028708133971292,0.16951187727895886,-0.08323481400580318,17376.12519301595,46129.27007178105,0.6666666666666666,857.6259595336676
dse_exact_user_subset_5y,Down Streak Exhaustion,symbol,NVDA,19,105.1157819504339,3.1590960779620096,0.6842105263157895,0.07521529316552758,-0.03150545059709511,341.71079193986213,2338.9106489981064,0.8333333333333334,828.9961465890951
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,gap_bucket,-3% to -1%,244,129.26170148232276,1.3640769030223632,0.6967213114754098,0.13167748765134685,-0.07726709472528204,14781.83450372068,46321.68966540744,0.8,775.9982473916878
dse_exact_user_subset_5y,Down Streak Exhaustion,gap_bucket,1% to 3%,15,73.68377552684517,4.018311192131981,0.6666666666666666,0.05731922798161074,-0.02805596352088447,157.07204004216126,1262.3286729448387,0.8333333333333334,684.1000846481054
relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,symbol,NFLX,483,96.20952448695076,1.3904021615906785,0.6666666666666666,0.09463542366760773,-0.060952015967809456,26094.501075885353,72563.70140308257,0.8,661.5816561976384
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,side,long,2214,91.94694835642696,1.3465864358160042,0.6485998193315267,0.10941423065809595,-0.06853185387775489,137040.87596623378,340611.4196273631,0.6666666666666666,635.8294323152833
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,time_of_day_bucket,daily_session,2214,91.94694835642696,1.3465864358160042,0.6485998193315267,0.10941423065809595,-0.06853185387775489,137040.87596623378,340611.4196273631,0.6666666666666666,635.8294323152833
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,holding_bucket,11-30d,1859,93.47798487729206,1.3368104078049035,0.6525013448090371,0.10838821526892588,-0.06887112421730662,115072.42357641665,288847.9974633026,0.6666666666666666,627.1719847239427
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,regime_bucket,market_not_uptrend,117,172.45331737214147,1.1393349801404307,0.8461538461538461,0.12353651082252247,-0.05115438459315856,3831.3190892970706,24008.35722183762,0.6666666666666666,624.9027458499677
cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,gap_bucket,1% to 3%,356,99.01981496975878,1.3401018242160572,0.648876404494382,0.12715743817552033,-0.0744799546590098,23874.608226345215,59125.66235557935,0.8,623.9646061984876
