session_date,equity
2021-03-09,99637.24311751919
2021-03-10,98498.14766419641
2021-03-11,98498.14766419641
2021-03-12,97862.1848679994
2021-03-15,96600.25585968286
2021-03-16,96390.25649303212
2021-03-17,94862.68660088762
2021-03-18,95277.09071248953
2021-03-19,95465.90634770882
2021-03-22,96075.98948732896
2021-03-23,94662.2424183696
2021-03-24,95845.25408586038
2021-03-25,96332.72229514757
2021-03-26,97404.0302924101
2021-03-29,94824.90775886446
2021-03-30,94824.90775886446
2021-03-31,94824.90775886446
2021-04-01,95006.53142257922
2021-04-05,95702.75088758956
2021-04-06,95702.75088758956
2021-04-07,95863.93720823305
2021-04-08,95863.93720823305
2021-04-09,95863.93720823305
2021-04-12,95517.21750871376
2021-04-13,95816.57503791746
2021-04-14,95698.48688371286
2021-04-15,96014.37306067487
2021-04-16,95768.66343390485
2021-04-19,95815.02947686202
2021-04-20,95817.9823858931
2021-04-21,96374.10436759371
2021-04-22,96602.0826607756
2021-04-23,97357.95868581311
2021-04-26,97357.95868581311
2021-04-27,97350.4883017475
2021-04-28,96888.2344501534
2021-04-29,96813.88655039317
2021-04-30,96005.19670218127
2021-05-03,95654.06020152391
2021-05-04,95944.8253585398
2021-05-05,95105.6407820532
2021-05-06,94309.98267206231
2021-05-07,94260.97911656919
2021-05-10,95659.21539623887
2021-05-11,96162.38493034733
2021-05-12,96594.79401430335
2021-05-13,96256.60711185218
2021-05-14,96912.99543222225
2021-05-17,96451.38586088369
2021-05-18,95967.44321629815
2021-05-19,95210.00151765991
2021-05-20,96089.36777791944
2021-05-21,96305.82946336149
2021-05-24,96747.36738831633
2021-05-25,96747.36738831633
2021-05-26,96747.36738831633
2021-05-27,96747.36738831633
2021-05-28,96747.36738831633
2021-06-01,96810.26314896788
2021-06-02,96810.26314896788
2021-06-03,96344.95820893247
2021-06-04,96834.32809641708
2021-06-07,96834.32809641708
2021-06-08,97073.69707834609
2021-06-09,97073.69707834609
2021-06-10,97160.47557593252
2021-06-11,97160.47557593252
2021-06-14,97160.47557593252
2021-06-15,97160.47557593252
2021-06-16,96619.42994689601
2021-06-17,97013.405034753
2021-06-18,96833.67485324577
2021-06-21,96712.67118317573
2021-06-22,96712.67118317573
2021-06-23,96421.67048073627
2021-06-24,96421.67048073627
2021-06-25,96421.67048073627
2021-06-28,96796.36770070481
2021-06-29,96796.36770070481
2021-06-30,96796.36770070481
2021-07-01,96796.36770070481
2021-07-02,96796.36770070481
2021-07-06,96577.32081171231
2021-07-07,96146.59128456136
2021-07-08,95931.70299901249
2021-07-09,96084.97177191141
2021-07-12,96084.97177191141
2021-07-13,95820.60582057605
2021-07-14,95906.14348911085
2021-07-15,96388.93483399169
2021-07-16,96720.77569653797
2021-07-19,96212.58709820855
2021-07-20,97445.34472921322
2021-07-21,96777.1373779954
2021-07-22,97098.61816243482
2021-07-23,97098.61816243482
2021-07-26,97098.61816243482
2021-07-27,97187.45084324366
2021-07-28,97645.09380073207
2021-07-29,97404.04481510949
2021-07-30,97397.15111939206
2021-08-02,97087.8292638205
2021-08-03,96299.2041860918
2021-08-04,96299.2041860918
2021-08-05,96299.2041860918
2021-08-06,96299.2041860918
2021-08-09,96299.2041860918
2021-08-10,96255.44011123892
2021-08-11,96255.44011123892
2021-08-12,96273.86995316517
2021-08-13,96273.86995316517
2021-08-16,96344.39400412906
2021-08-17,96410.81080667456
2021-08-18,96410.81080667456
2021-08-19,95374.79918803003
2021-08-20,95469.05067912205
2021-08-23,96113.34372884891
2021-08-24,96042.81015130038
2021-08-25,96042.81015130038
2021-08-26,95537.10635349022
2021-08-27,95536.99937642908
2021-08-30,96036.64613973831
2021-08-31,95836.23861704094
2021-09-01,95836.23861704094
2021-09-02,95501.6775268808
2021-09-03,95533.58052799785
2021-09-07,95533.58052799785
2021-09-08,95522.94610167571
2021-09-09,94891.49803468093
2021-09-10,95875.32483609694
2021-09-13,95528.78176728789
2021-09-14,95525.75791670721
2021-09-15,95525.75791670721
2021-09-16,95727.92127442575
2021-09-17,96234.30841269261
2021-09-20,96376.91895831109
2021-09-21,95986.96356763222
2021-09-22,96282.06210753853
2021-09-23,96354.65903992628
2021-09-24,95745.20038931185
2021-09-27,95235.32633292119
2021-09-28,96160.91391602748
2021-09-29,94256.05678640587
2021-09-30,93479.77507933456
2021-10-01,93915.66665667799
2021-10-04,94588.68154092562
2021-10-05,95423.9719862655
2021-10-06,95806.02570203537
2021-10-07,95575.46594762061
2021-10-08,95074.88275565834
2021-10-11,95006.73863679098
2021-10-12,94034.75161462536
2021-10-13,94285.23524974381
2021-10-14,94832.14206032212
2021-10-15,95106.08693698193
2021-10-18,95987.61298742502
2021-10-19,96148.97727468752
2021-10-20,95835.22896240526
2021-10-21,95835.22896240526
2021-10-22,95768.71711764019
2021-10-25,95768.71711764019
2021-10-26,94828.31461201358
2021-10-27,93839.33750305905
2021-10-28,93495.62388720899
2021-10-29,93495.62388720899
2021-11-01,93495.62388720899
2021-11-02,92947.79030793192
2021-11-03,93189.0671173389
2021-11-04,93662.13225161567
2021-11-05,93034.74271677554
2021-11-08,93034.74271677554
2021-11-09,93051.61181010272
2021-11-10,93611.02115408493
2021-11-11,93611.02115408493
2021-11-12,93642.38110449066
2021-11-15,93376.67403394288
2021-11-16,93774.58270970926
2021-11-17,93600.55375277752
2021-11-18,93768.89983170529
2021-11-19,93768.89983170529
2021-11-22,94651.93671923532
2021-11-23,93487.39689360489
2021-11-24,93222.97366826964
2021-11-29,92902.71904136121
2021-11-30,92515.83437552786
2021-12-01,94975.76631713325
2021-12-02,94999.58238853201
2021-12-03,95745.56011455119
2021-12-06,96170.31720883005
2021-12-07,96688.24463680868
2021-12-08,96688.24463680868
2021-12-09,97744.08563626715
2021-12-10,96325.9574958853
2021-12-13,96880.27677950927
2021-12-14,98120.7275700212
2021-12-15,101403.81955914592
2021-12-16,102817.24859809311
2021-12-17,102129.92031170969
2021-12-20,101733.36817510026
2021-12-21,101784.56228144169
2021-12-22,102769.14379290478
2021-12-23,103180.26609756336
2021-12-27,103997.45858557668
2021-12-28,103955.8637620408
2021-12-29,103859.19484243954
2021-12-30,103013.8619471222
2021-12-31,103013.8619471222
2022-01-03,101866.5417826579
2022-01-04,102446.06569040766
2022-01-05,104881.52205205974
2022-01-06,103146.56236060373
2022-01-07,103008.21370612264
2022-01-10,104318.06438104187
2022-01-11,102931.05917808246
2022-01-12,102732.96137907475
2022-01-13,104975.74549949713
2022-01-14,103331.10983305248
2022-01-18,102190.99426783429
2022-01-19,101450.80273065054
2022-01-20,103337.82446637223
2022-01-21,103670.70836855122
2022-01-24,110151.5762025273
2022-01-25,109312.92826213148
2022-01-26,113162.61321128799
2022-01-27,112622.44701764232
2022-01-28,114165.47012944514
2022-01-31,116834.19015553674
2022-02-01,117330.48783745455
2022-02-02,116126.7493307933
2022-02-03,116897.42850489859
2022-02-04,117655.88361427934
2022-02-07,116940.61687530212
2022-02-08,117898.21203453322
2022-02-09,118666.38942120982
2022-02-10,117498.98156780537
2022-02-11,118541.33617056915
2022-02-14,118003.38036158455
2022-02-15,117730.84785988933
2022-02-16,118100.28167788604
2022-02-17,119995.78070129725
2022-02-18,119710.32393292141
2022-02-22,118945.56652170538
2022-02-23,122292.17327867728
2022-02-24,124023.45943963842
2022-02-25,125069.52874419831
2022-02-28,122996.47162386548
2022-03-01,124219.0357921206
2022-03-02,123811.0083201814
2022-03-03,125743.35211571277
2022-03-04,124877.46591801019
2022-03-07,128050.78332216284
2022-03-08,124514.94293801255
2022-03-09,124450.28442352152
2022-03-10,124690.33905275447
2022-03-11,126733.31299209557
2022-03-14,128445.26801192285
2022-03-15,129938.04266392348
2022-03-16,132235.88553144518
2022-03-17,130164.55507345367
2022-03-18,132452.6201258246
2022-03-21,131653.0067071494
2022-03-22,133125.68711159535
2022-03-23,131829.1938272046
2022-03-24,132998.1192458579
2022-03-25,132084.8139121614
2022-03-28,129512.06762717587
2022-03-29,129943.38093305023
2022-03-30,130172.02420268694
2022-03-31,131185.90400160648
2022-04-01,131195.0066819812
2022-04-04,132953.55672980295
2022-04-05,133945.20619045102
2022-04-06,130995.35921198719
2022-04-07,131891.86670625932
2022-04-08,131403.45993102237
2022-04-11,133002.2070953089
2022-04-12,131194.35314884747
2022-04-13,132771.04376893747
2022-04-14,134996.01283361152
2022-04-18,132684.7533937112
2022-04-19,134178.42128875706
2022-04-20,133569.49678972087
2022-04-21,135265.29026628353
2022-04-22,137502.76617006335
2022-04-25,137081.80894113283
2022-04-26,140161.87580319407
2022-04-27,136635.23064376717
2022-04-28,135523.67964894944
2022-04-29,139281.6692739211
2022-05-02,138536.42733949434
2022-05-03,136835.64732572742
2022-05-04,140647.57423213508
2022-05-05,144411.3896923528
2022-05-06,143075.60769148578
2022-05-09,144197.23722747518
2022-05-10,141641.13776185218
2022-05-11,143562.88156029524
2022-05-12,137164.90065860786
2022-05-13,140070.07013003013
2022-05-16,137843.15715582093
2022-05-17,134704.39375121662
2022-05-18,137582.7193936359
2022-05-19,134156.25542860344
2022-05-20,137624.14466093553
2022-05-23,139924.70313025426
2022-05-24,134721.3252322144
2022-05-25,135369.004407888
2022-05-26,137651.1280676107
2022-05-27,139619.7625706389
2022-05-31,137660.52176053723
2022-06-01,136808.39081012504
2022-06-02,137362.47506830358
