strategy_id,strategy_label,slice_name,scope_note,final_equity,total_return_pct,CAGR,max_drawdown_pct,Sharpe,profit_factor,expectancy,win_rate,average_win,average_loss,payoff_ratio,trade_count,percent_profitable_months,top_symbol,top_symbol_pnl_share_pct,top_10pct_days_pnl_share_pct,non_extreme_day_expectancy,reached_100k_from_25k
cross_sectional_momentum,Cross-sectional momentum,native_baseline,native full-signal baseline on the 9-symbol user subset,228570.5436611294,814.2821746445176,55.89357033675135,43.75507109331842,1.3447877409444475,2.4854731643082033,91.94694835642696,64.85998193315267,237.1945819132055,-176.14508478950358,1.3465864358160042,2214,54.09836065573771,NVDA,48.870663335209734,53.37516629389461,177.33966378510672,True
cross_sectional_momentum,Cross-sectional momentum,ex_nvda_full,native trades with NVDA removed ex post,129062.8431813932,416.2513727255728,39.00367924949564,43.24542511226224,1.0689225691621795,2.0225194946353042,63.92066534483616,64.06633906633907,197.34789512630758,-173.96754091512054,1.1343949226861487,1628,49.18032786885246,NFLX,32.262294987561276,54.77938800460963,90.95116822378834,True
cross_sectional_momentum,Cross-sectional momentum,rising_market,entry day in SPY-tagged rising_market regime,141843.76293925475,467.37505175701904,41.66227735020287,54.535576619127845,1.0104954740317056,2.047591680562788,70.72867006008148,62.28813559322034,221.9430120508772,-179.02984985730018,1.2396983644223682,1652,45.90163934426229,NVDA,61.143102418530205,52.67362576522231,122.089561321459,True
cross_sectional_momentum,Cross-sectional momentum,rising_market_ex_nvda,entry day in rising_market regime with NVDA removed ex post,70401.86129564157,181.6074451825663,23.087860828302965,66.38751435441907,0.6358654538549062,1.5540622084183398,38.41105016551737,60.998307952622675,176.62340930074097,-177.75188028241365,0.9936514259096457,1182,40.98360655737705,META,44.83306625814477,56.226824139484435,51.310364465151494,False
cross_sectional_momentum,Cross-sectional momentum,calmer,entry day in SPY-tagged calmer / low-vol regime,125624.50923225711,402.4980369290285,38.252647378822125,35.3057461563293,1.0173261956867514,2.247625401170282,72.0289973029757,62.41947029348604,207.88684758622708,-153.62442259606283,1.353214834420181,1397,39.34426229508197,NVDA,58.35540326308395,55.12113850434807,124.83209542925951,True
cross_sectional_momentum,Cross-sectional momentum,calmer_ex_nvda,entry day in calmer / low-vol regime with NVDA removed ex post,66904.67108827436,167.61868435309748,21.83598807501643,43.67728387734924,0.7140122310320357,1.7049359834964457,42.15761678900836,60.56338028169014,168.35434990692784,-151.64450907065367,1.1101908729744299,994,37.704918032786885,TSLA,33.73303112915958,57.852404825704106,66.65551681338546,False
cross_sectional_momentum,Cross-sectional momentum,strong_momentum_participation,entry day in rising_market with participation_score in the top quartile of rising-market days,50685.871908105764,102.74348763242304,15.235128434595913,91.42517109003475,0.5690672607817182,1.6453946825924575,44.362473070994426,53.1951640759931,212.61225930323005,-146.85868618925863,1.4477336330602464,579,27.86885245901639,TSLA,40.94506202943696,60.720499022405924,92.09068914178621,False
cross_sectional_momentum,Cross-sectional momentum,strong_momentum_participation_ex_nvda,strong momentum participation entry day with NVDA removed ex post,47916.90355920169,91.66761423680676,13.943541773322199,74.48658164890537,0.519412204674706,1.7461513729672296,51.15380258750377,53.79464285714286,222.5327023467443,-148.37428843653962,1.4998063659925998,448,29.508196721311474,TSLA,45.065512948643196,62.39973659106697,68.07350163737979,False
cross_sectional_momentum,Cross-sectional momentum,megacap_ex_nvda,native trades restricted to mega-cap tech ex-NVDA symbols present in the user subset,127830.90935126462,411.3236374050585,38.73644841603243,43.15508891847849,1.0742354843025883,2.0189178937094265,64.59227974325671,63.881909547738694,200.34669913269101,-175.51597159422965,1.1414727520972667,1592,49.18032786885246,NFLX,32.66255817169119,54.69281454163837,90.11014568910889,True
cross_sectional_momentum,Cross-sectional momentum,megacap_ex_nvda_supportive,mega-cap tech ex-NVDA trades restricted to rising_market entry days,69208.07918985884,176.83231675943537,22.66623176256224,64.05929910110626,0.6467367230996587,1.5448496177020385,38.50877978210696,60.62717770034843,180.0951283528292,-179.50913748608477,1.0032644068984502,1148,40.98360655737705,META,46.043725332846705,56.08277617657009,50.598824203620254,False
