template_key,family,final_equity,total_return_pct,CAGR,max_drawdown_pct,Sharpe,profit_factor,expectancy,win_rate,average_win,average_loss,payoff_ratio,trade_count,percent_profitable_months,top_symbol,top_symbol_pnl_share_pct,top_10pct_days_pnl_share_pct,variant_id,variant_name,symbol_concentration_index,reached_100k_from_25k,hardening_quality_score
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,231224.29397947813,824.8971759179126,56.255040874375936,43.39485766039874,1.4174542653043711,2.3633977691278174,90.21185213450477,64.30446194225722,243.18497165824053,-185.36472347810744,1.3119269249036047,2286,55.73770491803278,NVDA,49.79648864466682,54.931882700142786,reduced_selection_top3,Reduced selection top 3,0.32744862084337734,True,0.5161192337189524
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,135621.07764372503,442.4843105749002,40.39291743694373,38.46889473353091,1.309472871882553,2.311215338516785,82.61469577574685,64.45108289768484,225.94018465352863,-177.23802880729028,1.274783894709142,1339,55.73770491803278,NVDA,45.76669378530562,56.52407904225837,calendar_stagger_alt_days,Calendar stagger alt days,0.28924323911453104,True,0.5090790080117884
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,207766.07875669483,731.0643150267794,52.93704036066207,44.56392878759712,1.3540645856416804,2.2324275628627714,79.98515481693421,63.8074398249453,227.0670111768478,-179.31998009570665,1.2662672115826559,2285,55.73770491803278,NVDA,46.35521646002406,54.3474750519962,turnover_cap_max_positions_3,Turnover cap max_positions 3,0.30372695529601446,True,0.5005850341566914
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,246108.30379177188,884.4332151670875,58.22308732464763,46.37138362695909,1.352144159272457,2.309019905268424,82.68822131330276,64.3979057591623,226.4922426751968,-177.4278761501233,1.276531329741893,2674,55.73770491803278,NVDA,44.61038292422742,56.45173562648683,native_baseline,Native baseline,0.2798888918185182,True,0.49830244477929314
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,175190.6458122648,600.7765959784329,47.793217365683184,43.89120511721492,1.2294070294943606,2.0394837304489677,63.344852725543994,63.60185575706453,195.4087884359108,-167.42271975560678,1.1671581295606495,2371,55.73770491803278,NFLX,31.034503621127673,53.755922886140674,megacap_tech_ex_nvda,Mega-cap tech ex-NVDA sleeve,0.2292656828411885,True,0.48506167973025444
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,175315.11435537535,601.2604574215014,47.81368591269302,46.059922315963654,1.2483228683279257,2.104421222326798,56.213580536789564,64.3979057591623,166.32879222509703,-142.96540531117836,1.1634198627497747,2674,54.09836065573771,NVDA,34.875304663421616,56.75041481556132,equal_weight_symbol_budget,Equal-weight symbol budget,0.22051413151046034,True,0.46057833054868885
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,122182.4498612306,388.72979944492243,37.484158991457136,45.050128008512566,1.0862471572257861,1.8944281387044521,36.3434741440653,64.3979057591623,119.5328785080605,-114.13147786727897,1.0473261254626238,2674,59.01639344262295,NFLX,20.00000000037223,57.962419289936776,top_symbol_cap_20,Top-symbol contribution cap 20%,0.17471476273412478,True,0.4197067449983061
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,145484.8887502075,481.93955500082996,42.384514549937855,53.133391151395216,1.0618170597227534,1.901630261423402,56.75218499774259,63.25953838907207,189.21439292184652,-171.3205653126056,1.1044464660538003,2123,55.73770491803278,NFLX,37.49115713813169,57.142404752296414,ex_nvda_sleeve,Ex-NVDA sleeve,0.2647174285370236,True,0.4068953365575898
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,58593.43131091151,134.37372524364605,18.636245860089275,33.28778536737871,0.7746127977303049,1.6571846106847057,12.562988523153123,64.3979057591623,49.19316049842674,-53.694528432121224,0.916167101841951,2674,54.09836065573771,AMZN,15.000044373664737,59.73650509772131,top_symbol_cap_15,Top-symbol contribution cap 15%,0.14500026625025833,False,0.37355883740532303
relative_strength_vs_benchmark,Momentum / Relative-Strength Family,24900.85616830135,-0.3965753267946015,-0.07969407972115983,33.352595772658646,0.055368049865844336,0.9941191869438509,-0.043370005117517915,64.30446194225722,11.401170665537794,-20.660373419165698,0.5518375894871989,2286,49.18032786885246,NVDA,15.000133961367473,76.4093930828116,combined_discipline_top3_eq_cap15,Combined discipline top3 + eq + cap15,0.14500080384357658,False,0.2893123934463995
