session_date,equity
2021-03-09,99637.24311751919
2021-03-10,100040.67091975124
2021-03-11,100040.67091975124
2021-03-12,100040.67091975124
2021-03-15,99500.65535974513
2021-03-16,99165.2211277378
2021-03-17,99954.5030128667
2021-03-18,100490.0318870767
2021-03-19,99947.59069445352
2021-03-22,99947.59069445352
2021-03-23,99513.16918657058
2021-03-24,99926.06152098498
2021-03-25,99396.44994861995
2021-03-26,99482.99772088148
2021-03-29,98945.99245860749
2021-03-30,98411.88592936643
2021-03-31,98431.16101237104
2021-04-01,98431.16101237104
2021-04-05,98431.16101237104
2021-04-06,98431.16101237104
2021-04-07,98431.16101237104
2021-04-08,98431.16101237104
2021-04-09,98431.16101237104
2021-04-12,98431.16101237104
2021-04-13,98623.4252142696
2021-04-14,98698.10871371647
2021-04-15,98698.10871371647
2021-04-16,98165.34025106457
2021-04-19,98311.04163815717
2021-04-20,98314.0714714129
2021-04-21,99299.05479091387
2021-04-22,99976.60736196292
2021-04-23,99976.60736196292
2021-04-26,99976.60736196292
2021-04-27,99976.60736196292
2021-04-28,98979.32294901005
2021-04-29,98872.80338956493
2021-04-30,98872.80338956493
2021-05-03,98715.60350882592
2021-05-04,98679.10995245361
2021-05-05,97089.72263547915
2021-05-06,98002.74670454295
2021-05-07,97981.14250104302
2021-05-10,99241.95020062642
2021-05-11,99145.28963743111
2021-05-12,99591.11181521641
2021-05-13,98777.10004229654
2021-05-14,98777.10004229654
2021-05-17,98917.4763707806
2021-05-18,99308.8005226313
2021-05-19,98239.56427444896
2021-05-20,99010.12807976785
2021-05-21,99010.12807976785
2021-05-24,99403.97992075201
2021-05-25,99403.97992075201
2021-05-26,99403.97992075201
2021-05-27,99403.97992075201
2021-05-28,99403.97992075201
2021-06-01,99468.6027533694
2021-06-02,99468.6027533694
2021-06-03,99349.59061451955
2021-06-04,99806.38915971902
2021-06-07,99806.38915971902
2021-06-08,100070.78078558517
2021-06-09,100070.78078558517
2021-06-10,100158.79438466506
2021-06-11,100158.79438466506
2021-06-14,100158.79438466506
2021-06-15,100158.79438466506
2021-06-16,99435.41820818873
2021-06-17,99632.22189320614
2021-06-18,99094.41112478905
2021-06-21,98726.54047406021
2021-06-22,98726.54047406021
2021-06-23,98193.61853789756
2021-06-24,98193.61853789756
2021-06-25,98151.5081866345
2021-06-28,98530.12980252065
2021-06-29,98530.12980252065
2021-06-30,98530.12980252065
2021-07-01,98100.31706435636
2021-07-02,98100.31706435636
2021-07-06,97570.7754572356
2021-07-07,97347.60113814162
2021-07-08,97347.60113814162
2021-07-09,97545.09801586709
2021-07-12,97545.09801586709
2021-07-13,97295.67226329327
2021-07-14,97295.67226329327
2021-07-15,97248.66192701345
2021-07-16,97453.80760662977
2021-07-19,96927.75583183073
2021-07-20,98117.02405853111
2021-07-21,97587.39226772074
2021-07-22,97817.1413129904
2021-07-23,97817.1413129904
2021-07-26,97817.1413129904
2021-07-27,98367.37994175639
2021-07-28,98368.37497703663
2021-07-29,98197.73683614856
2021-07-30,98197.73683614856
2021-08-02,98343.91480190984
2021-08-03,98001.05721549389
2021-08-04,98001.05721549389
2021-08-05,98001.05721549389
2021-08-06,97804.57577015001
2021-08-09,97804.57577015001
2021-08-10,97701.4560247849
2021-08-11,97701.4560247849
2021-08-12,97174.06745368107
2021-08-13,97174.06745368107
2021-08-16,97344.4236313
2021-08-17,96481.59969946287
2021-08-18,96481.59969946287
2021-08-19,96308.75118147314
2021-08-20,96453.82821520143
2021-08-23,97068.09329169916
2021-08-24,97068.09329169916
2021-08-25,97068.09329169916
2021-08-26,97122.977784454
2021-08-27,97314.42266457503
2021-08-30,97704.5251808396
2021-08-31,97310.67549370673
2021-09-01,96902.56852574123
2021-09-02,96902.56852574123
2021-09-03,96980.71991805983
2021-09-07,96980.71991805983
2021-09-08,97264.79426335594
2021-09-09,96752.01564418015
2021-09-10,97737.53344073358
2021-09-13,97411.79768606309
2021-09-14,97559.34509049353
2021-09-15,97364.81820129296
2021-09-16,97514.0276730756
2021-09-17,97991.17854409938
2021-09-20,98137.72635838395
2021-09-21,97443.81759482966
