session_date,equity
2021-03-09,100000.0
2021-03-10,100439.93488150566
2021-03-11,100439.93488150566
2021-03-12,100439.93488150566
2021-03-15,100439.93488150566
2021-03-16,99244.15918655107
2021-03-17,98884.72949821004
2021-03-18,99349.47562155213
2021-03-19,98828.96744432594
2021-03-22,99178.50940867678
2021-03-23,98623.60380907658
2021-03-24,100174.99821717165
2021-03-25,99877.760402449
2021-03-26,101043.25960430065
2021-03-29,101802.128574962
2021-03-30,102259.04646831602
2021-03-31,102462.2960072343
2021-04-01,102585.67985694463
2021-04-05,103337.4402472913
2021-04-06,103090.4147625011
2021-04-07,103264.04367593428
2021-04-08,103219.66229219771
2021-04-09,103999.01749566529
2021-04-12,104291.96917560186
2021-04-13,104495.68121162524
2021-04-14,103800.37981196497
2021-04-15,104205.77813909591
2021-04-16,104669.09724879963
2021-04-19,103878.48741875826
2021-04-20,102322.33059975073
2021-04-21,102440.58194478025
2021-04-22,101124.54262973674
2021-04-23,101678.71421422072
2021-04-26,102233.55884704212
2021-04-27,102270.07946737425
2021-04-28,101658.96817111764
2021-04-29,100943.9967579718
2021-04-30,100554.96947689132
2021-05-03,99746.18043871185
2021-05-04,99709.3058947758
2021-05-05,98631.73394459512
2021-05-06,95999.72360692988
2021-05-07,95843.73140630123
2021-05-10,97077.03519751373
2021-05-11,97007.0390164091
2021-05-12,98150.07923421849
2021-05-13,98143.89440327793
2021-05-14,98978.11084707933
2021-05-17,99085.11725031318
2021-05-18,98185.99775607082
2021-05-19,96036.06827182385
2021-05-20,96183.1319080105
2021-05-21,95195.53129172443
2021-05-24,95574.20906923932
2021-05-25,95561.8146046287
2021-05-26,95721.31172277934
2021-05-27,95649.97986550504
2021-05-28,95381.69205659223
2021-06-01,93735.58429897796
2021-06-02,93667.19167598475
2021-06-03,92873.29037297622
2021-06-04,93300.31159840706
2021-06-07,93580.0176422968
2021-06-08,93331.88913859108
2021-06-09,92930.38688651698
2021-06-10,92711.84326538641
2021-06-11,92851.64324270198
2021-06-14,93468.39708578298
2021-06-15,92969.14274280323
2021-06-16,90764.8114281349
2021-06-17,90751.77603921846
2021-06-18,89812.85936063108
2021-06-21,90222.41590127505
2021-06-22,90916.23470711935
2021-06-23,90611.4205951743
2021-06-24,90427.84829929759
2021-06-25,90376.16422387287
2021-06-28,90724.792278278
2021-06-29,91001.27801870754
2021-06-30,91011.10183521967
2021-07-01,91005.4990266474
2021-07-02,91354.99988122593
2021-07-06,91450.4980163945
2021-07-07,91218.00109483898
2021-07-08,91715.66943836209
2021-07-09,92282.27261029469
2021-07-12,92482.6882457977
2021-07-13,91830.74173780541
2021-07-14,90677.2250287746
2021-07-15,90001.69154765665
2021-07-16,90158.83207676484
2021-07-19,89683.59726333564
2021-07-20,90462.22534302798
2021-07-21,90876.07498551709
2021-07-22,91155.20087901455
2021-07-23,91865.00364764892
2021-07-26,91933.05107695013
2021-07-27,92067.30904048122
2021-07-28,92199.36295086575
2021-07-29,92039.42610237481
2021-07-30,92032.91208338556
2021-08-02,91854.98882355684
2021-08-03,92682.4817302925
2021-08-04,92713.55819737226
2021-08-05,92932.82904131303
2021-08-06,92797.33066173749
2021-08-09,92835.75307609029
2021-08-10,92020.56002505048
2021-08-11,91760.76152245216
2021-08-12,92344.58191041499
2021-08-13,92480.66349132189
2021-08-16,91881.43917027979
2021-08-17,91981.76814312227
2021-08-18,90918.32000737713
2021-08-19,90807.12219171917
2021-08-20,91030.7139190158
2021-08-23,91610.44195556763
2021-08-24,91713.4329953475
2021-08-25,91588.72517790657
2021-08-26,91182.36892315143
2021-08-27,91846.7964984936
2021-08-30,92214.98104343408
2021-08-31,92326.9007778892
2021-09-01,91939.69504381173
2021-09-02,91633.14438349685
2021-09-03,91670.96739226843
2021-09-07,91821.73319631313
2021-09-08,91437.0385916967
2021-09-09,90847.38135480841
2021-09-10,89580.97606129547
2021-09-13,89503.52987253996
2021-09-14,89182.48500728488
2021-09-15,89969.65917119179
2021-09-16,90519.85039254357
2021-09-17,90753.11140404287
2021-09-20,91295.85203934244
2021-09-21,90953.6900121962
2021-09-22,91434.42201607507
2021-09-23,91533.66369870977
2021-09-24,91905.70971685197
2021-09-27,92375.82525840448
2021-09-28,92517.21498349027
2021-09-29,92245.67185638797
2021-09-30,93241.02214444605
2021-10-01,92283.68928542153
2021-10-04,93063.3520890227
2021-10-05,92843.89191947327
2021-10-06,94173.5270908754
2021-10-07,93702.11512287788
2021-10-08,93429.18922349163
2021-10-11,92197.41260802564
2021-10-12,92083.18899908634
2021-10-13,92367.07842913766
2021-10-14,92902.85886318237
2021-10-15,93216.85302714343
2021-10-18,94080.86801220111
2021-10-19,94513.99687055983
2021-10-20,94322.75518714094
2021-10-21,94870.93229715241
2021-10-22,93943.17997538588
2021-10-25,94583.83308419643
2021-10-26,94349.1381065982
2021-10-27,93972.56182605357
2021-10-28,94508.12578741112
2021-10-29,95394.84687939967
2021-11-01,95886.3284139953
2021-11-02,95886.17349020638
2021-11-03,96811.66809020938
2021-11-04,97303.1230020499
2021-11-05,96693.52583140253
2021-11-08,96601.46254415013
2021-11-09,96327.2509708419
2021-11-10,95598.35537906425
2021-11-11,95136.33912744417
2021-11-12,96098.93859005955
2021-11-15,95828.56073108145
2021-11-16,96272.19962358159
2021-11-17,95792.78255053332
2021-11-18,96231.13375252878
2021-11-19,95962.2236888129
2021-11-22,95146.76885518245
2021-11-23,96311.6179400976
2021-11-24,96521.72956463601
2021-11-29,97039.20244147924
2021-11-30,94906.07391448412
2021-12-01,97505.98837510898
2021-12-02,96765.06199692741
2021-12-03,97524.90303087376
2021-12-06,96380.79988480538
2021-12-07,96782.7976096421
2021-12-08,97382.55060752276
2021-12-09,95746.8674446543
2021-12-10,96352.4389992843
2021-12-13,96585.96156637394
2021-12-14,97387.49705382003
2021-12-15,97109.52906923143
2021-12-16,96593.80875023741
2021-12-17,95207.0867048021
2021-12-20,95211.49272686701
2021-12-21,94897.6707905566
2021-12-22,95815.6340852549
2021-12-23,96130.84070057573
2021-12-27,96809.92942721678
2021-12-28,96287.0296958062
2021-12-29,96224.60028929717
2021-12-30,95760.13081028048
2021-12-31,96158.0410437445
2022-01-03,97152.08554461157
2022-01-04,95216.80492349656
2022-01-05,97807.18314808038
2022-01-06,97512.81508341659
2022-01-07,98762.82843970066
2022-01-10,97775.7555518042
2022-01-11,99510.77228399775
2022-01-12,98551.19278740154
2022-01-13,99040.18798025887
2022-01-14,100383.69585337306
2022-01-18,101130.22819522212
2022-01-19,99922.87714013021
2022-01-20,100900.16632246846
2022-01-21,100531.79037792791
2022-01-24,98984.20795780265
2022-01-25,96868.31392500187
2022-01-26,99798.49448844315
2022-01-27,102304.21163354485
2022-01-28,101621.85007433065
2022-01-31,103440.56145034972
2022-02-01,104436.41007079833
2022-02-02,104513.74690107795
2022-02-03,103025.03153684932
2022-02-04,103725.57111875188
2022-02-07,101287.31846605166
2022-02-08,101482.02364273736
2022-02-09,102554.30159470953
2022-02-10,102108.70598568166
2022-02-11,105129.9025852647
2022-02-14,105308.04465154346
