total_return_pct,CAGR,max_drawdown_pct,Sharpe,Sortino,profit_factor,expectancy,win_rate,average_win,average_loss,payoff_ratio,median_win,median_loss,trade_count,average_trades_per_day,percent_profitable_months,percent_profitable_quarters,largest_loss,largest_win,average_MAE,average_MFE,ulcer_index,return_over_max_drawdown,final_equity,reached_100k_from_25k,above_60pct_winrate,strategy_id,family,template,scope_label,window_start,window_end,symbols_covered,coverage_gap_note,param_source,params,asymmetric_edge_score,top_10pct_day_share,top_symbol_share,concentration_share,expectancy_score,payoff_score,drawdown_control_score,avg_loss_containment_score,robustness_score,concentration_control_score,win_rate_score,raw_edge_score,confidence_penalty,confidence_penalty_note,kill_switch_status,final_edge_score,warning_label
25.394188100403838,0.2049529684570536,6.05499184859059,1.4177336836908152,2.060416274375128,1.642566782244621,71.7349946339091,0.559322033898305,,,1.2941435254048532,,,354,,,,,,,,,4.193926058928518,125394.18810040384,False,False,down_streak_exhaustion_native_confirmed,Down Streak Exhaustion,native_confirmed,native_test_split,,,,"Exact native split rerun, not the standardized 5-year user-subset tournament.",,"{""holding_bars"": 5, ""profit_target_pct"": 0.0, ""rsi_cap"": 30, ""streak_length"": 4, ""use_profit_target"": false}",,0.5237750046151376,0.24371619776889505,0.5237750046151376,0.8461538461538461,0.7692307692307693,0.9230769230769231,0.5,0.5076923076923077,0.4762249953848624,0.559322033898305,70.52039858487862,0.9,exact_native,not_applicable,63.46835872639076,
814.2821746445176,0.5589357033675135,43.75507109331842,1.3447877409444475,1.741380522006982,2.4854731643082038,91.94694835642696,0.6485998193315267,237.1945819132055,-176.14508478950358,1.3465864358160042,150.64883208428228,-140.65202382376933,2214,1.7627388535031847,0.5409836065573771,0.6666666666666666,-810.036748173857,1387.9911448486,-0.0685318538777549,0.109414230658096,0.1850651713563319,18.61000689286645,228570.5436611294,True,True,cross_sectional_momentum_rep_user_subset_5y,Momentum / Relative-Strength Family,cross_sectional_momentum,experimental_user_subset,2021-03-24 04:00:00+00:00,2026-03-24 04:00:00+00:00,"SPY,QQQ,IWM,NVDA,META,AAPL,AMZN,NFLX,TSLA",GOOG missing from local daily feature set; local repo carries GOOGL instead. Results exclude GOOG.,search_results_phase5_final.csv top benchmark-ranked row,"{""holding_bars"": 20, ""lookback_window"": 60, ""profit_target_pct"": 0.0, ""rank_cutoff"": 0.2, ""use_profit_target"": false}",208.69875490189077,0.40820115579733035,0.395693030956138,0.40820115579733035,1.0,0.9230769230769231,0.23076923076923078,0.3333333333333333,0.5292139554434636,0.5917988442026696,0.6485998193315267,66.37620401619589,0.646,experimental_user_subset,not_applicable,42.879027794462544,
24.46416222184013,0.0448871826119994,5.930546643874612,0.8090240930939258,0.8633579248117536,1.812499845793933,26.476366040952552,0.5021645021645021,117.61617684400647,-65.45596485604099,1.7968748471232956,68.91949822536384,-58.87976730559852,231,0.1839171974522293,0.4754098360655737,0.5238095238095238,-261.64666473238736,1101.754529673871,-0.0296563910185317,0.0435670449816158,0.0248401314267299,4.125110835627275,31116.04055546004,False,False,dse_exact_user_subset_5y,Down Streak Exhaustion,down_streak_exhaustion,experimental_user_subset,2021-03-24 04:00:00+00:00,2026-03-24 04:00:00+00:00,"SPY,QQQ,IWM,NVDA,META,AAPL,AMZN,NFLX,TSLA",GOOG missing from local daily feature set; local repo carries GOOGL instead. Results exclude GOOG.,confirmation_report.md / decision_table_phase5.csv,"{""holding_bars"": 5, ""profit_target_pct"": 0.0, ""rsi_cap"": 30, ""streak_length"": 4, ""use_profit_target"": false}",70.8872598778065,0.5237750046151376,0.24371619776889505,0.5237750046151376,0.5384615384615384,1.0,1.0,1.0,0.5843031285654237,0.4762249953848624,0.5021645021645021,76.57764221186383,0.544,experimental_user_subset,not_applicable,41.658237363253924,
15.310917423817582,0.0289955423918937,7.058814332225372,0.5574610083740545,0.5667300100319699,1.500581217746879,20.360262531672312,0.5319148936170213,114.74299423411264,-86.89284167564624,1.3205114716172537,86.45199407171687,-65.99233892341431,188,0.1496815286624203,0.5737704918032787,0.6190476190476191,-346.12284506348254,522.4923413210547,-0.0478564495388844,0.053527074678434,0.0229086757189514,2.169049461170718,28827.729355954398,False,False,gap_reversion_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,gap_reversion,experimental_user_subset,2021-03-24 04:00:00+00:00,2026-03-24 04:00:00+00:00,"SPY,QQQ,IWM,NVDA,META,AAPL,AMZN,NFLX,TSLA",GOOG missing from local daily feature set; local repo carries GOOGL instead. Results exclude GOOG.,search_results_phase5_final.csv top benchmark-ranked row,"{""gap_down_pct"": 0.02, ""holding_bars"": 5, ""profit_target_pct"": 0.0, ""use_profit_target"": false}",61.78587202252209,0.48360407279166034,0.38093728481550515,0.48360407279166034,0.38461538461538464,0.8461538461538461,0.8461538461538461,0.6666666666666666,0.6771272443403591,0.5163959272083396,0.5319148936170213,63.82557541434132,0.646,experimental_user_subset,not_applicable,41.23132171766449,
884.4332151670875,0.5822308732464763,46.37138362695909,1.352144159272457,1.8319438169536064,2.309019905268424,82.68822131330276,0.643979057591623,226.4922426751968,-177.4278761501233,1.276531329741893,144.30145112185846,-144.81124089046477,2674,2.128980891719745,0.5573770491803278,0.6666666666666666,-964.8169503315198,1387.9911448486,-0.0677225060568416,0.1025606114290295,0.2006826762754231,19.07282349567205,246108.30379177188,True,True,relative_strength_vs_benchmark_rep_user_subset_5y,Momentum / Relative-Strength Family,relative_strength_vs_benchmark,experimental_user_subset,2021-03-24 04:00:00+00:00,2026-03-24 04:00:00+00:00,"SPY,QQQ,IWM,NVDA,META,AAPL,AMZN,NFLX,TSLA",GOOG missing from local daily feature set; local repo carries GOOGL instead. Results exclude GOOG.,search_results_phase5_final.csv top benchmark-ranked row,"{""excess_return_threshold"": 0.05, ""holding_bars"": 20, ""lookback_window"": 60, ""profit_target_pct"": 0.0, ""use_profit_target"": false}",215.22896925156004,0.44474155000629917,0.35866019447856207,0.44474155000629917,0.9230769230769231,0.6923076923076923,0.15384615384615385,0.25,0.5203867171080285,0.5552584499937008,0.643979057591623,56.95711618974463,0.646,experimental_user_subset,not_applicable,36.79429705857503,
82.01919644859608,0.127688413560725,21.899543528876908,0.7656613090296643,0.8038597344097232,1.4204227675803216,14.964349967993606,0.5489051094890511,92.1068608400019,-78.90485419988703,1.1673155191019131,65.04177740542825,-60.96985545507268,1370,1.0907643312101911,0.639344262295082,0.7142857142857143,-549.7000020336699,1101.754529673871,-0.0336880633425855,0.0390249599944948,0.0761351977566053,3.745246851398748,45501.15945615125,False,False,rsi_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,rsi_pullback,experimental_user_subset,2021-03-24 04:00:00+00:00,2026-03-24 04:00:00+00:00,"SPY,QQQ,IWM,NVDA,META,AAPL,AMZN,NFLX,TSLA",GOOG missing from local daily feature set; local repo carries GOOGL instead. Results exclude GOOG.,search_results_phase5_final.csv top benchmark-ranked row,"{""holding_bars"": 5, ""profit_target_pct"": 0.0, ""rsi_entry"": 30, ""rsi_window"": 5, ""use_profit_target"": false}",63.66602038174973,0.4989679199845077,0.19396139996766476,0.4989679199845077,0.23076923076923078,0.5384615384615384,0.3076923076923077,0.8333333333333334,0.6799135290938569,0.5010320800154924,0.5489051094890511,48.207827792384904,0.646,experimental_user_subset,not_applicable,31.14225675388065,
44.131864207969016,0.076101215110933,14.618197261540756,0.6791825643758633,0.6528439650233921,1.407666807020722,14.47517584136518,0.55249343832021,90.46721935271474,-79.34491306854147,1.1401766774205846,64.35630846283776,-64.84229552878269,762,0.606687898089172,0.6229508196721312,0.6666666666666666,-426.8340690439962,522.4923413210547,-0.0337901931182056,0.0409580661741637,0.0596034783129167,3.018967620862268,36030.08399112027,False,False,zscore_pullback_rep_user_subset_5y,RSI Pullback / Z-Score Pullback / Gap Reversion Family,zscore_pullback,experimental_user_subset,2021-03-24 04:00:00+00:00,2026-03-24 04:00:00+00:00,"SPY,QQQ,IWM,NVDA,META,AAPL,AMZN,NFLX,TSLA",GOOG missing from local daily feature set; local repo carries GOOGL instead. Results exclude GOOG.,search_results_phase5_final.csv top benchmark-ranked row,"{""holding_bars"": 5, ""profit_target_pct"": 0.0, ""use_profit_target"": false, ""zscore_entry"": 1.5, ""zscore_window"": 10}",58.49686786739896,0.5090606213512352,0.2322970521654018,0.5090606213512352,0.15384615384615385,0.46153846153846156,0.6153846153846154,0.75,0.6850777637662884,0.4909393786487648,0.55249343832021,48.08033092344389,0.646,experimental_user_subset,not_applicable,31.059893776544754,
41.28085290606403,0.0717963064512816,12.392111487623636,0.7811494702739724,0.9242734697962868,1.6910835203515937,39.24035447344487,0.5893536121673004,162.92641169732016,-138.27204246822808,1.1783033561159488,104.953099420559,-100.8331993805364,263,0.2093949044585987,0.4754098360655737,0.5238095238095238,-696.9648816350718,1028.7492124562662,-0.0633893401640914,0.0647472008766782,0.0610426031914523,3.331220264382904,35320.213226516,False,False,ma_regime_continuation_rep_user_subset_5y,Breakout / Trend-Continuation Family,ma_regime_continuation,experimental_user_subset,2021-03-24 04:00:00+00:00,2026-03-24 04:00:00+00:00,"SPY,QQQ,IWM,NVDA,META,AAPL,AMZN,NFLX,TSLA",GOOG missing from local daily feature set; local repo carries GOOGL instead. Results exclude GOOG.,search_results_phase5_final.csv top benchmark-ranked row,"{""continuation_ma"": 20, ""holding_bars"": 20, ""profit_target_pct"": 0.0, ""use_profit_target"": false}",74.73163873408815,0.5029117125338484,0.25333939645166703,0.5029117125338484,0.6153846153846154,0.6153846153846154,0.6923076923076923,0.4166666666666667,0.5535338977961929,0.49708828746615163,0.5893536121673004,57.779912990383025,0.524875,experimental_user_subset,not_applicable,30.32723183082729,
9.453380816137402,,9.234508080359271,,,1.284025971098168,16.055570309162853,0.5932203389830508,186.1460081683188,-211.41545006806095,0.8804749516101724,143.28386219334965,-168.59393556900164,385,2.1508379888268156,,,-619.768425676201,560.9802261411279,,,,1.023701612893019,27363.34520403435,False,False,qqq_pair_adverse_baseline_short_window,QQQ-Led TQQQ/SQQQ Pair Opening-Range Intraday System,paper_promotion_adverse_baseline,2025-07-01_to_2026-03-31_short_window,,,,"This exact baseline is a validated short-window intraday paper-promotion slice, not a full 5-year tournament run.",,"{""blocked_hours"": [], ""decision_interval_minutes"": 15, ""flat_before_close_minutes"": 40, ""max_gap_abs_bps"": 9999.0, ""max_trades_per_day"": 99, ""min_relative_volume"": 1.0, ""notional_pct"": 0.5, ""opening_window"": 10, ""start_delay_minutes"": 25, ""threshold_bps"": 15.0}",,0.4582076182014562,0.5829345664514918,0.5829345664514918,0.3076923076923077,0.07692307692307693,0.7692307692307693,0.08333333333333333,0.5076923076923077,0.4170654335485082,0.5932203389830508,34.23290987655418,0.88,short_window_exact,not_applicable,30.12496069136768,
385.0006153244443,0.3727303523588334,74.54726920599204,0.7995424235817584,0.9517657225053584,1.5653236080547182,46.8767809255949,0.6030199707744763,215.2450131932693,-208.8776626908234,1.0304836353510465,153.48278294471132,-159.22701244379672,2053,1.6345541401273886,0.6065573770491803,0.7142857142857143,-1028.0982938830607,1500.6226931538563,-0.0821435391028521,0.0939207104720076,0.3644702243239806,5.164516680826966,121238.03124024614,True,True,pullback_in_trend_rep_user_subset_5y,Pullback in Trend Family,pullback_in_trend,experimental_user_subset,2021-03-24 04:00:00+00:00,2026-03-24 04:00:00+00:00,"SPY,QQQ,IWM,NVDA,META,AAPL,AMZN,NFLX,TSLA",GOOG missing from local daily feature set; local repo carries GOOGL instead. Results exclude GOOG.,search_results_phase5_final.csv top benchmark-ranked row,"{""holding_bars"": 20, ""profit_target_pct"": 0.0, ""pullback_drawdown_pct"": 0.05, ""pullback_window"": 20, ""use_profit_target"": false}",126.98188820104065,0.4482016518348486,0.27981625786824127,0.4482016518348486,0.7692307692307693,0.3076923076923077,0.07692307692307693,0.16666666666666666,0.5437218519185734,0.5517983481651514,0.6030199707744763,43.008763393171165,0.646,experimental_user_subset,not_applicable,27.783661151988575,
