template_key,family,cluster_dimension,cluster_value,trade_count,expectancy,payoff_ratio,win_rate,average_MFE_pct,average_MAE_pct,drawdown_contribution_pct,percent_total_pnl_pct,stability_across_time_slices
breakout_consolidation,Breakout / Trend-Continuation Family,day_of_week,Thursday,109,37.058018385905676,1.006705908025584,66.97247706422019,5.532025067601768,-3.7887190975636678,20.20331337426533,25.274110672966803,1.0
breakout_consolidation,Breakout / Trend-Continuation Family,day_of_week,Friday,99,37.01155940501519,1.228589920091229,62.62626262626263,4.549878550333205,-4.65807544040109,18.026590813153316,22.74263702298103,1.0
breakout_consolidation,Breakout / Trend-Continuation Family,day_of_week,Wednesday,90,29.317901094297593,1.0834903274841412,61.111111111111114,5.294291357417194,-3.7461717748607417,19.560122201236695,20.4089919056262,1.0
breakout_consolidation,Breakout / Trend-Continuation Family,day_of_week,Monday,84,14.199819590888001,0.7309499794504581,64.28571428571429,3.9819271264357394,-4.089464890278214,19.678647446222865,15.866667267459878,1.0
breakout_consolidation,Breakout / Trend-Continuation Family,day_of_week,Tuesday,83,7.171838049424776,0.7137931651979481,61.44578313253012,4.034262215243991,-5.004829169153413,22.531326165121776,15.70759313096609,0.5
breakout_consolidation,Breakout / Trend-Continuation Family,gap_bucket,flat_gap,419,23.704965250550178,0.8882836678763072,63.961813842482094,4.2612815204588195,-4.157799450705888,89.7290222764098,86.69075102650446,1.0
breakout_consolidation,Breakout / Trend-Continuation Family,gap_bucket,gap_up,45,49.00828864861388,1.4151520813402665,60.0,9.088787393095389,-4.814083879928989,10.23125408026219,13.309248973495528,1.0
breakout_consolidation,Breakout / Trend-Continuation Family,gap_bucket,gap_down,1,-7.62654178429454,0.0,0.0,4.768183743443011,-11.439437352146175,0.039723643328014785,0.0,0.0
breakout_consolidation,Breakout / Trend-Continuation Family,holding_bucket,medium,465,26.086294381470648,0.9403653095590434,63.44086021505376,4.729549620440819,-4.236970283429501,100.0,100.0,1.0
breakout_consolidation,Breakout / Trend-Continuation Family,regime_bucket,rising_market,451,24.546984989209967,0.9298681215453947,63.19290465631929,4.611010403233056,-4.222298017981918,96.67508327069895,94.58080190846049,1.0
breakout_consolidation,Breakout / Trend-Continuation Family,regime_bucket,falling_or_volatile,9,105.09185488432792,1.5809803500341308,66.66666666666666,10.71958539758848,-5.873914338675858,2.2786897119232865,4.415419438672636,0.5
breakout_consolidation,Breakout / Trend-Continuation Family,regime_bucket,calmer,5,22.721992658241057,0.39140081643832675,80.0,4.6397226137152225,-2.6139093273579728,1.046227017377773,1.0037786528668793,1.0
breakout_consolidation,Breakout / Trend-Continuation Family,side,long,465,26.086294381470648,0.9403653095590434,63.44086021505376,4.729549620440819,-4.236970283429501,100.0,100.0,1.0
breakout_consolidation,Breakout / Trend-Continuation Family,symbol,QQQ,118,34.13967148752006,0.9148247959707171,69.49152542372882,3.9845167769390786,-3.066009795863463,19.36094740479285,24.723285851135955,1.0
breakout_consolidation,Breakout / Trend-Continuation Family,symbol,SPY,144,20.284814195581507,0.9168820104999759,68.75,2.446225702153933,-3.5152118281693276,14.95801731202295,18.490151522655722,1.0
