session_date,equity
2021-03-09,99710.10399
2021-03-10,98845.44860375042
2021-03-11,98845.44860375042
2021-03-12,97988.29124334831
2021-03-15,97704.22709676667
2021-03-16,97423.1896003167
2021-03-17,96019.22361767685
2021-03-18,96216.75764874968
2021-03-19,95937.8291073746
2021-03-22,96550.9281102478
2021-03-23,95994.22423208505
2021-03-24,95715.94080620579
2021-03-25,95061.71634975505
2021-03-26,96059.8954398003
2021-03-29,95226.89354058533
2021-03-30,95226.89354058533
2021-03-31,95226.89354058533
2021-04-01,95409.28715105947
2021-04-05,96108.45805923497
2021-04-06,96108.45805923497
2021-04-07,95722.04459449623
2021-04-08,95722.04459449623
2021-04-09,95722.04459449623
2021-04-12,95444.55020652636
2021-04-13,95167.8602637152
2021-04-14,94891.97243400835
2021-04-15,95205.19642921099
2021-04-16,94685.3765629225
2021-04-19,94731.21813656169
2021-04-20,94734.13764377352
2021-04-21,94700.913107932
2021-04-22,94659.33731716442
2021-04-23,95400.01206923202
2021-04-26,95400.01206923202
2021-04-27,95392.69192058015
2021-04-28,95116.1523128708
2021-04-29,95043.16423338038
2021-04-30,94455.11690706831
2021-05-03,94528.00009256908
2021-05-04,96166.51060605406
2021-05-05,95609.7530320853
2021-05-06,94505.88929350261
2021-05-07,94231.92049122573
2021-05-10,95629.72572482977
2021-05-11,94700.33373785137
2021-05-12,94152.0646186576
2021-05-13,93997.24533423914
2021-05-14,94638.22672591294
2021-05-17,94363.87428269978
2021-05-18,93817.55310098249
2021-05-19,93274.39485461374
2021-05-20,94135.88371580295
2021-05-21,94347.94476398044
2021-05-24,94780.50628166815
2021-05-25,94780.50628166815
2021-05-26,94780.50628166815
2021-05-27,94780.50628166815
2021-05-28,94780.50628166815
2021-06-01,94842.12337987401
2021-06-02,94842.12337987401
2021-06-03,93747.12232015899
2021-06-04,94223.29688657828
2021-06-07,94223.29688657828
2021-06-08,94456.21154704121
2021-06-09,94456.21154704121
2021-06-10,93909.35577723336
2021-06-11,93909.35577723336
2021-06-14,93909.35577723336
2021-06-15,93909.35577723336
2021-06-16,93720.61630999926
2021-06-17,94011.15231980885
2021-06-18,93834.61507241458
2021-06-21,93240.97799896948
2021-06-22,93240.97799896948
2021-06-23,92912.10173607201
2021-06-24,92912.10173607201
2021-06-25,92912.10173607201
2021-06-28,93273.16067695497
2021-06-29,93273.16067695497
2021-06-30,93273.16067695497
2021-07-01,93273.16067695497
2021-07-02,93273.16067695497
2021-07-06,93002.76550575162
2021-07-07,92464.3244853897
2021-07-08,92196.27409803311
2021-07-09,92343.57482714666
2021-07-12,92343.57482714666
2021-07-13,92034.53069092156
2021-07-14,92116.68858496302
2021-07-15,92580.40382102558
2021-07-16,92312.01692430655
2021-07-19,91777.57500406801
2021-07-20,92751.23838863109
2021-07-21,92482.35624931686
2021-07-22,92101.10368596105
2021-07-23,92101.10368596105
2021-07-26,92101.10368596105
2021-07-27,93194.77969734158
2021-07-28,93114.6042143511
2021-07-29,92844.66869200642
2021-07-30,92575.51570197058
2021-08-02,92039.54825128209
2021-08-03,91949.11857338733
2021-08-04,91949.11857338733
2021-08-05,91949.11857338733
2021-08-06,91949.11857338733
2021-08-09,91949.11857338733
2021-08-10,91682.56174741292
2021-08-11,91682.56174741292
2021-08-12,91727.07961543689
2021-08-13,91727.07961543689
2021-08-16,92624.5764091956
2021-08-17,92688.42888619557
2021-08-18,92688.42888619557
2021-08-19,91912.06796948958
2021-08-20,91645.61855173756
2021-08-23,92264.10836231777
2021-08-24,92196.39957819224
2021-08-25,92196.39957819224
2021-08-26,91749.43451455377
2021-08-27,91663.78504900383
2021-08-30,92143.175377477
2021-08-31,91876.0559885704
2021-09-01,91876.0559885704
2021-09-02,91609.71096811417
2021-09-03,91640.31383067147
2021-09-07,91640.31383067147
2021-09-08,91630.11278764362
2021-09-09,91099.61876247183
2021-09-10,91004.35759740786
2021-09-13,90052.87702929409
2021-09-14,89666.65049908916
2021-09-15,89666.65049908916
2021-09-16,89856.41409307264
2021-09-17,89758.8841429175
2021-09-20,91179.7403442486
2021-09-21,90510.66256054239
2021-09-22,89994.62389779251
2021-09-23,89690.61879476276
2021-09-24,89430.60926953246
2021-09-27,88874.88796850755
2021-09-28,88878.71825968487
