symbol,bid_price,ask_price,bid_size,ask_size,quote_timestamp
AMD,220.18,220.26,300,200,2026-04-06 11:29:33.935710222-04:00
MSFT,371.39,371.47,40,80,2026-04-06 11:29:31.610224450-04:00
NVDA,176.59,176.6,100,200,2026-04-06 11:29:34.018246903-04:00
QQQ,586.68,586.71,80,120,2026-04-06 11:29:34.248724818-04:00
SPY,657.07,657.08,440,120,2026-04-06 11:29:34.082559207-04:00
TSLA,353.52,353.56,40,80,2026-04-06 11:29:34.103297246-04:00
