symbol,intraday_last_timestamp,intraday_last_close,intraday_vwap,intraday_ema8,intraday_ema21,opening_range_high,opening_range_low,relative_volume_now,bull_orb_live,bear_orb_live
AMD,2026-04-06 11:28:00-04:00,219.975,222.40221418573623,219.98275292752825,220.13568969207603,225.56,219.15,0.5323015557672945,False,False
MSFT,2026-04-06 11:28:00-04:00,371.48,372.09702161524706,371.7720362311709,371.94829776655575,373.73,369.5014,1.0024311168732316,False,False
NVDA,2026-04-06 11:28:00-04:00,176.625,176.72700376624084,176.63587268045677,176.66837421183303,177.79,175.76,1.221123040233107,False,False
QQQ,2026-04-06 11:28:00-04:00,586.6899,587.7219770694176,586.787753598823,586.9890819441594,588.78,585.73,0.6926147252438577,False,False
SPY,2026-04-06 11:28:00-04:00,657.01,657.3854939626948,657.0878831219103,657.2433366295593,657.91,655.52,0.9580357554024534,False,False
TSLA,2026-04-06 11:28:00-04:00,353.6701,359.75232110946627,353.55206124655774,354.1755446414452,367.72,361.4424,1.0563665084987133,False,True
