symbol,bid_price,ask_price,bid_size,ask_size,quote_timestamp
AMD,219.43,219.56,100,100,2026-04-06 11:25:42.382858898-04:00
MSFT,371.64,371.74,40,40,2026-04-06 11:25:41.881795767-04:00
NVDA,176.47,176.48,200,300,2026-04-06 11:25:42.413459807-04:00
QQQ,586.34,586.37,200,120,2026-04-06 11:25:42.379952012-04:00
SPY,656.73,656.76,560,80,2026-04-06 11:25:42.383053062-04:00
TSLA,353.14,353.19,280,320,2026-04-06 11:25:42.371562316-04:00
