symbol,source_run,setup_id,strategy_name,template,contract_target,parameter_signature,risk_signature,pnl_per_day,expectancy,max_drawdown,positive_day_ratio,signal_direction,signal_timestamp,recent_signal_direction,recent_signal_timestamp,underlying_close,dte_min,dte_max,strike_window,min_volume,min_open_interest,underlying_bid,underlying_ask,underlying_quote_timestamp,underlying_blocked,signal_live
SPY,options_recent_otm_focus,198af220ba926a8a,failed_breakout_mean_reversion_option_buyer_otm_focus,failed_breakout_mean_reversion,otm_1,"{""lookback_bars"":15,""reclaim_buffer_bps"":2}","{""cooldown_after_loss_minutes"":5,""initial_stop_loss_pct"":0.25,""mandatory_end_of_day_flatten"":true,""max_concurrent_positions"":1,""max_daily_loss"":250.0,""max_holding_minutes"":45,""max_loss_per_trade"":60.0,""max_trades_per_day"":24,""no_averaging_down"":true,""quantity_contracts"":1,""take_profit_pct"":0.6,""time_stop_minutes"":15,""trailing_stop_activation_pct"":0.15,""trailing_stop_distance_pct"":0.1,""use_take_profit"":false}",56.538181818181776,16.36631578947367,-161.29999999999563,0.6363636363636364,0,2026-04-06 16:37:00+00:00,0,,658.29,2,2,3,20,0,658.35,658.38,2026-04-06 16:38:43.035721794+00:00,False,False
QQQ,options_recent_otm_focus,3e90859f1a656ae2,failed_breakout_mean_reversion_option_buyer_otm_focus,failed_breakout_mean_reversion,otm_1,"{""lookback_bars"":15,""reclaim_buffer_bps"":0}","{""cooldown_after_loss_minutes"":5,""initial_stop_loss_pct"":0.25,""mandatory_end_of_day_flatten"":true,""max_concurrent_positions"":1,""max_daily_loss"":250.0,""max_holding_minutes"":45,""max_loss_per_trade"":60.0,""max_trades_per_day"":24,""no_averaging_down"":true,""quantity_contracts"":1,""take_profit_pct"":0.6,""time_stop_minutes"":15,""trailing_stop_activation_pct"":0.25,""trailing_stop_distance_pct"":0.1,""use_take_profit"":false}",28.91272727272718,6.23607843137253,-227.97999999998865,0.6363636363636364,0,2026-04-06 16:37:00+00:00,-1,2026-04-06 16:33:00+00:00,587.84,2,2,3,20,0,587.93,587.95,2026-04-06 16:38:43.038468427+00:00,True,True
