symbol,timeframe,bar_count,session_high,session_low,last_close,session_vwap,realized_range_pct,vwap_distance_pct,ema_spread_pct,vwap_crosses,range_score,is_range_bound
SPY,5min,39,659.72,655.52,658.29,657.4327642868909,0.006380166795789159,0.0013022159126054604,0.00034491779156202256,10,4,True
SPY,15min,14,659.72,655.52,658.29,657.5698391415058,0.006380166795789159,0.00109398723737894,0.0003860032315155973,6,4,True
SPY,30min,8,659.72,655.52,658.29,657.6908413333824,0.006380166795789159,0.0009101743405148808,0.0005808660913426643,4,4,True
QQQ,5min,39,590.61,585.73,587.84,587.5968706279099,0.00830157866086009,0.00041359787032211513,0.00015179131051003248,6,3,True
QQQ,15min,14,590.61,585.73,587.84,587.7567040051902,0.00830157866086009,0.00014169841250999125,0.0003341339381169227,2,4,True
QQQ,30min,8,590.61,585.73,587.84,587.8010385078637,0.00830157866086009,6.627907617091225e-05,0.00017895696949086785,2,4,True
