symbol,intraday_last_timestamp,intraday_last_close,intraday_vwap,intraday_ema8,intraday_ema21,opening_range_high,opening_range_low,relative_volume_now,bull_orb_live,bear_orb_live
AMD,2026-04-06 11:23:00-04:00,219.865,222.46347876351712,220.14807112617473,220.28312185598537,225.56,219.15,1.1119912254193474,False,False
MSFT,2026-04-06 11:23:00-04:00,371.83,372.1061212977891,372.0267458924503,372.10166823601577,373.73,369.5014,0.6140459483505757,False,False
NVDA,2026-04-06 11:23:00-04:00,176.703,176.73012440261735,176.7288194388226,176.71499510189915,177.79,175.76,0.965049794934113,False,False
QQQ,2026-04-06 11:23:00-04:00,586.87,587.7390670397217,587.1141913879276,587.1975686028878,588.78,585.73,0.6398239036103972,False,False
SPY,2026-04-06 11:23:00-04:00,657.1,657.3946363182237,657.3155205489188,657.3978962752715,657.91,655.52,0.6853286195297414,False,False
TSLA,2026-04-06 11:23:00-04:00,353.34,360.0018466346742,353.9366945289455,354.67233705949377,367.72,361.4424,0.8563421478349216,False,False
