symbol,bid_price,ask_price,bid_size,ask_size,quote_timestamp
AMD,219.82,219.92,700,100,2026-04-06 11:24:34.365623480-04:00
MSFT,371.74,371.82,40,40,2026-04-06 11:24:34.379856028-04:00
NVDA,176.7,176.71,100,1200,2026-04-06 11:24:34.436736500-04:00
QQQ,586.77,586.8,40,280,2026-04-06 11:24:34.435174780-04:00
SPY,657.07,657.1,280,280,2026-04-06 11:24:34.381664547-04:00
TSLA,353.39,353.42,320,320,2026-04-06 11:24:34.380276287-04:00
