attempt_count,category,completed_trade_count,entry_abs_slippage_pct_mean,entry_abs_slippage_pct_median,entry_fill_count,exit_abs_slippage_pct_mean,exit_abs_slippage_pct_median,exit_fill_count,name,net_pnl_total_estimate,skipped_signal_count,top_exit_reason
12,strategy,0,,,0,,,0,gdx__base__trend_long_put_next_expiry,0.0,12,
11,strategy,0,,,0,,,0,nke__fast__trend_long_call_next_expiry,0.0,11,
11,strategy,0,,,0,,,0,orcl__slow__trend_long_put_next_expiry,0.0,11,
10,strategy,0,,,0,,,0,gdx__slow__trend_long_put_next_expiry,0.0,10,
6,strategy,0,,,0,,,0,amzn__fast__trend_long_put_next_expiry,0.0,6,
4,strategy,0,,,0,,,0,msft__slow__trend_long_put_next_expiry,0.0,4,
1,strategy,0,,,0,,,0,amzn__base__trend_long_put_next_expiry,0.0,1,
1,strategy,0,,,0,,,0,jpm__fast__trend_long_call_next_expiry,0.0,1,
2831,regime,12,1.844162,0.572537,12,1.650348,0.629708,12,bull,-834.549996,2818,stop_loss
1244,regime,10,2.866409,2.097999,10,2.412758,0.487805,10,bear,-866.15,1232,stop_loss
1567,regime,2,0.185713,0.094162,4,,,2,choppy,41.0,1563,severe_loss_flatten_all
2392,timing_profile,13,2.777428,1.342342,14,,,13,fast,-1058.949996,2376,stop_loss
1393,timing_profile,8,1.409297,0.662809,8,,,8,base,-440.53,1384,stop_loss
651,timing_profile,2,0.411996,0.411996,2,,,2,slow,-198.22,649,stop_loss
1206,timing_profile,1,0.277264,0.277264,2,,,1,reactive,38.0,1204,severe_loss_flatten_all
0,timing_profile,0,,,0,1.977095,0.564972,0,unknown,0.0,0,
2831,signal_name,12,1.844162,0.572537,12,,,12,trend_call,-834.549996,2818,stop_loss
1039,signal_name,7,3.496536,2.608696,7,,,7,trend_put,-685.050002,1032,stop_loss
340,signal_name,3,1.396111,0.928793,3,,,3,orb_put,-181.100001,335,profit_target
1432,signal_name,2,0.185713,0.094162,4,,,2,iron_condor,41.0,1428,severe_loss_flatten_all
0,signal_name,0,,,0,1.977095,0.564972,0,unknown,0.0,0,
2767,entry_bucket,14,2.2059,1.131063,14,1.844909,0.487805,14,opening_follow_through_31_90,-1175.969998,2753,stop_loss
141,entry_bucket,5,2.375367,0.554529,7,4.48802,3.191489,5,opening_0_30,45.0,131,severe_loss_flatten_all
2090,entry_bucket,5,0.805344,0.396825,5,0.814223,0.564972,5,midday_91_210,-528.73,2085,stop_loss
644,entry_bucket,0,,,0,,,0,power_hour_211_plus,0.0,644,
0,exit_reason,12,,,0,,,0,stop_loss,-2286.879996,0,stop_loss
0,exit_reason,6,,,0,,,0,time_exit,-21.400002,0,time_exit
0,exit_reason,3,,,0,,,0,profit_target,618.69,0,profit_target
0,exit_reason,3,,,0,,,0,severe_loss_flatten_all,29.889999,0,severe_loss_flatten_all
