variant_id,entry_threshold,force_flat_eod,entry_signal_time,entry_time,entry_price,entry_val,exit_signal_time,exit_time,exit_price,exit_val,exit_reason,bars_held,hold_minutes,equity_before,equity_after,pnl_dollars,return_pct
rth_swing_threshold_-4,-4.0,False,2021-03-08T11:47:00-05:00,2021-03-08T11:48:00-05:00,305.79,-1.2716833571428516,2021-03-08T12:33:00-05:00,2021-03-08T12:33:00-05:00,306.11,1.0841569999999918,dark_green_next_open,45,45.0,25000.0,25021.15701311258,21.1570131125809,0.08462805245033067
rth_swing_threshold_-4,-4.0,False,2021-03-08T12:49:00-05:00,2021-03-08T12:50:00-05:00,306.61,-0.09943085714287792,2021-03-08T13:20:00-05:00,2021-03-08T13:20:00-05:00,306.13,0.5434576428571584,dark_green_next_open,30,30.0,25021.15701311258,24976.990327269454,-44.1666858431272,-0.17651736016836006
rth_swing_threshold_-4,-4.0,False,2021-03-08T13:55:00-05:00,2021-03-08T13:56:00-05:00,303.47,-1.1874148214285465,2021-03-08T14:18:00-05:00,2021-03-08T14:18:00-05:00,303.84,0.7811776785714253,dark_green_next_open,22,22.0,24976.990327269454,25002.442057054537,25.451729785083444,0.10190070721729505
rth_swing_threshold_-4,-4.0,False,2021-03-08T14:51:00-05:00,2021-03-08T14:52:00-05:00,302.55,-1.4010822499999944,2021-03-08T15:30:00-05:00,2021-03-08T15:30:00-05:00,300.96,0.1601014285714053,dark_green_next_open,38,38.0,25002.442057054537,24866.07226897533,-136.36978807920605,-0.5454258738727069
rth_swing_threshold_-4,-4.0,False,2021-03-08T15:58:00-05:00,2021-03-08T15:59:00-05:00,300.35,-1.1183660714285737,2021-03-09T09:42:00-05:00,2021-03-09T09:42:00-05:00,307.41,5.280926571428602,dark_green_next_open,13,1063.0,24866.07226897533,25445.482314688747,579.4100457134155,2.3301229058049877
rth_swing_threshold_-4,-4.0,False,2021-03-09T10:41:00-05:00,2021-03-09T10:42:00-05:00,310.875,-0.35042582142858203,2021-03-09T11:11:00-05:00,2021-03-09T11:11:00-05:00,309.762,0.28251685714284425,dark_green_next_open,29,29.0,25445.482314688747,25349.311593692546,-96.17072099620054,-0.3779481159242315
rth_swing_threshold_-4,-4.0,False,2021-03-09T11:43:00-05:00,2021-03-09T11:44:00-05:00,310.92,-0.19088025000001085,2021-03-09T12:01:00-05:00,2021-03-09T12:01:00-05:00,310.58,0.17817503571426746,dark_green_next_open,17,17.0,25349.311593692546,25316.52757742865,-32.784016263896774,-0.1293290200119479
rth_swing_threshold_-4,-4.0,False,2021-03-09T12:54:00-05:00,2021-03-09T12:55:00-05:00,311.59,-0.2889683928571547,2021-03-09T13:12:00-05:00,2021-03-09T13:12:00-05:00,312.599,0.963400892857155,dark_green_next_open,17,17.0,25316.52757742865,25393.42911582009,76.90153839144114,0.3037602141772622
rth_swing_threshold_-4,-4.0,False,2021-03-09T13:32:00-05:00,2021-03-09T13:33:00-05:00,313.15,-0.10285628571427241,2021-03-09T13:47:00-05:00,2021-03-09T13:47:00-05:00,313.31,0.3565709642856973,dark_green_next_open,14,14.0,25393.42911582009,25401.322792038107,7.893676218016481,0.031085507128691958
rth_swing_threshold_-4,-4.0,False,2021-03-09T14:27:00-05:00,2021-03-09T14:28:00-05:00,312.4,-0.4907941785714351,2021-03-09T14:47:00-05:00,2021-03-09T14:47:00-05:00,313.16,0.5923451428571281,dark_green_next_open,19,19.0,25401.322792038107,25458.0264692164,56.7036771782914,0.2232311980070012
rth_swing_threshold_-4,-4.0,False,2021-03-09T15:04:00-05:00,2021-03-09T15:05:00-05:00,313.005,-0.21931428571430323,2021-03-09T15:19:00-05:00,2021-03-09T15:19:00-05:00,313.45,0.472005678571447,dark_green_next_open,14,14.0,25458.0264692164,25489.121875615197,31.09540639879924,0.1221438214639381
rth_swing_threshold_-4,-4.0,False,2021-03-09T15:32:00-05:00,2021-03-09T15:33:00-05:00,313.535,-0.2048038571428541,2021-03-10T09:39:00-05:00,2021-03-10T09:39:00-05:00,314.355,1.909308892857142,dark_green_next_open,36,1086.0,25489.121875615197,25550.673898812598,61.55202319740056,0.24148349832437965
rth_swing_threshold_-4,-4.0,False,2021-03-10T10:06:00-05:00,2021-03-10T10:07:00-05:00,315.58,-0.5286889642857051,2021-03-10T10:51:00-05:00,2021-03-10T10:51:00-05:00,311.76,0.3899196785714236,dark_green_next_open,44,44.0,25550.673898812598,25236.34298235791,-314.3309164546881,-1.2302255419936126
rth_swing_threshold_-4,-4.0,False,2021-03-10T11:24:00-05:00,2021-03-10T11:25:00-05:00,312.18,-0.3105118571428494,2021-03-10T11:33:00-05:00,2021-03-10T11:33:00-05:00,312.665,0.3321825000000339,dark_green_next_open,8,8.0,25236.34298235791,25270.495330059144,34.15234770123425,0.1353300187951545
rth_swing_threshold_-4,-4.0,False,2021-03-10T11:47:00-05:00,2021-03-10T11:48:00-05:00,311.8298,-0.8515578928571601,2021-03-10T12:01:00-05:00,2021-03-10T12:01:00-05:00,312.78,1.0401803214286036,dark_green_next_open,13,13.0,25270.495330059144,25342.429961140137,71.9346310809924,0.28465857175117293
rth_swing_threshold_-4,-4.0,False,2021-03-10T12:11:00-05:00,2021-03-10T12:12:00-05:00,313.08,-0.24875832142855725,2021-03-10T12:57:00-05:00,2021-03-10T12:57:00-05:00,312.35,1.0823900357142568,dark_green_next_open,45,45.0,25342.429961140137,25278.28355391842,-64.1464072217168,-0.2531186130141361
rth_swing_threshold_-4,-4.0,False,2021-03-10T13:09:00-05:00,2021-03-10T13:10:00-05:00,312.76,-0.31974403571424315,2021-03-10T13:16:00-05:00,2021-03-10T13:16:00-05:00,311.55,0.020663214285720446,dark_green_next_open,6,6.0,25278.28355391842,25175.451812470503,-102.83174144791701,-0.4067987497196057
rth_swing_threshold_-4,-4.0,False,2021-03-10T13:18:00-05:00,2021-03-10T13:19:00-05:00,311.67,-0.03732285714285938,2021-03-10T14:08:00-05:00,2021-03-10T14:08:00-05:00,311.21,0.45044178571426485,dark_green_next_open,49,49.0,25175.451812470503,25133.267702276804,-42.18411019369887,-0.16756048911424903
rth_swing_threshold_-4,-4.0,False,2021-03-10T14:32:00-05:00,2021-03-10T14:33:00-05:00,311.5,-0.30028692857142936,2021-03-10T14:45:00-05:00,2021-03-10T14:45:00-05:00,311.79,0.28926578571429057,dark_green_next_open,12,12.0,25133.267702276804,25151.635419890426,18.367717613622517,0.07308129540177788
rth_swing_threshold_-4,-4.0,False,2021-03-10T15:09:00-05:00,2021-03-10T15:10:00-05:00,312.41,-0.32797592857144275,2021-03-10T15:51:00-05:00,2021-03-10T15:51:00-05:00,311.62,0.3025741071428602,dark_green_next_open,41,41.0,25151.635419890426,25083.016663230123,-68.61875666030392,-0.2728202580657535
rth_swing_threshold_-4,-4.0,False,2021-03-11T09:59:00-05:00,2021-03-11T10:00:00-05:00,316.125,-0.8640203928571495,2021-03-11T10:10:00-05:00,2021-03-11T10:10:00-05:00,316.47,0.6634195357142867,dark_green_next_open,10,10.0,25083.016663230123,25105.369197944885,22.35253471476244,0.08911422025059679
rth_swing_threshold_-4,-4.0,False,2021-03-11T10:22:00-05:00,2021-03-11T10:23:00-05:00,315.72,-0.8114943928571596,2021-03-11T10:39:00-05:00,2021-03-11T10:39:00-05:00,316.52,0.8951596428571301,dark_green_next_open,16,16.0,25105.369197944885,25163.950168354702,58.58097040981738,0.2333404059822186
rth_swing_threshold_-4,-4.0,False,2021-03-11T12:03:00-05:00,2021-03-11T12:04:00-05:00,318.54,-0.30058592857142225,2021-03-11T12:18:00-05:00,2021-03-11T12:18:00-05:00,318.9,0.46894503571430407,dark_green_next_open,14,14.0,25163.950168354702,25187.351392058146,23.401223703443975,0.09299503276267718
rth_swing_threshold_-4,-4.0,False,2021-03-11T12:30:00-05:00,2021-03-11T12:31:00-05:00,318.9005,-0.3041702142857121,2021-03-11T12:46:00-05:00,2021-03-11T12:46:00-05:00,318.703,0.04753464285716566,dark_green_next_open,15,15.0,25187.351392058146,25166.718629612064,-20.63276244608278,-0.08191715804063415
rth_swing_threshold_-4,-4.0,False,2021-03-11T12:58:00-05:00,2021-03-11T12:59:00-05:00,318.78,-0.13203685714289332,2021-03-11T13:14:00-05:00,2021-03-11T13:14:00-05:00,319.35,0.6384980000000237,dark_green_next_open,15,15.0,25166.718629612064,25206.676569331514,39.95793971945022,0.15877294258153096
rth_swing_threshold_-4,-4.0,False,2021-03-11T13:29:00-05:00,2021-03-11T13:30:00-05:00,319.13,-0.49490999999999796,2021-03-11T13:55:00-05:00,2021-03-11T13:55:00-05:00,319.03,0.07541335714285213,dark_green_next_open,25,25.0,25206.676569331514,25193.73875701529,-12.937812316224154,-0.051326926342865065
rth_swing_threshold_-4,-4.0,False,2021-03-11T14:00:00-05:00,2021-03-11T14:01:00-05:00,318.9,-0.06230432142858068,2021-03-11T14:06:00-05:00,2021-03-11T14:06:00-05:00,318.83,0.02459596428570876,dark_green_next_open,5,5.0,25193.73875701529,25183.17147879566,-10.56727821963068,-0.04194406523599925
rth_swing_threshold_-4,-4.0,False,2021-03-11T14:42:00-05:00,2021-03-11T14:43:00-05:00,319.01,-0.16633125000000581,2021-03-11T14:49:00-05:00,2021-03-11T14:49:00-05:00,318.7899,-0.03386678571430367,dark_green_next_open,6,6.0,25183.17147879566,25160.763768569635,-22.407710226023482,-0.08897890499968142
rth_swing_threshold_-4,-4.0,False,2021-03-11T14:50:00-05:00,2021-03-11T14:51:00-05:00,318.72,-0.03212214285716186,2021-03-11T15:21:00-05:00,2021-03-11T15:21:00-05:00,318.59,0.07479025000002772,dark_green_next_open,30,30.0,25160.763768569635,25145.47156057391,-15.292207995724311,-0.060777995995597855
rth_swing_threshold_-4,-4.0,False,2021-03-11T15:40:00-05:00,2021-03-11T15:41:00-05:00,318.69,-0.22123653571426788,2021-03-12T10:00:00-05:00,2021-03-12T10:00:00-05:00,314.32,1.4647769642857167,dark_green_next_open,49,1099.0,25145.47156057391,24795.70753413692,-349.7640264369911,-1.390962287561126
rth_swing_threshold_-4,-4.0,False,2021-03-12T10:25:00-05:00,2021-03-12T10:26:00-05:00,312.59,-1.0528791428571398,2021-03-12T10:48:00-05:00,2021-03-12T10:48:00-05:00,312.87,0.6260691071428661,dark_green_next_open,22,22.0,24795.70753413692,24812.95500413745,17.247470000529574,0.06955828938046693
rth_swing_threshold_-4,-4.0,False,2021-03-12T11:03:00-05:00,2021-03-12T11:04:00-05:00,311.96,-0.9243578928571667,2021-03-12T11:20:00-05:00,2021-03-12T11:20:00-05:00,312.37,0.6734622857142782,dark_green_next_open,16,16.0,24812.95500413745,24840.597336493276,27.64233235582651,0.11140282304633597
rth_swing_threshold_-4,-4.0,False,2021-03-12T12:06:00-05:00,2021-03-12T12:07:00-05:00,313.935,-0.12936214285713354,2021-03-12T12:22:00-05:00,2021-03-12T12:22:00-05:00,314.495,0.6128596071428547,dark_green_next_open,15,15.0,24840.597336493276,24879.931727388903,39.33439089562671,0.15834720221417076
rth_swing_threshold_-4,-4.0,False,2021-03-12T12:54:00-05:00,2021-03-12T12:55:00-05:00,313.8899,-0.7481542142857409,2021-03-12T13:17:00-05:00,2021-03-12T13:17:00-05:00,314.12,0.3727285000000084,dark_green_next_open,22,22.0,24879.931727388903,24893.191063702954,13.259336314051325,0.053293298628531716
rth_swing_threshold_-4,-4.0,False,2021-03-12T13:51:00-05:00,2021-03-12T13:52:00-05:00,314.3781,-0.35315167857142377,2021-03-12T14:22:00-05:00,2021-03-12T14:22:00-05:00,314.08,0.09872425000002313,dark_green_next_open,30,30.0,24893.191063702954,24864.613390536426,-28.577673166528257,-0.11480116427579068
rth_swing_threshold_-4,-4.0,False,2021-03-12T14:29:00-05:00,2021-03-12T14:30:00-05:00,314.2,-0.09381149999999172,2021-03-12T14:56:00-05:00,2021-03-12T14:56:00-05:00,314.85,0.48955242857143,dark_green_next_open,26,26.0,24864.613390536426,24911.069248446875,46.455857910448685,0.18683523118090406
rth_swing_threshold_-4,-4.0,False,2021-03-12T15:12:00-05:00,2021-03-12T15:13:00-05:00,314.63,-0.485261214285714,2021-03-12T15:27:00-05:00,2021-03-12T15:27:00-05:00,314.86,0.5088862142857198,dark_green_next_open,14,14.0,24911.069248446875,24924.294315760002,13.22506731312751,0.05308911946424466
rth_swing_threshold_-4,-4.0,False,2021-03-12T15:56:00-05:00,2021-03-12T15:57:00-05:00,315.52,-0.0906051785714373,2021-03-15T09:38:00-04:00,2021-03-15T09:38:00-04:00,315.2,0.016281892857132822,dark_green_next_open,11,3881.0,24924.294315760002,24894.036821503956,-30.257494256045902,-0.12139759654865578
rth_swing_threshold_-4,-4.0,False,2021-03-15T09:45:00-04:00,2021-03-15T09:46:00-04:00,315.26,-0.29217317857141195,2021-03-15T10:02:00-04:00,2021-03-15T10:02:00-04:00,316.07,0.8067480357143014,dark_green_next_open,16,16.0,24894.036821503956,24953.006165953655,58.96934444969884,0.2368814060673463
rth_swing_threshold_-4,-4.0,False,2021-03-15T10:32:00-04:00,2021-03-15T10:33:00-04:00,315.695,-0.7886722857142859,2021-03-15T10:57:00-04:00,2021-03-15T10:57:00-04:00,315.93,0.7021850357142991,dark_green_next_open,24,24.0,24953.006165953655,24966.587101520254,13.580935566598782,0.05442604981651389
rth_swing_threshold_-4,-4.0,False,2021-03-15T11:33:00-04:00,2021-03-15T11:34:00-04:00,314.68,-1.079956928571411,2021-03-15T11:57:00-04:00,2021-03-15T11:57:00-04:00,315.46,0.785467499999992,dark_green_next_open,23,23.0,24966.587101520254,25023.466800036895,56.87969851664093,0.227823283516293
rth_swing_threshold_-4,-4.0,False,2021-03-15T12:54:00-04:00,2021-03-15T12:55:00-04:00,315.75,-0.26376496428571106,2021-03-15T13:10:00-04:00,2021-03-15T13:10:00-04:00,315.9601,0.23274146428572468,dark_green_next_open,15,15.0,25023.466800036895,25035.109888153194,11.643088116299623,0.04652867729855181
