formula_mode,bb_length,bb_mult,kc_length,kc_mult,use_true_range,buy_threshold,sell_threshold,full_history_total_return_pct,full_history_cagr_pct,full_history_max_drawdown_pct,full_history_daily_sharpe,full_history_trade_count,full_history_win_rate_pct,full_history_profit_factor,full_history_avg_trade_pnl,full_history_avg_hold_minutes,full_history_exposure_pct,full_history_profitable_days_pct,full_history_eligible_entry_share_pct,full_history_final_equity,full_history_start,full_history_end,last_1y_total_return_pct,last_1y_cagr_pct,last_1y_max_drawdown_pct,last_1y_daily_sharpe,last_1y_trade_count,last_1y_win_rate_pct,last_1y_profit_factor,last_1y_avg_trade_pnl,last_1y_avg_hold_minutes,last_1y_exposure_pct,last_1y_profitable_days_pct,last_1y_eligible_entry_share_pct,last_1y_final_equity,last_1y_start,last_1y_end,last_90d_total_return_pct,last_90d_cagr_pct,last_90d_max_drawdown_pct,last_90d_daily_sharpe,last_90d_trade_count,last_90d_win_rate_pct,last_90d_profit_factor,last_90d_avg_trade_pnl,last_90d_avg_hold_minutes,last_90d_exposure_pct,last_90d_profitable_days_pct,last_90d_eligible_entry_share_pct,last_90d_final_equity,last_90d_start,last_90d_end,ytd_2026_total_return_pct,ytd_2026_cagr_pct,ytd_2026_max_drawdown_pct,ytd_2026_daily_sharpe,ytd_2026_trade_count,ytd_2026_win_rate_pct,ytd_2026_profit_factor,ytd_2026_avg_trade_pnl,ytd_2026_avg_hold_minutes,ytd_2026_exposure_pct,ytd_2026_profitable_days_pct,ytd_2026_eligible_entry_share_pct,ytd_2026_final_equity,ytd_2026_start,ytd_2026_end
literal,20,2.0,10,2.0,False,-0.02,1.5,74.18641269331219,11.753804187326011,9.62285117220244,1.2020575408626823,93,65.59139784946237,1.9839033129782693,199.42584057341986,9152.989247311827,29.630977449757733,23.168789808917197,0.4607415485278081,43546.60317332805,2021-03-08,2026-03-06,3.84530660704534,3.84530660704534,3.7377602713668745,0.804431745705133,15,53.333333333333336,1.6871365803192455,64.08844345075583,5181.466666666666,13.133720338119973,12.698412698412698,0.27770431102882837,25961.326651761337,2025-03-06,2026-03-06,-1.3355603777488678,-1.3355603777488678,2.5702725349304845,-1.379223123872701,5,40.0,0.4329076823991719,-66.77801888744361,2510.0,7.9924162629028865,9.836065573770492,0.37453183520599254,24666.109905562782,2025-12-08,2026-03-06,-1.168327393054236,-1.168327393054236,2.1572685010860737,-1.4329622386667065,4,50.0,0.4664190634249549,-73.02046206588966,1415.5,8.51981351981352,11.363636363636363,0.29895366218236175,24707.91815173644,2026-01-02,2026-03-06
literal,20,1.5,10,2.0,False,-0.02,1.5,74.18641269331219,11.753804187326011,9.62285117220244,1.2020575408626823,93,65.59139784946237,1.9839033129782693,199.42584057341986,9152.989247311827,29.630977449757733,23.168789808917197,0.4607415485278081,43546.60317332805,2021-03-08,2026-03-06,3.84530660704534,3.84530660704534,3.7377602713668745,0.804431745705133,15,53.333333333333336,1.6871365803192455,64.08844345075583,5181.466666666666,13.133720338119973,12.698412698412698,0.27770431102882837,25961.326651761337,2025-03-06,2026-03-06,-1.3355603777488678,-1.3355603777488678,2.5702725349304845,-1.379223123872701,5,40.0,0.4329076823991719,-66.77801888744361,2510.0,7.9924162629028865,9.836065573770492,0.37453183520599254,24666.109905562782,2025-12-08,2026-03-06,-1.168327393054236,-1.168327393054236,2.1572685010860737,-1.4329622386667065,4,50.0,0.4664190634249549,-73.02046206588966,1415.5,8.51981351981352,11.363636363636363,0.29895366218236175,24707.91815173644,2026-01-02,2026-03-06
literal,20,2.5,10,2.0,False,-0.02,1.5,74.18641269331219,11.753804187326011,9.62285117220244,1.2020575408626823,93,65.59139784946237,1.9839033129782693,199.42584057341986,9152.989247311827,29.630977449757733,23.168789808917197,0.4607415485278081,43546.60317332805,2021-03-08,2026-03-06,3.84530660704534,3.84530660704534,3.7377602713668745,0.804431745705133,15,53.333333333333336,1.6871365803192455,64.08844345075583,5181.466666666666,13.133720338119973,12.698412698412698,0.27770431102882837,25961.326651761337,2025-03-06,2026-03-06,-1.3355603777488678,-1.3355603777488678,2.5702725349304845,-1.379223123872701,5,40.0,0.4329076823991719,-66.77801888744361,2510.0,7.9924162629028865,9.836065573770492,0.37453183520599254,24666.109905562782,2025-12-08,2026-03-06,-1.168327393054236,-1.168327393054236,2.1572685010860737,-1.4329622386667065,4,50.0,0.4664190634249549,-73.02046206588966,1415.5,8.51981351981352,11.363636363636363,0.29895366218236175,24707.91815173644,2026-01-02,2026-03-06
literal,20,1.5,10,2.0,True,-0.02,1.5,72.50673127049947,11.537172744694102,9.63089310357903,1.1905789986427766,89,65.1685393258427,1.9709174724389673,203.6705934564592,9330.078651685393,29.250914889702123,22.770700636942674,0.4116684841875682,43126.68281762487,2021-03-08,2026-03-06,4.006200144246419,4.006200144246419,3.7377602713668745,0.8379337174063348,14,57.14285714285714,1.7370185855418419,71.53928829011473,5051.642857142857,12.594968937773704,11.904761904761903,0.21158423697434542,26001.550036061606,2025-03-06,2026-03-06,-1.168327393054236,-1.168327393054236,2.1572685010860737,-1.215636180901111,4,50.0,0.4664190634249549,-73.02046206588966,1415.5,6.15967979776701,8.19672131147541,0.2140181915462814,24707.91815173644,2025-12-08,2026-03-06,-1.168327393054236,-1.168327393054236,2.1572685010860737,-1.4329622386667065,4,50.0,0.4664190634249549,-73.02046206588966,1415.5,8.51981351981352,11.363636363636363,0.29895366218236175,24707.91815173644,2026-01-02,2026-03-06
literal,20,2.5,10,2.0,True,-0.02,1.5,72.50673127049947,11.537172744694102,9.63089310357903,1.1905789986427766,89,65.1685393258427,1.9709174724389673,203.6705934564592,9330.078651685393,29.250914889702123,22.770700636942674,0.4116684841875682,43126.68281762487,2021-03-08,2026-03-06,4.006200144246419,4.006200144246419,3.7377602713668745,0.8379337174063348,14,57.14285714285714,1.7370185855418419,71.53928829011473,5051.642857142857,12.594968937773704,11.904761904761903,0.21158423697434542,26001.550036061606,2025-03-06,2026-03-06,-1.168327393054236,-1.168327393054236,2.1572685010860737,-1.215636180901111,4,50.0,0.4664190634249549,-73.02046206588966,1415.5,6.15967979776701,8.19672131147541,0.2140181915462814,24707.91815173644,2025-12-08,2026-03-06,-1.168327393054236,-1.168327393054236,2.1572685010860737,-1.4329622386667065,4,50.0,0.4664190634249549,-73.02046206588966,1415.5,8.51981351981352,11.363636363636363,0.29895366218236175,24707.91815173644,2026-01-02,2026-03-06
literal,20,2.0,10,2.0,True,-0.02,1.5,72.50673127049947,11.537172744694102,9.63089310357903,1.1905789986427766,89,65.1685393258427,1.9709174724389673,203.6705934564592,9330.078651685393,29.250914889702123,22.770700636942674,0.4116684841875682,43126.68281762487,2021-03-08,2026-03-06,4.006200144246419,4.006200144246419,3.7377602713668745,0.8379337174063348,14,57.14285714285714,1.7370185855418419,71.53928829011473,5051.642857142857,12.594968937773704,11.904761904761903,0.21158423697434542,26001.550036061606,2025-03-06,2026-03-06,-1.168327393054236,-1.168327393054236,2.1572685010860737,-1.215636180901111,4,50.0,0.4664190634249549,-73.02046206588966,1415.5,6.15967979776701,8.19672131147541,0.2140181915462814,24707.91815173644,2025-12-08,2026-03-06,-1.168327393054236,-1.168327393054236,2.1572685010860737,-1.4329622386667065,4,50.0,0.4664190634249549,-73.02046206588966,1415.5,8.51981351981352,11.363636363636363,0.29895366218236175,24707.91815173644,2026-01-02,2026-03-06
literal,30,1.5,10,1.5,True,-0.02,1.5,38.249744995010346,6.700774338400994,20.785502245866972,0.6227098582190386,132,62.878787878787875,1.3057741304280523,72.44269885418626,7965.727272727273,36.458610185431276,27.86624203821656,0.6324972737186477,34562.43624875259,2021-03-08,2026-03-06,-6.157543593085791,-6.157543593085791,8.378558920060842,-0.873791268216553,28,53.57142857142857,0.6272990460348042,-54.97806779540887,3808.785714285714,18.13321112129545,16.666666666666664,0.5025125628140703,23460.61410172855,2025-03-06,2026-03-06,-3.8921917330871802,-3.8921917330871802,6.145161930848831,-2.418565050514563,8,50.0,0.2242163796589218,-121.63099165897438,3362.375,19.199494417526857,16.39344262295082,0.588550026752274,24026.952066728205,2025-12-08,2026-03-06,-4.331109297548941,-4.331109297548941,6.145161930848875,-3.49592878279049,5,40.0,0.10479957932226351,-216.55546487744724,3164.0,20.337995337995338,13.636363636363635,0.5979073243647235,23917.222675612764,2026-01-02,2026-03-06
literal,30,2.0,10,1.5,True,-0.02,1.5,38.249744995010346,6.700774338400994,20.785502245866972,0.6227098582190386,132,62.878787878787875,1.3057741304280523,72.44269885418626,7965.727272727273,36.458610185431276,27.86624203821656,0.6324972737186477,34562.43624875259,2021-03-08,2026-03-06,-6.157543593085791,-6.157543593085791,8.378558920060842,-0.873791268216553,28,53.57142857142857,0.6272990460348042,-54.97806779540887,3808.785714285714,18.13321112129545,16.666666666666664,0.5025125628140703,23460.61410172855,2025-03-06,2026-03-06,-3.8921917330871802,-3.8921917330871802,6.145161930848831,-2.418565050514563,8,50.0,0.2242163796589218,-121.63099165897438,3362.375,19.199494417526857,16.39344262295082,0.588550026752274,24026.952066728205,2025-12-08,2026-03-06,-4.331109297548941,-4.331109297548941,6.145161930848875,-3.49592878279049,5,40.0,0.10479957932226351,-216.55546487744724,3164.0,20.337995337995338,13.636363636363635,0.5979073243647235,23917.222675612764,2026-01-02,2026-03-06
literal,30,2.5,10,1.5,True,-0.02,1.5,38.249744995010346,6.700774338400994,20.785502245866972,0.6227098582190386,132,62.878787878787875,1.3057741304280523,72.44269885418626,7965.727272727273,36.458610185431276,27.86624203821656,0.6324972737186477,34562.43624875259,2021-03-08,2026-03-06,-6.157543593085791,-6.157543593085791,8.378558920060842,-0.873791268216553,28,53.57142857142857,0.6272990460348042,-54.97806779540887,3808.785714285714,18.13321112129545,16.666666666666664,0.5025125628140703,23460.61410172855,2025-03-06,2026-03-06,-3.8921917330871802,-3.8921917330871802,6.145161930848831,-2.418565050514563,8,50.0,0.2242163796589218,-121.63099165897438,3362.375,19.199494417526857,16.39344262295082,0.588550026752274,24026.952066728205,2025-12-08,2026-03-06,-4.331109297548941,-4.331109297548941,6.145161930848875,-3.49592878279049,5,40.0,0.10479957932226351,-216.55546487744724,3164.0,20.337995337995338,13.636363636363635,0.5979073243647235,23917.222675612764,2026-01-02,2026-03-06
literal,30,2.0,10,1.0,False,-0.02,1.5,37.7465401949461,6.62289066489159,11.696408313195395,0.8651123614550916,67,71.64179104477611,2.0496195096108205,140.84529923487355,8503.940298507463,19.520781796250485,15.92356687898089,0.26990185387131954,34436.63504873653,2021-03-08,2026-03-06,5.166142899484005,5.166142899484005,1.3978868822549617,1.7887745196353773,13,76.92307692307693,7.212750924349417,99.34890191315375,2700.153846153846,4.298808432630614,8.333333333333332,0.21158423697434542,26291.535724871,2025-03-06,2026-03-06,0.848197975950038,0.848197975950038,0.9516556188898351,1.3164991431355852,4,75.0,6.410520130954965,53.012373496877444,3082.0,5.3338950916368235,9.836065573770492,0.32102728731942215,25212.04949398751,2025-12-08,2026-03-06,0.3876313868855119,0.3876313868855119,0.48341765036536977,2.9380405262310694,1,100.0,inf,96.9078467213767,1249.0,1.1596736596736597,4.545454545454546,0.07473841554559044,25096.907846721377,2026-01-02,2026-03-06
