variant_id,side,timeframe_minutes,mult,ph,trigger_mode,confirm_mode,trend_window,hold_bars,entry_signal_time,entry_time,entry_session_date,entry_price,entry_wvf,entry_upper_band,entry_range_high,exit_signal_time,exit_time,exit_price,exit_wvf,exit_midline,exit_reason,bars_held,hold_minutes,equity_before,equity_after,pnl_dollars,return_pct
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-03-10T10:29:00-05:00,2021-03-10T10:30:00-05:00,2021-03-10,312.0,0.9592173802566326,0.8337761588844601,0.7673739042053062,2021-03-10T11:29:00-05:00,2021-03-10T11:30:00-05:00,313.02,0.957629272011176,0.39624748997172465,hold_limit_next_open,4,60.0,25000.0,24913.47334742335,-86.52665257664921,-0.34610661030659573
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-03-12T09:44:00-05:00,2021-03-12T09:45:00-05:00,2021-03-12,313.45,2.176877145140831,1.2303675889518573,1.741501716112665,2021-03-12T10:44:00-05:00,2021-03-12T10:45:00-05:00,313.035,2.1862805021392706,0.5505041761743694,hold_limit_next_open,4,60.0,24913.47334742335,24940.59453733687,27.12118991351963,0.10886153662843512
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-03-16T12:29:00-04:00,2021-03-16T12:30:00-04:00,2021-03-16,321.7,0.7811776330009046,0.7645968559586948,0.6249421064007237,2021-03-16T13:29:00-04:00,2021-03-16T13:30:00-04:00,322.56,0.4199215734708413,0.27262073725949015,hold_limit_next_open,4,60.0,24940.59453733687,24868.90558073351,-71.68895660336057,-0.28743884391384533
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-03-16T14:44:00-04:00,2021-03-16T14:45:00-04:00,2021-03-16,319.15,1.1707135777997935,1.1646758769641488,0.9365708622398348,2021-03-16T15:44:00-04:00,2021-03-16T15:45:00-04:00,321.15,0.6534935579782005,0.4875821975674694,hold_limit_next_open,4,60.0,24868.90558073351,24708.73197272934,-160.1736080041701,-0.6440718007641677
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-03-17T09:44:00-04:00,2021-03-17T09:45:00-04:00,2021-03-17,317.16,1.8407960199005022,1.5643660898559948,1.472636815920402,2021-03-17T10:44:00-04:00,2021-03-17T10:45:00-04:00,317.457,1.1537024350750402,0.6823901554244145,hold_limit_next_open,4,60.0,24708.73197272934,24680.19091088442,-28.541061844920478,-0.115510022434262
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-03-22T15:59:00-04:00,2021-03-23T09:30:00-04:00,2021-03-23,319.73,0.5820213147752303,0.5514418038498025,0.4656170518201843,2021-03-23T10:29:00-04:00,2021-03-23T10:30:00-04:00,319.51,0.3776116841168972,0.28173310883045904,hold_limit_next_open,4,60.0,24680.19091088442,24691.737054656438,11.546143772018695,0.046783040754050376
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-03-23T15:29:00-04:00,2021-03-23T15:30:00-04:00,2021-03-23,317.15,1.1359026369168315,1.067743502347796,0.9087221095334652,2021-03-24T09:59:00-04:00,2021-03-24T10:00:00-04:00,315.835,1.260832837968893,0.6390997034189773,hold_limit_next_open,4,1110.0,24691.737054656438,24787.99442078499,96.25736612855326,0.38983634855451754
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-03-31T15:59:00-04:00,2021-04-01T09:30:00-04:00,2021-04-01,323.07,0.5997831733131628,0.5810848859756371,0.47982653865053027,2021-04-01T09:59:00-04:00,2021-04-01T10:00:00-04:00,324.03,0.0802469135802441,0.22603076027011923,midline_next_open,2,30.0,24787.99442078499,24709.48723036751,-78.50719041748016,-0.3167145719205511
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-04-06T13:14:00-04:00,2021-04-06T13:15:00-04:00,2021-04-06,331.18,0.5619665825219391,0.5010873574850989,0.4495732660175513,2021-04-06T14:14:00-04:00,2021-04-06T14:15:00-04:00,331.58,0.4778218535881642,0.26471831557989745,hold_limit_next_open,4,60.0,24709.48723036751,24674.48436176169,-35.00286860582128,-0.1416576081870402
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-04-12T09:59:00-04:00,2021-04-12T10:00:00-04:00,2021-04-12,335.6,0.622960545832104,0.5990009966992635,0.49836843666568326,2021-04-12T10:59:00-04:00,2021-04-12T11:00:00-04:00,335.72,0.6437258973598385,0.23712384611384196,hold_limit_next_open,4,60.0,24674.48436176169,24660.42882508385,-14.055536677838973,-0.05696385169297047
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-04-14T10:29:00-04:00,2021-04-14T10:30:00-04:00,2021-04-14,339.33,0.5325107176579003,0.5149373733107198,0.4260085741263202,2021-04-14T11:29:00-04:00,2021-04-14T11:30:00-04:00,338.32,0.975292206459338,0.28166530105886683,hold_limit_next_open,4,60.0,24660.42882508385,24729.006767373536,68.57794228968487,0.2780890096279576
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-04-19T10:14:00-04:00,2021-04-19T10:15:00-04:00,2021-04-19,339.02,0.9590362854887204,0.6806325702964615,0.7672290283909764,2021-04-19T11:14:00-04:00,2021-04-19T11:15:00-04:00,339.7,0.8888628987456401,0.3153246781805404,hold_limit_next_open,4,60.0,24729.006767373536,24674.34802786485,-54.65873950868627,-0.22103087286465817
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-04-22T13:14:00-04:00,2021-04-22T13:15:00-04:00,2021-04-22,337.75,0.8097505586846255,0.5846213343479352,0.6478004469477004,2021-04-22T14:14:00-04:00,2021-04-22T14:15:00-04:00,335.27,1.695640567640647,0.3669875363432008,hold_limit_next_open,4,60.0,24674.34802786485,24850.73066949328,176.38264162843188,0.7148421568393237
short_stable_15m_pd11_bbl30_lb20_mult2.5_ph0.8,short,15,2.5,0.8,band,red_bar,0,4,2021-04-27T09:59:00-04:00,2021-04-27T10:00:00-04:00,2021-04-27,340.18,0.5207723815096634,0.4570513435970863,0.4166179052077308,2021-04-27T10:59:00-04:00,2021-04-27T11:00:00-04:00,339.98,0.6699824458747865,0.22215144228477968,hold_limit_next_open,4,60.0,24850.73066949328,24860.237788719798,9.507119226516807,0.03825690018115502
