session_date,equity,daily_return,daily_pnl
2021-03-08,25000.0,0.0,0.0
2021-03-09,25000.0,0.0,0.0
2021-03-10,25000.0,0.0,0.0
2021-03-11,25000.0,0.0,0.0
2021-03-12,25000.0,0.0,0.0
2021-03-15,25091.135634461356,0.003645425378454137,91.13563446135595
2021-03-16,25270.37114979679,0.007143379954841933,179.23551533543286
2021-03-17,25270.37114979679,0.0,0.0
2021-03-18,25270.37114979679,0.0,0.0
2021-03-19,25270.37114979679,0.0,0.0
2021-03-22,25155.739325683902,-0.004536214503276459,-114.63182411288653
2021-03-23,25027.84484379962,-0.005084107456690967,-127.89448188428287
2021-03-24,24612.582513730897,-0.0165920131222006,-415.2623300687228
2021-03-25,24577.84574087344,-0.0014113420579932034,-34.736772857457254
2021-03-26,24948.10816064954,0.015064885005781736,370.2624197760997
2021-03-29,24937.055551103986,-0.0004430239549380044,-11.052609545553423
2021-03-30,24821.003150875655,-0.0046538132776141605,-116.05240022833095
2021-03-31,24935.301473497726,0.004604903433084617,114.29832262207128
2021-04-01,25347.678387633714,0.016537875612784525,412.37691413598805
2021-04-05,25580.98504247799,0.009204261284855964,233.30665484427664
2021-04-06,25580.98504247799,0.0,0.0
2021-04-07,25629.435665892415,0.0018940092937771436,48.450623414424626
2021-04-08,25883.92231143648,0.009929467385141555,254.48664554406423
2021-04-09,26035.29931128853,0.005848302202065003,151.37699985205109
2021-04-12,26002.861382748804,-0.001245921091664215,-32.43792853972627
2021-04-13,26324.41635396381,0.012366137960045265,321.55497121500593
2021-04-14,26005.23415813893,-0.012124948623099097,-319.1821958248802
2021-04-15,26307.874214999367,0.01163765936580563,302.64005686043674
2021-04-16,26308.320777185723,1.6974468659336495e-05,0.4465621863564593
2021-04-19,26069.84656914082,-0.00906459253194547,-238.4742080449032
2021-04-20,25872.143757955208,-0.007583581693174857,-197.70281118561252
2021-04-21,26101.386706333855,0.00886060894386298,229.24294837864727
2021-04-22,25787.523877681215,-0.012024756852342944,-313.86282865264
2021-04-23,26111.387237638963,0.012558916532426245,323.8633599577479
2021-04-26,26280.62699818696,0.006481454202633907,169.2397605479964
2021-04-27,26160.620622525654,-0.004566343705178166,-120.00637566130536
2021-04-28,26058.307494558,-0.003910959508336531,-102.31312796765269
2021-04-29,26306.242577821267,0.009514627276351106,247.93508326326628
2021-04-30,26126.084018047226,-0.006848509787784507,-180.15855977404135
2021-05-03,25990.15322487866,-0.005202876675841184,-135.9307931685653
2021-05-04,25527.617386008144,-0.017796579915033472,-462.5358388705172
2021-05-05,25651.085691474025,0.004836656065424938,123.46830546588171
2021-05-06,25651.085691474025,0.0,0.0
2021-05-07,25483.036671395927,-0.006551341416864642,-168.0490200780987
2021-05-10,24831.01379750188,-0.0255865453674885,-652.0228738940459
2021-05-11,24573.08529262712,-0.010387352968274977,-257.9285048747588
2021-05-12,24573.08529262712,0.0,0.0
2021-05-13,24487.04944822105,-0.0035012227150771347,-86.03584440607301
2021-05-14,24787.290867252254,0.012261233010782968,300.2414190312047
2021-05-17,24642.220465669743,-0.005852612226137643,-145.07040158251039
2021-05-18,24468.2878899504,-0.0070583158673406254,-173.93257571934373
2021-05-19,24473.435610613884,0.00021038336178791361,5.147720663484506
2021-05-20,24473.435610613884,0.0,0.0
2021-05-21,24473.435610613884,0.0,0.0
2021-05-24,24450.400558325928,-0.0009412267510968686,-23.035052287956205
2021-05-25,24481.282488481094,0.0012630439358856105,30.88193015516663
2021-05-26,24562.163734125574,0.003303799369274607,80.88124564447935
2021-05-27,24473.92964796796,-0.0035922766052985944,-88.23408615761218
2021-05-28,24543.046348791424,0.0028240949376594493,69.11670082346245
2021-06-01,24472.459079865333,-0.002876059798076591,-70.58726892609047
2021-06-02,24515.840838892826,0.001772676741880197,43.38175902749208
2021-06-03,24335.11393199398,-0.007371842070867718,-180.7269068988462
2021-06-04,24593.068943002698,0.010600115196895743,257.95501100871843
2021-06-07,24686.712802496117,0.003807733785094136,93.64385949341886
2021-06-08,24882.299045347045,0.007922733351163336,195.5862428509281
2021-06-09,24792.957691494026,-0.0035905586413135238,-89.34135385301852
2021-06-10,25044.088753709475,0.01012912881715633,251.13106221544876
2021-06-11,25106.632752536167,0.0024973557409802005,62.54399882669168
2021-06-14,25347.979006832113,0.009612848392485773,241.34625429594598
2021-06-15,25178.74230412459,-0.006676536329066285,-169.23670270752336
2021-06-16,25086.765835261805,-0.003652941348373795,-91.9764688627838
2021-06-17,25410.5230056588,0.012905496568311081,323.7571703969952
2021-06-18,25209.646397662487,-0.007905252794347395,-200.8766079963134
2021-06-21,25226.566496372394,0.0006711755668051822,16.920098709906597
2021-06-22,25462.493142083455,0.009352309032820028,235.9266457110607
2021-06-23,25472.750822331767,0.0004028545119707516,10.257680248312681
2021-06-24,25603.24291713698,0.005122811262724403,130.49209480521313
2021-06-25,25575.43319208764,-0.0010861797913391813,-27.80972504934107
2021-06-28,25822.617189815657,0.00966489974466933,247.18399772801786
2021-06-29,25916.071583626344,0.003619090703460781,93.45439381068718
2021-06-30,25877.375623689106,-0.0014931259860265778,-38.69595993723851
2021-07-01,25889.05742291544,0.00045142905510253684,11.681799226334988
2021-07-02,26099.453430357444,0.008126831502786702,210.39600744200288
2021-07-06,26209.338205709017,0.004210232817510207,109.8847753515729
2021-07-07,26258.09502656037,0.0018602843180808293,48.75682085135486
2021-07-08,26114.7354189825,-0.005459634731036833,-143.35960757787325
2021-07-09,26270.466160209224,0.005963328317449612,155.7307412267255
2021-07-12,26373.07379812029,0.0039058171745152137,102.60763791106729
2021-07-13,26367.979801911937,-0.00019315140310705026,-5.0939962083539285
2021-07-14,26495.226917554362,0.0048258196721311375,127.24711564242534
2021-07-15,26495.226917554362,0.0,0.0
2021-07-16,26413.543845708664,-0.00308293535661619,-81.68307184569858
2021-07-19,26197.862782986434,-0.00816554809843395,-215.6810627222294
2021-07-20,26497.748096223506,0.011446938085034386,299.8853132370714
2021-07-21,26698.656483416813,0.007582092880637603,200.90838719330714
2021-07-22,26881.099026198975,0.006833397886349957,182.4425427821625
2021-07-23,27186.893409647615,0.011375814030170517,305.79438344863956
2021-07-26,27216.438760705456,0.0010867498030266987,29.54535105784089
2021-07-27,26918.76934879772,-0.01093711835427591,-297.6694119077365
2021-07-28,27018.48490861793,0.00370431346723743,99.71555982021164
2021-07-29,27069.450639192706,0.001886328221110567,50.96573057477508
2021-07-30,26923.939785232844,-0.005375463872516972,-145.5108539598623
2021-08-02,26924.678419009288,2.7434089599598366e-05,0.7386337764437485
2021-08-03,27090.871018709637,0.006172500823000249,166.1925997003491
2021-08-04,27132.973143967058,0.0015541074788014697,42.102125257420994
2021-08-05,27312.461151643434,0.006615124952360274,179.48800767637658
2021-08-06,27186.15477587117,-0.004624496308516024,-126.30637577226298
2021-08-09,27233.427337563713,0.0017388469271313323,47.272561692541785
2021-08-10,27096.780088921205,-0.005017629509086019,-136.6472486425082
2021-08-11,27050.984794781554,-0.0016900640588796145,-45.79529413965065
2021-08-12,27150.700354601762,0.003686208120579959,99.715559820208
2021-08-13,27242.290942881064,0.0033734153109525877,91.5905882793013
