mode_name,force_flat_eod,entry_threshold,cost_bps_per_side,total_return_pct,cagr_pct,max_drawdown_pct,daily_sharpe,trade_count,win_rate_pct
rth_swing,False,-4.0,0.0,20.213660388046286,3.7553475959268834,27.788521839944337,0.31372803833073165,11057,52.82626390521842
rth_swing,False,-4.0,0.25,-30.840138190624465,-7.118052327903657,39.798792995802735,-0.39448815849135005,11057,51.14407162883241
rth_swing,False,-4.0,0.5,-60.211789020141325,-16.851936771837607,62.94680240766966,-1.1047991066283593,11057,49.00967712761147
rth_swing,False,-4.0,0.75,-77.10953016136467,-25.565725203243396,77.81662563935376,-1.8171031948309555,11057,47.15564800578819
rth_swing,False,-4.0,1.0,-86.83093319744796,-33.366322111232314,87.19192557574367,-2.531297168151155,11057,45.44632359591209
rth_intraday,True,-4.0,0.0,-11.472777220829256,-2.410675630745085,24.5912837258628,-0.12971658818396115,11254,52.132575084414434
rth_intraday,True,-4.0,0.25,-49.5687961946627,-12.810031693771728,52.39640628244375,-1.0225701938512357,11254,50.497600853030036
rth_intraday,True,-4.0,0.5,-71.27091265691642,-22.10120706027283,71.88949698079008,-1.9191188913100827,11254,48.302825661986844
rth_intraday,True,-4.0,0.75,-83.6339330389113,-30.402292171436606,83.90757478012148,-2.8191701448285613,11254,46.410165274569046
rth_intraday,True,-4.0,1.0,-90.67676101188546,-37.81879346073572,90.8007610190876,-3.7225268296026077,11254,44.668562288963926
