variant_id,entry_threshold,force_flat_eod,entry_signal_time,entry_time,entry_price,entry_val,exit_signal_time,exit_time,exit_price,exit_val,exit_reason,bars_held,hold_minutes,equity_before,equity_after,pnl_dollars,return_pct
rth_intraday_threshold_-4,-4.0,True,2021-03-08T11:47:00-05:00,2021-03-08T11:48:00-05:00,305.79,-1.2716833571428516,2021-03-08T12:33:00-05:00,2021-03-08T12:33:00-05:00,306.11,1.0841569999999918,dark_green_next_open,45,45.0,25000.0,25021.15701311258,21.1570131125809,0.08462805245033067
rth_intraday_threshold_-4,-4.0,True,2021-03-08T12:49:00-05:00,2021-03-08T12:50:00-05:00,306.61,-0.09943085714287792,2021-03-08T13:20:00-05:00,2021-03-08T13:20:00-05:00,306.13,0.5434576428571584,dark_green_next_open,30,30.0,25021.15701311258,24976.990327269454,-44.1666858431272,-0.17651736016836006
rth_intraday_threshold_-4,-4.0,True,2021-03-08T13:55:00-05:00,2021-03-08T13:56:00-05:00,303.47,-1.1874148214285465,2021-03-08T14:18:00-05:00,2021-03-08T14:18:00-05:00,303.84,0.7811776785714253,dark_green_next_open,22,22.0,24976.990327269454,25002.442057054537,25.451729785083444,0.10190070721729505
rth_intraday_threshold_-4,-4.0,True,2021-03-08T14:51:00-05:00,2021-03-08T14:52:00-05:00,302.55,-1.4010822499999944,2021-03-08T15:30:00-05:00,2021-03-08T15:30:00-05:00,300.96,0.1601014285714053,dark_green_next_open,38,38.0,25002.442057054537,24866.07226897533,-136.36978807920605,-0.5454258738727069
rth_intraday_threshold_-4,-4.0,True,2021-03-08T15:58:00-05:00,2021-03-08T15:59:00-05:00,300.35,-1.1183660714285737,2021-03-08T15:59:00-05:00,2021-03-08T16:00:00-05:00,299.92,-1.1515215000000054,eod_close,1,1.0,24866.07226897533,24825.506833939846,-40.56543503548528,-0.1631356757781921
rth_intraday_threshold_-4,-4.0,True,2021-03-09T09:30:00-05:00,2021-03-09T09:31:00-05:00,307.39,-0.1048306071428613,2021-03-09T09:42:00-05:00,2021-03-09T09:42:00-05:00,307.41,5.280926571428602,dark_green_next_open,11,11.0,24825.506833939846,24822.157150939212,-3.3496830006333767,-0.013492908817691607
rth_intraday_threshold_-4,-4.0,True,2021-03-09T10:41:00-05:00,2021-03-09T10:42:00-05:00,310.875,-0.35042582142858203,2021-03-09T11:11:00-05:00,2021-03-09T11:11:00-05:00,309.762,0.28251685714284425,dark_green_next_open,29,29.0,24822.157150939212,24728.342275655483,-93.81487528372963,-0.3779481159242426
rth_intraday_threshold_-4,-4.0,True,2021-03-09T11:43:00-05:00,2021-03-09T11:44:00-05:00,310.92,-0.19088025000001085,2021-03-09T12:01:00-05:00,2021-03-09T12:01:00-05:00,310.58,0.17817503571426746,dark_green_next_open,17,17.0,24728.342275655483,24696.361352925178,-31.980922730304883,-0.1293290200119479
rth_intraday_threshold_-4,-4.0,True,2021-03-09T12:54:00-05:00,2021-03-09T12:55:00-05:00,311.59,-0.2889683928571547,2021-03-09T13:12:00-05:00,2021-03-09T13:12:00-05:00,312.599,0.963400892857155,dark_green_next_open,17,17.0,24696.361352925178,24771.37907306481,75.01772013963273,0.30376021417724
rth_intraday_threshold_-4,-4.0,True,2021-03-09T13:32:00-05:00,2021-03-09T13:33:00-05:00,313.15,-0.10285628571427241,2021-03-09T13:47:00-05:00,2021-03-09T13:47:00-05:00,313.31,0.3565709642856973,dark_green_next_open,14,14.0,24771.37907306481,24779.079381872445,7.700308807634428,0.031085507128691958
