variant_id,mode_name,entry_threshold,exit_threshold,full_history_total_return_pct,full_history_max_drawdown_pct,full_history_daily_sharpe,full_history_trade_count,last_1y_total_return_pct,last_90d_total_return_pct,ytd_2026_total_return_pct,stability_score,positive_window_count
rth_swing_buy_-0.02_sell_1.5,rth_swing,-0.02,1.5,66.00451162187389,22.44450148257601,0.8646062066676861,289,6.672624853115461,1.9208785509849946,0.01256735453161184,23,4
rth_swing_buy_-0.02_sell_0.35,rth_swing,-0.02,0.35,13.98877248519279,8.09618769759275,0.5584091782581305,637,0.7101136335397884,1.6371036506488412,1.6968387536600682,38,4
rth_intraday_buy_-0.5_sell_1.5,rth_intraday,-0.5,1.5,-13.58711336451539,24.327331328967027,-0.15099737503273514,1465,-0.8642106510327152,-0.4768949034099079,1.3431916653032783,41,1
rth_swing_buy_-0.02_sell_0.5,rth_swing,-0.02,0.5,17.105396267872774,9.30103665101819,0.5341287616369939,586,-0.45593752597352655,1.5770865279971957,1.4805150531250755,43,3
rth_swing_buy_-4_sell_1.5,rth_swing,-4.0,1.5,44.82972895571127,40.85000659476384,0.46000898286750724,836,7.234736131550812,-0.812389603563235,-0.19212555334983117,44,2
rth_intraday_buy_-0.02_sell_0.05,rth_intraday,-0.02,0.05,-11.405565559317987,12.48689551306702,-1.3689666873934225,718,-1.721410257480005,0.7056471022130584,0.7649039675209801,47,2
rth_intraday_buy_-0.02_sell_0.35,rth_intraday,-0.02,0.35,1.274517970003597,5.986678609586638,0.1044066192023389,647,-0.491173578507309,-0.2593939830306313,0.17682905542781846,48,2
rth_intraday_buy_-0.02_sell_0.15,rth_intraday,-0.02,0.15,-5.866150901312983,7.0321402473418555,-0.5712783797149565,700,-1.5912343736540047,0.2447466427755396,0.5915605580215644,48,2
rth_swing_buy_-0.02_sell_1,rth_swing,-0.02,1.0,21.65475241037056,14.128187717946695,0.43187132166964354,431,-1.4590922448229127,1.8420493547639971,0.19090550433842335,49,3
rth_intraday_buy_-0.02_sell_0.25,rth_intraday,-0.02,0.25,-2.9684384976922162,6.5374263951349825,-0.24427182880227283,674,-0.8687029786181855,0.15813735490062264,0.3031057042102381,51,2
rth_intraday_buy_-1_sell_1.5,rth_intraday,-1.0,1.5,-14.661967290492017,27.75714856332514,-0.1432402662018764,1587,-4.054809037809903,1.570155443189769,2.583476690616049,51,2
rth_intraday_buy_-0.02_sell_0.02,rth_intraday,-0.02,0.02,-13.701465214015073,14.754772808536876,-1.7153290956473173,724,-1.9951745592697856,0.6436363465676553,0.7649039675209801,54,2
rth_intraday_buy_-0.02_sell_0.1,rth_intraday,-0.02,0.1,-10.487531270403604,11.606665628737167,-1.1004688249318315,710,-2.0016815630449547,0.29532601928672353,0.6423149225713409,55,2
rth_intraday_buy_-0.02_sell_0.5,rth_intraday,-0.02,0.5,4.184905169798947,6.110674214444989,0.2532299715891454,608,0.39549133090845956,-0.6770889222755927,-0.4623305117429366,57,2
rth_swing_buy_-0.02_sell_0.25,rth_swing,-0.02,0.25,8.412306321938413,8.668611430603734,0.4011111078857073,671,-2.1302174536743435,1.5898080488814026,1.029385796538529,59,3
