session_date,equity,daily_return
2021-03-08,25000.0,0.0
2021-03-09,25000.0,0.0
2021-03-10,24913.47334742335,-0.0034610661030659573
2021-03-11,24913.47334742335,0.0
2021-03-12,24940.59453733687,0.0010886153662843512
2021-03-15,24940.59453733687,0.0
2021-03-16,24708.73197272934,-0.009296593321399205
2021-03-17,24680.19091088442,-0.00115510022434262
2021-03-18,24680.19091088442,0.0
2021-03-19,24680.19091088442,0.0
2021-03-22,24680.19091088442,0.0
2021-03-23,24699.388961358036,0.0007778728512650712
2021-03-24,24787.99442078499,0.003587354309273705
2021-03-25,24787.99442078499,0.0
2021-03-26,24787.99442078499,0.0
2021-03-29,24787.99442078499,0.0
2021-03-30,24787.99442078499,0.0
2021-03-31,24787.99442078499,0.0
2021-04-01,24709.48723036751,-0.003167145719205511
2021-04-05,24709.48723036751,0.0
2021-04-06,24674.48436176169,-0.001416576081870402
2021-04-07,24674.48436176169,0.0
2021-04-08,24674.48436176169,0.0
2021-04-09,24674.48436176169,0.0
2021-04-12,24660.42882508385,-0.0005696385169297047
2021-04-13,24660.42882508385,0.0
2021-04-14,24729.006767373536,0.0027808900962795757
2021-04-15,24729.006767373536,0.0
2021-04-16,24729.006767373536,0.0
2021-04-19,24674.34802786485,-0.0022103087286465817
2021-04-20,24674.34802786485,0.0
2021-04-21,24674.34802786485,0.0
2021-04-22,24850.73066949328,0.007148421568393237
2021-04-23,24850.73066949328,0.0
2021-04-26,24850.73066949328,0.0
2021-04-27,24860.237788719798,0.0003825690018115502
2021-04-28,24860.237788719798,0.0
2021-04-29,24805.1399716991,-0.002216302896575595
2021-04-30,24805.1399716991,0.0
2021-05-03,24778.554363518546,-0.0010717781964095785
2021-05-04,24921.77314087705,0.005779948872617124
2021-05-05,24921.77314087705,0.0
2021-05-06,24936.020207883907,0.0005716714828565284
2021-05-07,24936.020207883907,0.0
2021-05-10,25008.10765982136,0.0028908964356173517
2021-05-11,25008.10765982136,0.0
2021-05-12,25008.10765982136,0.0
2021-05-13,25008.10765982136,0.0
2021-05-14,25008.10765982136,0.0
2021-05-17,25013.52774306224,0.0002167330417244262
2021-05-18,24932.84441993687,-0.003225587528242535
2021-05-19,24724.38524362041,-0.00836082609771438
2021-05-20,24724.38524362041,0.0
2021-05-21,24743.254307805008,0.000763176273087085
2021-05-24,24743.254307805008,0.0
2021-05-25,24721.116109894876,-0.000894716500696835
2021-05-26,24721.116109894876,0.0
2021-05-27,24617.110727641655,-0.004207147516757659
2021-05-28,24617.110727641655,0.0
2021-06-01,24658.623331646693,0.0016863312865722513
2021-06-02,24656.491852045066,-8.643952149955947e-05
2021-06-03,24650.317602650244,-0.00025041070043019253
2021-06-04,24650.317602650244,0.0
2021-06-07,24650.317602650244,0.0
2021-06-08,24587.086091707606,-0.0025651398071983023
2021-06-09,24587.086091707606,0.0
2021-06-10,24484.994425264224,-0.00415224748726184
2021-06-11,24484.994425264224,0.0
2021-06-14,24484.994425264224,0.0
2021-06-15,24496.855328205093,0.0004844151783278683
2021-06-16,24302.95018345985,-0.00791551169108573
2021-06-17,24302.95018345985,0.0
2021-06-18,24302.95018345985,0.0
2021-06-21,24302.95018345985,0.0
2021-06-22,24302.95018345985,0.0
2021-06-23,24239.338705922062,-0.002617438502634073
2021-06-24,24215.0333561803,-0.0010027233018458093
2021-06-25,24215.0333561803,0.0
2021-06-28,24215.0333561803,0.0
2021-06-29,24215.0333561803,0.0
2021-06-30,24215.0333561803,0.0
2021-07-01,24173.194740768686,-0.0017277950765629546
2021-07-02,24173.194740768686,0.0
2021-07-06,24128.22015491491,-0.0018605147700202496
2021-07-07,24128.22015491491,0.0
2021-07-08,24069.607191374995,-0.0024292286444500544
2021-07-09,24069.607191374995,0.0
2021-07-12,24069.607191374995,0.0
2021-07-13,24169.43208382829,0.004147341984420461
2021-07-14,24169.43208382829,0.0
2021-07-15,24169.43208382829,0.0
2021-07-16,24169.43208382829,0.0
2021-07-19,24169.43208382829,0.0
2021-07-20,24169.43208382829,0.0
2021-07-21,24169.43208382829,0.0
2021-07-22,24169.43208382829,0.0
2021-07-23,24169.43208382829,0.0
2021-07-26,24169.43208382829,0.0
2021-07-27,24376.19407824995,0.008554689812509286
2021-07-28,24376.19407824995,0.0
2021-07-29,24376.19407824995,0.0
2021-07-30,24376.19407824995,0.0
2021-08-02,24376.19407824995,0.0
2021-08-03,24364.53754548689,-0.0004781933030907348
2021-08-04,24364.53754548689,0.0
2021-08-05,24364.53754548689,0.0
2021-08-06,24319.20318090792,-0.0018606700206944549
2021-08-09,24319.20318090792,0.0
2021-08-10,24416.35686848815,0.003994937122631548
2021-08-11,24416.35686848815,0.0
2021-08-12,24416.35686848815,0.0
2021-08-13,24416.35686848815,0.0
2021-08-16,24416.35686848815,0.0
2021-08-17,24416.35686848815,0.0
2021-08-18,24416.35686848815,0.0
2021-08-19,24257.55160117106,-0.00650405251579711
2021-08-20,24257.55160117106,0.0
2021-08-23,24257.55160117106,0.0
2021-08-24,24257.55160117106,0.0
2021-08-25,24257.55160117106,0.0
2021-08-26,24217.599107441645,-0.0016470126246165284
