variant_id,side,timeframe_minutes,mult,ph,trigger_mode,confirm_mode,trend_window,hold_bars,entry_signal_time,entry_time,entry_session_date,entry_price,entry_wvf,entry_upper_band,entry_range_high,exit_signal_time,exit_time,exit_price,exit_wvf,exit_midline,exit_reason,bars_held,hold_minutes,equity_before,equity_after,pnl_dollars,return_pct
long_stable_60m_pd44_bbl20_lb20_mult1.5_ph0.9,long,60,1.5,0.9,either,none,0,8,2021-03-19T11:29:00-04:00,2021-03-19T11:30:00-04:00,2021-03-19,312.48,3.993205682520076,3.8746903549846374,3.9301760345892554,2021-03-22T10:29:00-04:00,2021-03-22T10:30:00-04:00,317.39,2.6559604694255783,2.8774691167387316,midline_next_open,6,4260.0,25000.0,25387.746829709093,387.7468297090927,1.550987318836361
long_stable_60m_pd44_bbl20_lb20_mult1.5_ph0.9,long,60,1.5,0.9,either,none,0,8,2021-03-24T15:29:00-04:00,2021-03-24T15:30:00-04:00,2021-03-24,313.546,2.809215218132772,2.8412304498897143,2.5282936963194946,2021-03-25T15:59:00-04:00,2021-03-26T09:30:00-04:00,311.1,3.5471768317261474,2.9976293282318047,hold_limit_next_open,8,2520.0,25387.746829709093,25184.657090494013,-203.08973921508004,-0.799951805795629
long_stable_60m_pd44_bbl20_lb20_mult1.5_ph0.9,long,60,1.5,0.9,either,none,0,8,2021-04-06T13:29:00-04:00,2021-04-06T13:30:00-04:00,2021-04-06,330.41,0.6349875109091496,0.6088075584684296,0.6939469370408652,2021-04-07T11:29:00-04:00,2021-04-07T11:30:00-04:00,331.38,0.2979325288151943,0.38182545642545135,midline_next_open,5,1320.0,25184.657090494013,25253.54139333402,68.88430284000788,0.2735169376834934
long_stable_60m_pd44_bbl20_lb20_mult1.5_ph0.9,long,60,1.5,0.9,either,none,0,8,2021-04-12T10:29:00-04:00,2021-04-12T10:30:00-04:00,2021-04-12,335.88,0.622960545832104,0.5767484598257124,0.5961687652921088,2021-04-12T13:29:00-04:00,2021-04-12T13:30:00-04:00,336.61,0.24918421833284837,0.305437572503225,midline_next_open,3,180.0,25253.54139333402,25303.365888122036,49.82449478801573,0.19729706028941418
long_stable_60m_pd44_bbl20_lb20_mult1.5_ph0.9,long,60,1.5,0.9,either,none,0,8,2021-04-14T11:29:00-04:00,2021-04-14T11:30:00-04:00,2021-04-14,338.32,0.975292206459338,0.692689597580325,0.8777629858134042,2021-04-15T10:29:00-04:00,2021-04-15T10:30:00-04:00,340.92,0.4973227847730162,0.5998694525876787,midline_next_open,6,1380.0,25303.365888122036,25492.723753083137,189.35786496110086,0.7483504992906509
long_stable_60m_pd44_bbl20_lb20_mult1.5_ph0.9,long,60,1.5,0.9,either,none,0,8,2021-04-19T13:29:00-04:00,2021-04-19T13:30:00-04:00,2021-04-19,338.09,1.4878797625661673,1.3721911086497678,1.4134992639857358,2021-04-20T14:29:00-04:00,2021-04-20T14:30:00-04:00,335.62,2.0205269159917028,1.009884091157949,hold_limit_next_open,8,1500.0,25492.723753083137,25301.419320237925,-191.30443284521243,-0.750427591410574
long_stable_60m_pd44_bbl20_lb20_mult1.5_ph0.9,long,60,1.5,0.9,either,none,0,8,2021-04-21T10:29:00-04:00,2021-04-21T10:30:00-04:00,2021-04-21,336.78,2.345097809877476,2.3976926616711394,2.1105880288897287,2021-04-21T12:29:00-04:00,2021-04-21T12:30:00-04:00,337.66,1.3099798239714664,1.411550791399373,midline_next_open,2,120.0,25301.419320237925,25362.45821502102,61.03889478309429,0.24124691982900792
long_stable_60m_pd44_bbl20_lb20_mult1.5_ph0.9,long,60,1.5,0.9,either,none,0,8,2021-04-22T14:29:00-04:00,2021-04-22T14:30:00-04:00,2021-04-22,335.85,2.3334015614491705,2.326096221621899,2.1105880288897287,2021-04-23T11:29:00-04:00,2021-04-23T11:30:00-04:00,339.03,1.4561829293254243,1.6704757449048244,midline_next_open,4,1260.0,25362.45821502102,25597.482708897394,235.02449387637535,0.9266629121036152
long_stable_60m_pd44_bbl20_lb20_mult1.5_ph0.9,long,60,1.5,0.9,either,none,0,8,2021-04-28T10:29:00-04:00,2021-04-28T10:30:00-04:00,2021-04-28,340.04,0.9132687410356246,0.8834458046400251,0.8219418669320622,2021-04-29T11:29:00-04:00,2021-04-29T11:30:00-04:00,339.54,0.9249773146386349,0.6562188667531319,hold_limit_next_open,8,1500.0,25597.482708897394,25554.732066924233,-42.75064197316169,-0.1670111176920619
long_stable_60m_pd44_bbl20_lb20_mult1.5_ph0.9,long,60,1.5,0.9,either,none,0,8,2021-04-30T10:29:00-04:00,2021-04-30T10:30:00-04:00,2021-04-30,339.985,1.2294002283171819,1.2140286776780744,1.2460586014108797,2021-05-03T11:29:00-04:00,2021-05-03T11:30:00-04:00,335.96,1.6918888856364993,1.041984017797029,hold_limit_next_open,8,4380.0,25554.732066924233,25247.145602013323,-307.58646491090985,-1.2036379959116106
