variant_id,timeframe_minutes,mode_name,force_flat_eod,buy_threshold,sell_threshold,cost_bps_per_side,full_history_final_equity,full_history_total_return_pct,full_history_cagr_pct,full_history_max_drawdown_pct,full_history_daily_sharpe,full_history_trade_count,full_history_long_trade_count,full_history_short_trade_count,full_history_win_rate_pct,full_history_profit_factor,full_history_avg_trade_pnl,full_history_avg_trade_return_pct,full_history_avg_hold_minutes,full_history_exposure_pct,full_history_profitable_days_pct,full_history_start,full_history_end,last_1y_final_equity,last_1y_total_return_pct,last_1y_cagr_pct,last_1y_max_drawdown_pct,last_1y_daily_sharpe,last_1y_trade_count,last_1y_long_trade_count,last_1y_short_trade_count,last_1y_win_rate_pct,last_1y_profit_factor,last_1y_avg_trade_pnl,last_1y_avg_trade_return_pct,last_1y_avg_hold_minutes,last_1y_exposure_pct,last_1y_profitable_days_pct,last_1y_start,last_1y_end,last_90d_final_equity,last_90d_total_return_pct,last_90d_cagr_pct,last_90d_max_drawdown_pct,last_90d_daily_sharpe,last_90d_trade_count,last_90d_long_trade_count,last_90d_short_trade_count,last_90d_win_rate_pct,last_90d_profit_factor,last_90d_avg_trade_pnl,last_90d_avg_trade_return_pct,last_90d_avg_hold_minutes,last_90d_exposure_pct,last_90d_profitable_days_pct,last_90d_start,last_90d_end,ytd_2026_final_equity,ytd_2026_total_return_pct,ytd_2026_cagr_pct,ytd_2026_max_drawdown_pct,ytd_2026_daily_sharpe,ytd_2026_trade_count,ytd_2026_long_trade_count,ytd_2026_short_trade_count,ytd_2026_win_rate_pct,ytd_2026_profit_factor,ytd_2026_avg_trade_pnl,ytd_2026_avg_trade_return_pct,ytd_2026_avg_hold_minutes,ytd_2026_exposure_pct,ytd_2026_profitable_days_pct,ytd_2026_start,ytd_2026_end,positive_window_count,full_history_total_return_pct_rank,last_1y_total_return_pct_rank,last_90d_total_return_pct_rank,ytd_2026_total_return_pct_rank,stability_score,stability_rank
60m_intraday_buy_-0.1_sell_0.75,60,intraday,True,-0.1,0.75,1.0,22171.137141866147,-11.315451432535406,-2.375971404104915,24.820118050090212,-0.23143045899671127,355,5,350,44.7887323943662,0.8979907781141737,-7.968627769391134,-0.028327453276820794,263.15492957746477,17.713310580204777,12.659235668789808,2021-03-08,2026-03-06,22169.566216198687,-11.321735135205246,-11.321735135205246,17.946561428219376,-0.8365142677416869,77,0,77,46.75324675324675,0.5636386743183367,-36.75888030910796,-0.14384351512593502,264.93506493506493,19.27437641723356,14.285714285714285,2025-03-06,2026-03-06,25269.190677122835,1.07676270849133,1.07676270849133,1.5644065869479529,1.4752045742407935,16,0,16,68.75,1.6242720005961984,16.82441732017719,0.0676397929622985,258.75,16.159250585480095,18.0327868852459,2025-12-08,2026-03-06,25243.906506453204,0.9756260258128258,0.9756260258128258,1.564406586947964,1.5799243451448355,14,0,14,64.28571428571429,1.5662027795154527,17.421893318086013,0.07014921407829824,265.7142857142857,20.12987012987013,20.454545454545457,2026-01-02,2026-03-06,2,1,2,1,1,5,1
15m_swing_buy_-0.02_sell_1.5,15,swing,False,-0.02,1.5,1.0,12424.730609512311,-50.30107756195075,-13.065035700524874,60.24399208219322,-0.5498390776399994,29,14,15,51.724137931034484,0.35684930426593203,-433.6299789823341,-2.065627498318844,90524.4827586207,99.87748476216728,45.93949044585987,2021-03-08,2026-03-06,20615.580488001124,-17.53767804799551,-17.53767804799551,34.59314293911125,-0.8330461004379414,7,3,4,57.14285714285714,0.188214631921399,-626.345644571268,-2.5619859655611705,75139.28571428571,99.98473748473748,42.857142857142854,2025-03-06,2026-03-06,26203.219114842603,4.812876459370408,4.812876459370408,4.871201307122453,1.3793695191374957,3,1,2,100.0,inf,401.0730382808676,1.5882230911565969,41825.0,97.54098360655738,47.540983606557376,2025-12-08,2026-03-06,25795.922481683505,3.1836899267340124,3.1836899267340124,4.53794897947154,1.2394851542890828,1,0,1,100.0,inf,795.9224816835049,3.1836899267340124,86640.0,96.85314685314685,47.72727272727273,2026-01-02,2026-03-06,2,1,1,1,2,5,1
5m_swing_buy_-0.5_sell_0.5,5,swing,False,-0.5,0.5,1.0,24236.370077926742,-3.0545196882930337,-0.6192683941623645,46.545033318970866,0.08269220271072068,1582,791,791,51.70670037926675,0.993731432684871,-0.4826990657858774,0.004025082663366304,1659.6112515802781,99.93873112152683,47.21337579617834,2021-03-08,2026-03-06,30044.87002982357,20.17948011929429,20.17948011929429,18.146224097420994,0.9547796184676836,285,142,143,53.68421052631579,1.2629927610079967,17.701298350258142,0.06901917172823754,1845.1754385964912,99.88298142966167,48.80952380952381,2025-03-06,2026-03-06,26999.61931288379,7.998477251535174,7.998477251535174,7.392404293599675,2.3433394780979127,71,35,36,57.74647887323944,1.5316913603803457,28.163652294137904,0.11201644942028041,1790.0,99.91591339079253,54.09836065573771,2025-12-08,2026-03-06,27375.36452905065,9.501458116202599,9.501458116202599,5.501391633663443,3.591011990092261,51,25,26,60.78431372549019,1.7753426418745846,46.57577507942451,0.18284571410959338,1785.5882352941176,99.73776223776224,54.54545454545454,2026-01-02,2026-03-06,3,4,2,1,1,8,1
60m_intraday_buy_-0.05_sell_0.75,60,intraday,True,-0.05,0.75,1.0,22077.210826789098,-11.691156692843608,-2.4589294277360008,24.836077123153466,-0.2412780910109364,351,1,350,44.44444444444444,0.8941149356453836,-8.327034681512542,-0.029862260418857513,263.2478632478632,17.51990898748578,12.420382165605096,2021-03-08,2026-03-06,22169.566216198687,-11.321735135205246,-11.321735135205246,17.946561428219376,-0.8365142677416869,77,0,77,46.75324675324675,0.5636386743183367,-36.75888030910796,-0.14384351512593502,264.93506493506493,19.27437641723356,14.285714285714285,2025-03-06,2026-03-06,25269.190677122835,1.07676270849133,1.07676270849133,1.5644065869479529,1.4752045742407935,16,0,16,68.75,1.6242720005961984,16.82441732017719,0.0676397929622985,258.75,16.159250585480095,18.0327868852459,2025-12-08,2026-03-06,25243.906506453204,0.9756260258128258,0.9756260258128258,1.564406586947964,1.5799243451448355,14,0,14,64.28571428571429,1.5662027795154527,17.421893318086013,0.07014921407829824,265.7142857142857,20.12987012987013,20.454545454545457,2026-01-02,2026-03-06,2,4,2,1,1,8,2
60m_intraday_buy_-0.02_sell_0.75,60,intraday,True,-0.02,0.75,1.0,22077.210826789098,-11.691156692843608,-2.4589294277360008,24.836077123153466,-0.2412780910109364,351,1,350,44.44444444444444,0.8941149356453836,-8.327034681512542,-0.029862260418857513,263.2478632478632,17.51990898748578,12.420382165605096,2021-03-08,2026-03-06,22169.566216198687,-11.321735135205246,-11.321735135205246,17.946561428219376,-0.8365142677416869,77,0,77,46.75324675324675,0.5636386743183367,-36.75888030910796,-0.14384351512593502,264.93506493506493,19.27437641723356,14.285714285714285,2025-03-06,2026-03-06,25269.190677122835,1.07676270849133,1.07676270849133,1.5644065869479529,1.4752045742407935,16,0,16,68.75,1.6242720005961984,16.82441732017719,0.0676397929622985,258.75,16.159250585480095,18.0327868852459,2025-12-08,2026-03-06,25243.906506453204,0.9756260258128258,0.9756260258128258,1.564406586947964,1.5799243451448355,14,0,14,64.28571428571429,1.5662027795154527,17.421893318086013,0.07014921407829824,265.7142857142857,20.12987012987013,20.454545454545457,2026-01-02,2026-03-06,2,4,2,1,1,8,2
1m_swing_buy_-0.02_sell_1.5,1,swing,False,-0.02,1.5,1.0,30832.57220045537,23.330288801821485,4.288499182239902,28.080085674560053,0.3041184400334151,579,289,290,51.64075993091537,1.0532212641936871,10.073527116503232,0.05478181459506285,4534.538860103627,99.9378488336434,49.681528662420384,2021-03-08,2026-03-06,23028.34461111397,-7.8866215555441155,-7.8866215555441155,25.062461713770045,-0.2778584261383633,153,76,77,47.712418300653596,0.8933279972765302,-12.886636528666855,-0.04372758222568569,3437.5359477124184,99.95213361849476,46.42857142857143,2025-03-06,2026-03-06,27079.78403659454,8.31913614637816,8.31913614637816,5.976588049969777,2.082263369853971,37,18,19,56.75675675675676,1.7787819034616337,56.21037936742003,0.2215137321525988,3435.135135135135,99.95786812723826,52.459016393442624,2025-12-08,2026-03-06,25764.222287281023,3.056889149124098,3.056889149124098,5.205560353972272,1.0769168090788592,27,13,14,51.85185185185185,1.3840976069920479,28.304529158556424,0.11655390166715401,3374.074074074074,99.94172494172494,50.0,2026-01-02,2026-03-06,3,2,1,1,5,9,1
1m_intraday_buy_-0.5_sell_1.5,1,intraday,True,-0.5,1.5,1.0,15243.03816272751,-39.02784734908996,-9.432309066361954,40.02530375652958,-0.5684247247456569,2180,1465,715,49.77064220183486,0.9155758209172131,-4.475670567556189,-0.019841929517336113,202.71467889908257,90.22325353178093,50.55732484076433,2021-03-08,2026-03-06,22960.601525013564,-8.157593899945748,-8.157593899945748,19.12448902019397,-0.553928532054158,575,335,240,47.65217391304348,0.9304368618263844,-3.546779956498149,-0.012993636608298604,157.01043478260868,91.85354924126693,52.38095238095239,2025-03-06,2026-03-06,24570.958764453895,-1.7161649421844172,-1.7161649421844172,7.101247751383344,-0.4394383240560015,148,87,61,50.67567567567568,0.9357438360976431,-2.8989272672034114,-0.0105048267362585,149.07432432432432,92.72382557404677,57.377049180327866,2025-12-08,2026-03-06,25015.034721749384,0.06013888699754055,0.06013888699754055,7.101247751383378,0.09820786343392446,116,66,50,50.0,1.0028748857746514,0.12960967025330697,0.001696406131305096,137.6551724137931,93.05361305361305,52.27272727272727,2026-01-02,2026-03-06,1,5,1,2,1,9,1
15m_swing_buy_-0.02_sell_1,15,swing,False,-0.02,1.0,1.0,11543.44934558591,-53.826202617656364,-14.336400034021201,62.88580685793617,-0.6134142563214268,29,14,15,51.724137931034484,0.3152172835137891,-464.0189880832445,-2.2935903470324965,90524.4827586207,99.87748476216728,45.70063694267516,2021-03-08,2026-03-06,20208.8018465215,-19.164792613914006,-19.164792613914006,35.893692144351775,-0.9273368247950059,7,3,4,57.14285714285714,0.1434059541797063,-684.4568790683572,-2.8304105632124297,75139.28571428571,99.98473748473748,42.46031746031746,2025-03-06,2026-03-06,26203.219114842603,4.812876459370408,4.812876459370408,4.871201307122453,1.3793695191374957,3,1,2,100.0,inf,401.0730382808676,1.5882230911565969,41825.0,97.54098360655738,47.540983606557376,2025-12-08,2026-03-06,25795.922481683505,3.1836899267340124,3.1836899267340124,4.53794897947154,1.2394851542890828,1,0,1,100.0,inf,795.9224816835049,3.1836899267340124,86640.0,96.85314685314685,47.72727272727273,2026-01-02,2026-03-06,2,3,3,1,2,9,2
5m_intraday_buy_-0.15_sell_1.5,5,intraday,True,-0.15,1.5,1.0,21861.249403593873,-12.555002385624514,-2.6507478743496793,24.610860809213385,-0.14465832689116875,1056,327,729,43.65530303030303,0.9515699329295364,-2.972301701142166,-0.008883126145857246,226.13162878787878,48.75573119300718,31.60828025477707,2021-03-08,2026-03-06,24785.38688994671,-0.8584524402131644,-0.8584524402131644,16.958133172107004,0.027709551977484804,229,55,174,45.851528384279476,0.9845300289454613,-0.9371751530711404,0.0019075349562452388,231.04803493449782,53.838717883490204,35.317460317460316,2025-03-06,2026-03-06,26074.118397778268,4.29647359111307,4.29647359111307,5.037687827732162,2.2429166673767864,56,15,41,53.57142857142857,1.504274365680167,19.18068567461192,0.07645974443195293,235.71428571428572,55.49716207693925,40.98360655737705,2025-12-08,2026-03-06,25368.17592001331,1.4727036800532334,1.4727036800532334,5.037687827732151,1.1774200308894927,45,11,34,55.55555555555556,1.2056357820773458,8.181687111406871,0.033536853585194565,230.77777777777777,60.518648018648015,47.72727272727273,2026-01-02,2026-03-06,2,5,4,1,1,11,1
15m_swing_buy_-0.02_sell_0.75,15,swing,False,-0.02,0.75,1.0,11365.63750052735,-54.537449997890604,-14.602275645616281,63.06797773676003,-0.6276369148618361,29,14,15,51.724137931034484,0.3048616599763811,-470.1504310162983,-2.345659233450613,90524.4827586207,99.87748476216728,45.62101910828025,2021-03-08,2026-03-06,20208.8018465215,-19.164792613914006,-19.164792613914006,35.893692144351775,-0.9273368247950059,7,3,4,57.14285714285714,0.1434059541797063,-684.4568790683572,-2.8304105632124297,75139.28571428571,99.98473748473748,42.46031746031746,2025-03-06,2026-03-06,26203.219114842603,4.812876459370408,4.812876459370408,4.871201307122453,1.3793695191374957,3,1,2,100.0,inf,401.0730382808676,1.5882230911565969,41825.0,97.54098360655738,47.540983606557376,2025-12-08,2026-03-06,25795.922481683505,3.1836899267340124,3.1836899267340124,4.53794897947154,1.2394851542890828,1,0,1,100.0,inf,795.9224816835049,3.1836899267340124,86640.0,96.85314685314685,47.72727272727273,2026-01-02,2026-03-06,2,5,3,1,2,11,3
