variant_id,session_mode,force_flat_eod,entry_threshold,cost_bps_per_side,full_history_total_return_pct,full_history_cagr_pct,full_history_max_drawdown_pct,full_history_daily_sharpe,full_history_trade_count,full_history_win_rate_pct,full_history_profit_factor,full_history_avg_trade_return_pct,full_history_median_trade_return_pct,full_history_avg_trade_pnl,full_history_avg_hold_minutes,full_history_avg_bars_held,full_history_exposure_pct,full_history_profitable_days_pct,full_history_avg_trades_per_day,full_history_dark_red_turns,full_history_eligible_dark_red_turns,full_history_eligible_dark_red_share_pct,full_history_dark_green_turns,full_history_final_equity,full_history_start,full_history_end,last_1y_total_return_pct,last_1y_cagr_pct,last_1y_max_drawdown_pct,last_1y_daily_sharpe,last_1y_trade_count,last_1y_win_rate_pct,last_1y_profit_factor,last_1y_avg_trade_return_pct,last_1y_median_trade_return_pct,last_1y_avg_trade_pnl,last_1y_avg_hold_minutes,last_1y_avg_bars_held,last_1y_exposure_pct,last_1y_profitable_days_pct,last_1y_avg_trades_per_day,last_1y_dark_red_turns,last_1y_eligible_dark_red_turns,last_1y_eligible_dark_red_share_pct,last_1y_dark_green_turns,last_1y_final_equity,last_1y_start,last_1y_end,last_90d_total_return_pct,last_90d_cagr_pct,last_90d_max_drawdown_pct,last_90d_daily_sharpe,last_90d_trade_count,last_90d_win_rate_pct,last_90d_profit_factor,last_90d_avg_trade_return_pct,last_90d_median_trade_return_pct,last_90d_avg_trade_pnl,last_90d_avg_hold_minutes,last_90d_avg_bars_held,last_90d_exposure_pct,last_90d_profitable_days_pct,last_90d_avg_trades_per_day,last_90d_dark_red_turns,last_90d_eligible_dark_red_turns,last_90d_eligible_dark_red_share_pct,last_90d_dark_green_turns,last_90d_final_equity,last_90d_start,last_90d_end,ytd_2026_total_return_pct,ytd_2026_cagr_pct,ytd_2026_max_drawdown_pct,ytd_2026_daily_sharpe,ytd_2026_trade_count,ytd_2026_win_rate_pct,ytd_2026_profit_factor,ytd_2026_avg_trade_return_pct,ytd_2026_median_trade_return_pct,ytd_2026_avg_trade_pnl,ytd_2026_avg_hold_minutes,ytd_2026_avg_bars_held,ytd_2026_exposure_pct,ytd_2026_profitable_days_pct,ytd_2026_avg_trades_per_day,ytd_2026_dark_red_turns,ytd_2026_eligible_dark_red_turns,ytd_2026_eligible_dark_red_share_pct,ytd_2026_dark_green_turns,ytd_2026_final_equity,ytd_2026_start,ytd_2026_end,full_history_total_return_pct_rank,full_history_daily_sharpe_rank,full_history_max_drawdown_pct_rank
rth_swing_threshold_-0.05,rth,False,-0.05,1.0,-26.531126868441714,-5.9870583224750025,28.496026851422307,-1.6463407396200902,1586,39.91172761664565,0.6997882513464702,-0.019217229843680943,-0.017676624684642706,-4.182081788846424,108.30517023959646,16.26355611601513,5.273444687506388,28.980891719745223,1.2627388535031847,24096,1982,8.22543160690571,25025,18367.21828288957,2021-03-08,2026-03-06,-7.958985677430364,-7.958985677430364,9.511542945969865,-2.5406605702997256,292,34.93150684931507,0.5090346949239785,-0.028183196333057353,-0.01822561371370157,-6.814200066293119,99.17465753424658,15.571917808219178,4.630817802220186,21.03174603174603,1.1587301587301588,5045,342,6.778989098116947,4990,23010.25358064241,2025-03-06,2026-03-06,-0.10363945346312242,-0.10363945346312242,1.7468246997785264,-0.16248374582918906,69,36.231884057971016,0.9648567268977737,-0.0013933502950396095,-0.015247829856468442,-0.3755052661707442,61.30434782608695,15.623188405797102,4.541815883716032,24.59016393442623,1.1311475409836065,1253,77,6.145251396648044,1171,24974.09013663422,2025-12-08,2026-03-06,1.3385164734965427,1.3385164734965427,0.9641925254534223,3.257241281917572,45,44.44444444444444,1.9515960525810452,0.029657293322931346,-0.01020100175150862,7.436202630536314,37.4,14.066666666666666,3.688811188811189,27.27272727272727,1.0227272727272727,902,47,5.210643015521065,826,25334.629118374134,2026-01-02,2026-03-06,1,2,1
rth_swing_threshold_-0.1,rth,False,-0.1,1.0,-36.06540717711757,-8.567782306390004,37.052678835678954,-1.5792043340426067,2889,40.567670474212534,0.7731715475329284,-0.015216236596588191,-0.016684478260098334,-3.120924816296086,113.86569747317411,17.343025268258913,10.243493549772044,36.22611464968153,2.3001592356687897,24096,4094,16.990371845949532,25025,15983.648205720609,2021-03-08,2026-03-06,-13.67744873051735,-13.67744873051735,14.62706014774846,-3.1434960471523703,507,34.51676528599605,0.5566939240821193,-0.028752432694189683,-0.01999800019997222,-6.744304107750175,132.1518737672584,17.00197238658777,8.77889805479173,28.968253968253972,2.011904761904762,5045,708,14.033696729435086,4990,21580.63781737066,2025-03-06,2026-03-06,-4.023616041674238,-4.023616041674238,4.8982662614942,-3.684308275943798,115,32.17391304347826,0.4753104878560754,-0.03545820037204233,-0.020809256210563287,-8.74699139494399,128.7826086956522,18.08695652173913,8.763429534442805,24.59016393442623,1.8852459016393444,1253,166,13.248204309656824,1171,23994.09598958144,2025-12-08,2026-03-06,-0.8132131076236448,-0.8132131076236448,2.353642115467336,-1.0667059351069492,72,37.5,0.8060962995064296,-0.011088188489130624,-0.022013737634446473,-2.8236566236931946,148.88888888888889,15.972222222222221,6.701631701631702,29.545454545454547,1.6363636363636365,902,92,10.199556541019955,826,24796.69672309409,2026-01-02,2026-03-06,2,1,2
rth_swing_threshold_-0.25,rth,False,-0.25,1.0,-65.66941206946395,-19.272464201892227,65.9969307937563,-2.2859376903046744,5623,43.69553619064556,0.7624434868306009,-0.01866322237299916,-0.013342206704003434,-2.9196786443830676,130.4289525164503,19.1497421305353,22.014392901682577,43.07324840764331,4.476910828025478,24096,9843,40.84910358565737,25025,8582.64698263401,2021-03-08,2026-03-06,-21.57214167416298,-21.57214167416298,21.691785064297964,-2.825548426007945,1053,39.88603988603989,0.6716056789922343,-0.022731751558933224,-0.014970173895823002,-5.121591090731951,139.17663817663816,18.745489078822413,20.102861798553825,36.507936507936506,4.178571428571429,5045,1813,35.93657086223984,4990,19606.964581459255,2025-03-06,2026-03-06,-9.05010658069152,-9.05010658069152,9.580527523267769,-5.41310132242988,236,37.28813559322034,0.46389251827503475,-0.03992449476388912,-0.013501558967066174,-9.58697731005457,135.13135593220338,19.53813559322034,19.427006530440277,32.78688524590164,3.8688524590163933,1253,409,32.64166001596169,1171,22737.47335482712,2025-12-08,2026-03-06,-5.245426979006773,-5.245426979006773,5.522627664711277,-3.897344665661764,162,40.74074074074074,0.5712771888937389,-0.032945964508145714,-0.011827014173165784,-8.094794720689471,161.5,19.09259259259259,18.024475524475527,38.63636363636363,3.6818181818181817,902,262,29.046563192904657,826,23688.643255248306,2026-01-02,2026-03-06,3,4,3
rth_swing_threshold_-0.5,rth,False,-0.5,1.0,-72.5747733701442,-22.822371279185738,72.85031624352278,-2.1359152047820302,8187,44.668376694759985,0.8195108008966879,-0.015383713734005494,-0.012340511439623558,-2.216158952306834,130.18504946866983,20.291071210455602,33.96295463373745,43.31210191082803,6.518312101910828,24096,16253,67.45102921646746,25025,6856.306657463951,2021-03-08,2026-03-06,-25.170531677725727,-25.170531677725727,25.68567442295462,-2.6225642808560545,1540,40.714285714285715,0.7479686201231108,-0.018440057727957596,-0.014307528283585835,-4.086125272358072,127.9974025974026,20.18896103896104,31.664120582544047,37.301587301587304,6.111111111111111,5045,3048,60.41625371655104,4990,18707.36708056857,2025-03-06,2026-03-06,-10.758983725418524,-10.758983725418524,11.016242835504308,-5.837958136469401,362,38.67403314917127,0.5682968735479627,-0.03120472838480372,-0.01313118215254816,-7.4302373794326835,111.43370165745857,20.49171270718232,31.25342321466189,32.78688524590164,5.934426229508197,1253,721,57.54189944134078,1171,22310.25406864537,2025-12-08,2026-03-06,-7.665889908711776,-7.665889908711776,7.739274510626681,-5.081652916079664,255,40.0,0.6032727589602029,-0.031004076074434693,-0.012523451860091406,-7.515578341874289,123.08627450980393,20.262745098039215,30.11072261072261,38.63636363636363,5.795454545454546,902,484,53.65853658536586,826,23083.527522822056,2026-01-02,2026-03-06,4,3,4
rth_swing_threshold_-1,rth,False,-1.0,1.0,-82.89897521922481,-29.787375697028175,83.02365813872508,-2.517397066905465,10086,45.211183819155266,0.8171308573645761,-0.017043037011565784,-0.01234134211823279,-2.054803074043843,126.76839183025976,21.000793178663493,43.30423404820804,44.745222929936304,8.030254777070065,24096,21435,88.9566733067729,25025,4275.256195193796,2021-03-08,2026-03-06,-34.47952091838624,-34.47952091838624,34.688170089441584,-3.1515640698167458,1942,41.55509783728115,0.7316341609668618,-0.02135293074963602,-0.015227572457660044,-4.438661292274234,124.25386199794026,21.074150360453142,41.68041552092881,39.285714285714285,7.7063492063492065,5045,4233,83.90485629335977,4990,16380.119770403438,2025-03-06,2026-03-06,-9.563040877216045,-9.563040877216045,9.745544083632463,-4.048894422322307,478,39.9581589958159,0.725520853618751,-0.020752007105396427,-0.019196372236501835,-5.001590416953998,108.9581589958159,20.880753138075313,42.05182220349695,36.0655737704918,7.836065573770492,1253,1046,83.47964884277734,1171,22609.23978069599,2025-12-08,2026-03-06,-5.876828095988018,-5.876828095988018,7.497077409558262,-3.045695634923639,350,41.42857142857143,0.7905176231390412,-0.016985470637233692,-0.017224162567419654,-4.197734354277158,121.80285714285715,20.66,42.13869463869464,40.909090909090914,7.954545454545454,902,744,82.48337028824834,826,23530.792976002995,2026-01-02,2026-03-06,5,5,5
rth_swing_threshold_-4,rth,False,-4.0,1.0,-86.83093319744796,-33.366322111232314,87.19192557574367,-2.531297168151155,11057,45.44632359591209,0.8191061869605674,-0.017804813391397428,-0.012445499671231985,-1.9632570588190277,123.38916523469295,21.317898164058967,48.190051724490424,44.10828025477707,8.803343949044587,24096,24023,99.69704515272244,25025,3292.2667006380098,2021-03-08,2026-03-06,-36.31994594474579,-36.31994594474579,36.67278819056323,-2.6243084552729763,2226,42.81221922731357,0.7760813417827912,-0.01977030273817289,-0.01455211838758963,-4.079059517603975,118.714734950584,21.42138364779874,48.56299012119361,38.88888888888889,8.833333333333334,5045,5009,99.28642220019822,4990,15920.013513813552,2025-03-06,2026-03-06,-12.060717151432632,-12.060717151432632,12.207382784102094,-4.194476591940799,554,41.87725631768953,0.7304598442515254,-0.022873967098030048,-0.01519062719858022,-5.442561891440719,104.48194945848375,21.39350180505415,49.934695597219296,32.78688524590164,9.081967213114755,1253,1246,99.4413407821229,1171,21984.82071214184,2025-12-08,2026-03-06,-7.7349647619496364,-7.7349647619496364,9.630091890106861,-3.4817980983274106,402,43.53233830845771,0.7838353596177866,-0.019650348618917863,-0.012998522884649644,-4.810301468874154,119.16666666666667,21.33084577114428,49.97086247086247,40.909090909090914,9.136363636363637,902,895,99.22394678492239,826,23066.25880951259,2026-01-02,2026-03-06,6,6,6
rth_swing_threshold_-2,rth,False,-2.0,1.0,-87.42817393274186,-33.98274158251535,87.77279466096688,-2.721424912253514,10879,45.35343321996507,0.8141187620998094,-0.018555781333882315,-0.012454806628059423,-2.0091040980959156,124.33734718264546,21.271624230168214,47.31134872119887,43.55095541401274,8.661624203821656,24096,23566,97.80046480743691,25025,3142.9565168145355,2021-03-08,2026-03-06,-40.53679964751409,-40.53679964751409,40.86627689854875,-3.3997093114205263,2168,42.343173431734314,0.7176150463207421,-0.023526838492634195,-0.014814922475953063,-4.674446453818507,119.29381918819188,21.334870848708487,47.1066300030553,38.492063492063494,8.603174603174603,5045,4822,95.57978196233896,4990,14865.800088121478,2025-03-06,2026-03-06,-10.86127410329395,-10.86127410329395,11.009940173854261,-3.972565833285576,540,41.11111111111111,0.7403495005394576,-0.02099285027755512,-0.01591132389523464,-5.028367640413867,106.31666666666666,21.074074074074073,47.946071202864964,32.78688524590164,8.852459016393443,1253,1198,95.61053471667998,1171,22284.681474176512,2025-12-08,2026-03-06,-6.648449102337706,-6.648449102337706,8.518229869982408,-3.028119936067775,390,42.56410256410256,0.8004920456092767,-0.017294625198238118,-0.014379961832633459,-4.261826347652375,121.8,20.953846153846154,47.62237762237762,40.909090909090914,8.863636363636363,902,856,94.90022172949001,826,23337.887724415574,2026-01-02,2026-03-06,7,7,7
rth_intraday_threshold_-0.05,rth,True,-0.05,1.0,-27.5691109636329,-6.254548536960813,29.205388091881712,-2.3851244505228464,1584,39.33080808080808,0.6425079617745998,-0.020244022131392387,-0.018225613713707123,-4.351185442492567,15.734848484848484,15.565656565656566,5.040786702921514,27.46815286624204,1.2611464968152866,24096,1982,8.22543160690571,25025,18107.722259091774,2021-03-08,2026-03-06,-5.996425110998549,-5.996425110998549,8.141074321611208,-3.008156713992389,291,33.33333333333333,0.5420709093668874,-0.021179597948851717,-0.018383596809057323,-5.151567964775386,14.536082474226804,14.460481099656358,4.285568795192994,19.841269841269842,1.1547619047619047,5045,342,6.778989098116947,4990,23500.893722250363,2025-03-06,2026-03-06,-0.4361621630120549,-0.4361621630120549,1.655936031921268,-0.8339022841085808,69,34.78260869565217,0.8399840035387177,-0.006258331641498692,-0.01524782985645734,-1.5802976920726444,14.521739130434783,14.492753623188406,4.213187276174426,22.950819672131146,1.1311475409836065,1253,77,6.145251396648044,1171,24890.959459246988,2025-12-08,2026-03-06,0.767942274087341,0.767942274087341,0.9641925254533557,2.187810484135894,45,42.22222222222222,1.545306236073326,0.017075392466718606,-0.010201001751486416,4.2663459671518975,13.822222222222223,13.822222222222223,3.6247086247086244,25.0,1.0227272727272727,902,47,5.210643015521065,826,25191.985568521835,2026-01-02,2026-03-06,1,1,1
rth_intraday_threshold_-0.1,rth,True,-0.1,1.0,-39.916962699885694,-9.698328026071913,40.990698425050354,-2.58253696728419,2892,40.14522821576764,0.6961431870823064,-0.017488690788472337,-0.017282036498345033,-3.450636471290257,16.68603042876902,16.58091286307054,9.803528714247745,34.87261146496815,2.3025477707006368,24096,4094,16.990371845949532,25025,15020.759325028577,2021-03-08,2026-03-06,-8.83861712874715,-8.83861712874715,10.668780755580498,-3.4317648275893626,506,33.794466403162055,0.6098718182659836,-0.018209005429445445,-0.019998000199983323,-4.36690569602132,15.776679841897232,15.715415019762846,8.098584377227823,26.984126984126984,2.007936507936508,5045,708,14.033696729435086,4990,22790.345717813212,2025-03-06,2026-03-06,-2.027949629812875,-2.027949629812875,3.0967191885817313,-3.3571420730467105,115,31.30434782608696,0.6098439054476179,-0.01774046042556753,-0.02003066859905811,-4.40858615176713,16.63478260869565,16.547826086956523,8.017695386559932,22.950819672131146,1.8852459016393444,1253,166,13.248204309656824,1171,24493.01259254678,2025-12-08,2026-03-06,0.044748183325493684,0.044748183325493684,1.1807748011084862,0.1272906424509675,72,36.11111111111111,1.0159402265528525,0.0006902429196665851,-0.02120034509106028,0.15537563654682648,15.097222222222221,15.097222222222221,6.334498834498834,27.27272727272727,1.6363636363636365,902,92,10.199556541019955,826,25011.18704583137,2026-01-02,2026-03-06,2,2,2
rth_intraday_threshold_-0.25,rth,True,-0.25,1.0,-65.08249338370113,-18.99796890651735,65.6953279620685,-3.310609423005336,5649,43.05186758718357,0.7212411863292086,-0.018448192841061948,-0.014296585852358046,-2.880266126026781,18.296689679589306,18.235970968312976,21.060863165211703,40.68471337579618,4.497611464968153,24096,9843,40.84910358565737,25025,8729.376654074715,2021-03-08,2026-03-06,-18.843469737194418,-18.843469737194418,20.33490256860473,-4.002154027009273,1057,39.26206244087039,0.6295145941712066,-0.019620466798507513,-0.015547745247002087,-4.456828225448065,17.712393566698204,17.6802270577105,19.032488033404622,33.730158730158735,4.194444444444445,5045,1813,35.93657086223984,4990,20289.132565701395,2025-03-06,2026-03-06,-4.1581262155309995,-4.1581262155309995,5.821901901518023,-3.6832399003028757,238,38.23529411764706,0.6490636567444347,-0.01773355349283647,-0.012029624509224401,-4.367779638162811,18.592436974789916,18.550420168067227,18.60122182431009,32.78688524590164,3.901639344262295,1253,409,32.64166001596169,1171,23960.46844611725,2025-12-08,2026-03-06,-1.530197568746905,-1.530197568746905,2.9567039474318157,-1.7188840601721527,163,41.717791411042946,0.8140684227340161,-0.009333575621516422,-0.010436330844887376,-2.3469287864216404,18.300613496932517,18.300613496932517,17.383449883449885,36.36363636363637,3.7045454545454546,902,262,29.046563192904657,826,24617.450607813273,2026-01-02,2026-03-06,3,3,3
rth_intraday_threshold_-0.5,rth,True,-0.5,1.0,-76.82415194778105,-25.3808195938813,77.0124754075107,-3.422957047512373,8245,43.966040024257126,0.7625869120047064,-0.01751219624136094,-0.013529524024935569,-2.3294163719763805,19.428502122498482,19.384596725288052,32.67556682272607,40.12738853503185,6.564490445859873,24096,16253,67.45102921646746,25025,5793.962013054739,2021-03-08,2026-03-06,-27.002267611294506,-27.002267611294506,28.084950342003147,-3.9054246230995546,1548,39.85788113695091,0.6698645381179299,-0.020125826627618092,-0.015262558023632078,-4.360831332573402,19.246124031007753,19.223514211886304,30.306548528363376,33.33333333333333,6.142857142857143,5045,3048,60.41625371655104,4990,18249.433097176374,2025-03-06,2026-03-06,-8.25799250600986,-8.25799250600986,8.990754669839873,-5.851411710402492,365,38.63013698630137,0.5947751855938046,-0.023494785080587548,-0.012788770395888438,-5.656159250691686,19.75068493150685,19.720547945205478,30.326522013903517,32.78688524590164,5.983606557377049,1253,721,57.54189944134078,1171,22935.501873497535,2025-12-08,2026-03-06,-5.346326901766307,-5.346326901766307,5.712359024583069,-4.856159341341273,256,40.234375,0.6532861674808708,-0.02132694862032134,-0.0120296245092133,-5.221022365006164,19.5625,19.5625,29.184149184149184,36.36363636363637,5.818181818181818,902,484,53.65853658536586,826,23663.418274558422,2026-01-02,2026-03-06,4,4,4
rth_intraday_threshold_-1,rth,True,-1.0,1.0,-85.98410002258913,-32.52954167354777,86.13516697069625,-3.790804167250195,10192,44.525117739403456,0.7699301481086576,-0.019023551313614058,-0.013539710108845249,-2.1091076339920805,20.13471350078493,20.099195447409734,41.880686116165435,40.68471337579618,8.114649681528663,24096,21435,88.9566733067729,25025,3503.9749943527163,2021-03-08,2026-03-06,-38.232550147211455,-38.232550147211455,38.82671700076463,-4.727987254993065,1960,40.51020408163265,0.6514816500986057,-0.024339219697432704,-0.017667651469477352,-4.8766007840830925,20.16734693877551,20.149489795918367,40.221000101843366,30.952380952380953,7.777777777777778,5045,4233,83.90485629335977,4990,15441.862463197138,2025-03-06,2026-03-06,-9.732996065402899,-9.732996065402899,10.739818277022051,-5.38328216821479,482,39.211618257261414,0.6742601528489433,-0.02108745936147868,-0.019998000199994426,-5.04823447375669,20.19709543568465,20.17427385892116,40.969033073520116,27.86885245901639,7.901639344262295,1253,1046,83.47964884277734,1171,22566.750983649275,2025-12-08,2026-03-06,-6.319067884593288,-6.319067884593288,7.068002067791035,-4.449707114294727,352,40.625,0.7328874336520692,-0.01836302644201928,-0.020004875744467077,-4.487974349853186,19.985795454545453,19.985795454545453,40.99650349650349,27.27272727272727,8.0,902,744,82.48337028824834,826,23420.23302885168,2026-01-02,2026-03-06,5,6,5
rth_intraday_threshold_-2,rth,True,-2.0,1.0,-90.40464183668799,-37.4595355998769,90.52579032290629,-3.9436959023309215,11038,44.654828773328504,0.7658481485912323,-0.020938512496388458,-0.013730413319879009,-2.0475775012839277,20.43413661895271,20.40134082261279,46.038885367898104,40.20700636942675,8.788216560509554,24096,23566,97.80046480743691,25025,2398.839540828004,2021-03-08,2026-03-06,-43.742790315512224,-43.742790315512224,44.55745693478441,-4.661857363162083,2193,41.4500683994528,0.652036723910832,-0.025950810862551726,-0.016801146469314077,-4.986638202862771,20.500227998176015,20.484268125854992,45.75007638252368,32.93650793650794,8.702380952380953,5045,4822,95.57978196233896,4990,14064.302421121944,2025-03-06,2026-03-06,-9.599029050763509,-9.599029050763509,10.970261253699931,-4.144229379421093,546,40.84249084249084,0.7334542997616477,-0.01830046127075036,-0.01591132389522354,-4.3951598217781624,20.47069597069597,20.45054945054945,47.044449125763634,32.78688524590164,8.950819672131148,1253,1198,95.61053471667998,1171,22600.242737309123,2025-12-08,2026-03-06,-5.823475249658916,-5.823475249658916,7.243108955307321,-3.277915300730583,393,42.23918575063613,0.7911368344176729,-0.015060302681194149,-0.013626499124563818,-3.704500794948423,20.34096692111959,20.34096692111959,46.58508158508158,36.36363636363637,8.931818181818182,902,856,94.90022172949001,826,23544.13118758527,2026-01-02,2026-03-06,6,7,6
rth_intraday_threshold_-4,rth,True,-4.0,1.0,-90.67676101188546,-37.81879346073572,90.8007610190876,-3.7225268296026077,11254,44.668562288963926,0.7712358612454147,-0.020770835477918585,-0.013904389487923163,-2.0143229298890493,20.5071974409099,20.475031100053315,47.10935743053994,39.96815286624204,8.960191082802547,24096,24023,99.69704515272244,25025,2330.8097470286366,2021-03-08,2026-03-06,-42.51114909454026,-42.51114909454026,43.382346617635484,-3.6973322774246467,2257,41.869738591050066,0.6956909743550923,-0.024215269527118336,-0.015849624530928086,-4.708811375115225,20.626495347806824,20.610988037217545,47.37651492005296,33.730158730158735,8.956349206349206,5045,5009,99.28642220019822,4990,14372.212726364936,2025-03-06,2026-03-06,-11.307779641950955,-11.307779641950955,12.348750442716705,-4.622600003943419,561,41.35472370766489,0.7106864595855882,-0.021179500776977767,-0.015665346233217914,-5.039117487500425,20.816399286987522,20.796791443850267,49.155255951127025,31.147540983606557,9.19672131147541,1253,1246,99.4413407821229,1171,22173.05508951226,2025-12-08,2026-03-06,-7.047407351642687,-7.047407351642687,8.754885858953488,-3.832000698705254,406,43.103448275862064,0.7686184290111736,-0.017759979311707565,-0.013412159536529966,-4.339536546578009,20.726600985221676,20.726600985221676,49.03846153846153,34.090909090909086,9.227272727272727,902,895,99.22394678492239,826,23238.14816208933,2026-01-02,2026-03-06,7,5,7
