session_date,equity,daily_return
2021-03-08,25000.0,0.0
2021-03-09,25000.0,0.0
2021-03-10,24913.47334742335,-0.0034610661030659573
2021-03-11,24913.47334742335,0.0
2021-03-12,24940.59453733687,0.0010886153662843512
2021-03-15,24940.59453733687,0.0
2021-03-16,24868.90558073351,-0.0028743884391384533
2021-03-17,24868.90558073351,0.0
2021-03-18,24868.90558073351,0.0
2021-03-19,24868.90558073351,0.0
2021-03-22,24868.90558073351,0.0
2021-03-23,24868.90558073351,0.0
2021-03-24,24868.90558073351,0.0
2021-03-25,24868.90558073351,0.0
2021-03-26,24868.90558073351,0.0
2021-03-29,24868.90558073351,0.0
2021-03-30,24868.90558073351,0.0
2021-03-31,24868.90558073351,0.0
2021-04-01,24868.90558073351,0.0
2021-04-05,24868.90558073351,0.0
2021-04-06,24768.59687822848,-0.004033498867868968
2021-04-07,24768.59687822848,0.0
2021-04-08,24768.59687822848,0.0
2021-04-09,24768.59687822848,0.0
2021-04-12,24754.48773143633,-0.0005696385169299267
2021-04-13,24754.48773143633,0.0
2021-04-14,24754.48773143633,0.0
2021-04-15,24754.48773143633,0.0
2021-04-16,24754.48773143633,0.0
2021-04-19,24699.772671130366,-0.0022103087286463596
2021-04-20,24699.772671130366,0.0
2021-04-21,24699.772671130366,0.0
2021-04-22,24876.33705882709,0.007148421568393459
2021-04-23,24876.33705882709,0.0
2021-04-26,24876.33705882709,0.0
2021-04-27,24885.85397426441,0.0003825690018115502
2021-04-28,24885.85397426441,0.0
2021-04-29,24885.85397426441,0.0
2021-04-30,24885.85397426441,0.0
2021-05-03,24885.85397426441,0.0
2021-05-04,25029.692937887074,0.005779948872617124
2021-05-05,25029.692937887074,0.0
2021-05-06,25029.692937887074,0.0
2021-05-07,25029.692937887074,0.0
2021-05-10,25102.051187985802,0.0028908964356171296
2021-05-11,25102.051187985802,0.0
2021-05-12,25102.051187985802,0.0
2021-05-13,25102.051187985802,0.0
2021-05-14,25102.051187985802,0.0
2021-05-17,25107.4916318933,0.0002167330417244262
2021-05-18,25026.50522002001,-0.003225587528242535
2021-05-19,25026.50522002001,0.0
2021-05-20,25026.50522002001,0.0
2021-05-21,25026.50522002001,0.0
2021-05-24,25026.50522002001,0.0
2021-05-25,25076.06845095312,0.0019804295684664464
2021-05-26,25076.06845095312,0.0
2021-05-27,25076.06845095312,0.0
2021-05-28,25076.06845095312,0.0
2021-06-01,25076.06845095312,0.0
2021-06-02,25076.06845095312,0.0
2021-06-03,25069.789135088275,-0.0002504107004304146
2021-06-04,25069.789135088275,0.0
2021-06-07,25073.661420090793,0.00015446021431020363
2021-06-08,25073.661420090793,0.0
2021-06-09,25073.661420090793,0.0
2021-06-10,25073.661420090793,0.0
2021-06-11,25073.661420090793,0.0
2021-06-14,25073.661420090793,0.0
2021-06-15,25073.661420090793,0.0
2021-06-16,24936.927498368153,-0.005453288988463423
2021-06-17,24936.927498368153,0.0
2021-06-18,24936.927498368153,0.0
2021-06-21,24936.927498368153,0.0
2021-06-22,24936.927498368153,0.0
2021-06-23,24936.927498368153,0.0
2021-06-24,24936.927498368153,0.0
2021-06-25,24936.927498368153,0.0
2021-06-28,24936.927498368153,0.0
2021-06-29,24936.927498368153,0.0
2021-06-30,24936.927498368153,0.0
2021-07-01,24893.841597811872,-0.0017277950765627326
2021-07-02,24893.841597811872,0.0
2021-07-06,24936.08321147032,0.0016968700267683268
2021-07-07,24936.08321147032,0.0
2021-07-08,24875.507763852627,-0.0024292286444499434
2021-07-09,24875.507763852627,0.0
2021-07-12,24875.507763852627,0.0
2021-07-13,24870.951563994186,-0.00018316007462815254
2021-07-14,24870.951563994186,0.0
2021-07-15,24762.358848289987,-0.004366246921626016
2021-07-16,24762.358848289987,0.0
2021-07-19,24762.358848289987,0.0
2021-07-20,24762.358848289987,0.0
2021-07-21,24762.358848289987,0.0
2021-07-22,24762.358848289987,0.0
2021-07-23,24762.358848289987,0.0
2021-07-26,24762.358848289987,0.0
2021-07-27,24974.19314726315,0.008554689812509286
2021-07-28,24974.19314726315,0.0
2021-07-29,24974.19314726315,0.0
2021-07-30,24974.19314726315,0.0
2021-08-02,24974.19314726315,0.0
2021-08-03,24962.250655350028,-0.0004781933030910679
2021-08-04,24962.250655350028,0.0
2021-08-05,24962.250655350028,0.0
2021-08-06,24962.250655350028,0.0
2021-08-09,24962.250655350028,0.0
2021-08-10,25061.97327715753,0.003994937122631992
2021-08-11,25061.97327715753,0.0
2021-08-12,25061.97327715753,0.0
2021-08-13,25061.97327715753,0.0
2021-08-16,25061.97327715753,0.0
2021-08-17,25061.97327715753,0.0
2021-08-18,25061.97327715753,0.0
2021-08-19,24898.968886813393,-0.00650405251579711
2021-08-20,24898.968886813393,0.0
2021-08-23,24898.968886813393,0.0
2021-08-24,24898.968886813393,0.0
2021-08-25,24898.968886813393,0.0
2021-08-26,24857.959970716878,-0.0016470126246165284
2021-08-27,24857.959970716878,0.0
2021-08-30,24857.959970716878,0.0
2021-08-31,24841.085649469816,-0.0006788296894411072
2021-09-01,24881.721617415024,0.0016358370370206377
2021-09-02,24881.721617415024,0.0
