timeframe_minutes,family,domcycle,leveling,entry_buffer,exit_ratio,side,entry_time,exit_time,entry_price,exit_price,holding_bars,trade_return_pct,pnl_dollars_on_25k
1,breakout,60,5.0,4.0,1.0,short,2021-03-12 09:32:00-05:00,2021-03-12 10:29:00-05:00,313.19,312.28,57,0.25055844694914065,62.639611737285165
1,breakout,60,5.0,4.0,1.0,long,2021-03-16 09:31:00-04:00,2021-03-16 10:29:00-04:00,320.83,323.5,58,0.7922164386123544,198.05410965308857
1,breakout,60,5.0,4.0,1.0,short,2021-03-17 09:31:00-04:00,2021-03-17 10:29:00-04:00,317.54,318.47,58,-0.3328764880015145,-83.21912200037862
1,breakout,60,5.0,4.0,1.0,short,2021-03-25 09:31:00-04:00,2021-03-25 10:29:00-04:00,310.25,310.63,58,-0.16248186946011153,-40.62046736502788
1,breakout,60,5.0,4.0,1.0,long,2021-03-26 09:49:00-04:00,2021-03-26 10:29:00-04:00,312.54,312.67,40,0.0015946758814955667,0.39866897037389165
1,breakout,60,5.0,4.0,1.0,short,2021-03-30 10:22:00-04:00,2021-03-30 10:29:00-04:00,311.645,312.6518,7,-0.36305989186414145,-90.76497296603536
1,breakout,60,5.0,4.0,1.0,long,2021-04-01 09:32:00-04:00,2021-04-01 10:26:00-04:00,323.35,324.21,54,0.22596567187258113,56.49141796814528
1,breakout,60,5.0,4.0,1.0,short,2021-04-06 10:12:00-04:00,2021-04-06 10:29:00-04:00,331.27,331.23,17,-0.027925257342968877,-6.98131433574222
1,breakout,60,5.0,4.0,1.0,long,2021-04-08 09:32:00-04:00,2021-04-08 10:29:00-04:00,334.74,334.07,57,-0.2401553444464399,-60.03883611160998
1,breakout,60,5.0,4.0,1.0,long,2021-04-13 09:33:00-04:00,2021-04-13 10:23:00-04:00,338.28,338.8698,50,0.13435260730755963,33.58815182688991
1,breakout,60,5.0,4.0,1.0,short,2021-04-14 10:26:00-04:00,2021-04-14 10:29:00-04:00,339.48,339.32,3,0.007130906091674694,1.7827265229186735
1,breakout,60,5.0,4.0,1.0,short,2021-04-19 10:05:00-04:00,2021-04-19 10:29:00-04:00,340.21,339.52,24,0.1628159078216407,40.70397695541018
1,breakout,60,5.0,4.0,1.0,short,2021-04-21 09:33:00-04:00,2021-04-21 10:24:00-04:00,334.85,336.3301,51,-0.4820188143944959,-120.50470359862398
1,breakout,60,5.0,4.0,1.0,long,2021-04-21 10:26:00-04:00,2021-04-21 10:29:00-04:00,336.71,336.8,3,-0.013270767128963324,-3.3176917822408307
1,breakout,60,5.0,4.0,1.0,long,2021-04-26 09:32:00-04:00,2021-04-26 10:29:00-04:00,339.61,340.1501,57,0.11903536409409558,29.758841023523896
1,breakout,60,5.0,4.0,1.0,long,2021-04-27 09:33:00-04:00,2021-04-27 09:52:00-04:00,341.64,340.08,19,-0.4966210045662156,-124.1552511415539
1,breakout,60,5.0,4.0,1.0,short,2021-04-27 10:01:00-04:00,2021-04-27 10:29:00-04:00,339.74,340.305,28,-0.20630364396303943,-51.57591099075986
1,breakout,60,5.0,4.0,1.0,short,2021-04-28 09:34:00-04:00,2021-04-28 10:29:00-04:00,338.93,340.04,55,-0.36750125394624966,-91.8753134865624
1,breakout,60,5.0,4.0,1.0,short,2021-04-30 09:32:00-04:00,2021-04-30 10:29:00-04:00,338.04,339.98,57,-0.6138965802863483,-153.47414507158706
1,breakout,60,5.0,4.0,1.0,long,2021-05-03 10:16:00-04:00,2021-05-03 10:29:00-04:00,339.84,339.46,13,-0.15181732580037852,-37.95433145009463
1,breakout,60,5.0,4.0,1.0,short,2021-05-04 09:32:00-04:00,2021-05-04 10:29:00-04:00,332.34,330.2101,57,0.6008798218691558,150.21995546728894
1,breakout,60,5.0,4.0,1.0,long,2021-05-07 09:31:00-04:00,2021-05-07 10:29:00-04:00,333.35,335.88,58,0.7189620518974049,179.74051297435125
1,breakout,60,5.0,4.0,1.0,short,2021-05-10 09:33:00-04:00,2021-05-10 10:29:00-04:00,331.19,329.5,56,0.47028110752135976,117.57027688033995
1,breakout,60,5.0,4.0,1.0,short,2021-05-11 09:31:00-04:00,2021-05-11 10:29:00-04:00,320.22,321.09,58,-0.31168821435261673,-77.92205358815418
1,breakout,60,5.0,4.0,1.0,long,2021-05-12 09:48:00-04:00,2021-05-12 10:29:00-04:00,322.43,319.58,41,-0.9239127872716678,-230.97819681791697
1,breakout,60,5.0,4.0,1.0,long,2021-05-13 10:00:00-04:00,2021-05-13 10:29:00-04:00,321.3,321.33,29,-0.03066293183940246,-7.665732959850616
1,breakout,60,5.0,4.0,1.0,long,2021-05-14 09:33:00-04:00,2021-05-14 10:29:00-04:00,323.11,324.01,56,0.23854291108291295,59.63572777072824
1,breakout,60,5.0,4.0,1.0,short,2021-05-17 10:01:00-04:00,2021-05-17 10:29:00-04:00,323.13,323.78,28,-0.24115742889856848,-60.289357224642124
1,breakout,60,5.0,4.0,1.0,short,2021-05-19 09:31:00-04:00,2021-05-19 10:29:00-04:00,317.33,319.26,58,-0.648199665962883,-162.04991649072076
1,breakout,60,5.0,4.0,1.0,long,2021-05-20 09:31:00-04:00,2021-05-20 10:29:00-04:00,324.78,327.24,58,0.7174358026972261,179.35895067430653
1,breakout,60,5.0,4.0,1.0,long,2021-05-21 09:32:00-04:00,2021-05-21 10:19:00-04:00,330.16,328.72,47,-0.47615216864550947,-119.03804216137736
1,breakout,60,5.0,4.0,1.0,long,2021-05-25 09:33:00-04:00,2021-05-25 10:20:00-04:00,334.46,332.97,47,-0.4854942295042619,-121.37355737606548
1,breakout,60,5.0,4.0,1.0,short,2021-05-27 09:49:00-04:00,2021-05-27 10:17:00-04:00,332.8413,333.96,28,-0.37610612625296636,-94.02653156324159
1,breakout,60,5.0,4.0,1.0,long,2021-05-28 09:41:00-04:00,2021-05-28 10:27:00-04:00,334.81,334.025,46,-0.27446133628028946,-68.61533407007236
1,breakout,60,5.0,4.0,1.0,short,2021-06-01 10:13:00-04:00,2021-06-01 10:29:00-04:00,333.46,333.172,16,0.04636718047140279,11.591795117850697
1,breakout,60,5.0,4.0,1.0,short,2021-06-03 09:33:00-04:00,2021-06-03 10:29:00-04:00,330.64,329.59,56,0.27756593273651875,69.3914831841297
1,breakout,60,5.0,4.0,1.0,long,2021-06-04 09:32:00-04:00,2021-06-04 10:29:00-04:00,332.59,334.63,57,0.5733678102167916,143.34195255419792
1,breakout,60,5.0,4.0,1.0,long,2021-06-08 09:33:00-04:00,2021-06-08 10:29:00-04:00,338.24,337.14,56,-0.365212866603597,-91.30321665089924
1,breakout,60,5.0,4.0,1.0,long,2021-06-17 10:21:00-04:00,2021-06-17 10:29:00-04:00,343.37,343.76,8,0.07358010309578948,18.39502577394737
1,breakout,60,5.0,4.0,1.0,short,2021-06-21 09:35:00-04:00,2021-06-21 10:29:00-04:00,340.97,342.1401,54,-0.38316802064697786,-95.79200516174446
1,breakout,60,5.0,4.0,1.0,long,2021-06-22 09:33:00-04:00,2021-06-22 10:29:00-04:00,344.7601,345.3172,56,0.1215906249011978,30.39765622529945
1,breakout,60,5.0,4.0,1.0,long,2021-06-23 09:32:00-04:00,2021-06-23 10:29:00-04:00,348.0807,348.56,57,0.09769795337690294,24.424488344225736
1,breakout,60,5.0,4.0,1.0,short,2021-06-25 09:32:00-04:00,2021-06-25 10:29:00-04:00,350.3399,350.16,57,0.011350131686389575,2.837532921597394
1,breakout,60,5.0,4.0,1.0,short,2021-07-01 10:18:00-04:00,2021-07-01 10:29:00-04:00,353.95,354.2,11,-0.11063144511936236,-27.657861279840592
1,breakout,60,5.0,4.0,1.0,long,2021-07-02 09:32:00-04:00,2021-07-02 10:29:00-04:00,356.62,356.9899,57,0.06372385171890653,15.93096292972663
1,breakout,60,5.0,4.0,1.0,long,2021-07-06 09:33:00-04:00,2021-07-06 10:24:00-04:00,359.88,359.72,51,-0.08445926419917034,-21.114816049792587
1,breakout,60,5.0,4.0,1.0,short,2021-07-07 10:04:00-04:00,2021-07-07 10:29:00-04:00,360.79,360.47,25,0.048694254275334393,12.173563568833599
1,breakout,60,5.0,4.0,1.0,short,2021-07-14 10:27:00-04:00,2021-07-14 10:29:00-04:00,364.65,364.46,2,0.012104757987114778,3.0261894967786946
1,breakout,60,5.0,4.0,1.0,short,2021-07-19 09:32:00-04:00,2021-07-19 10:29:00-04:00,353.511,353.59,57,-0.06234725369223422,-15.586813423058556
1,breakout,60,5.0,4.0,1.0,long,2021-07-20 09:31:00-04:00,2021-07-20 10:29:00-04:00,354.99,355.64,58,0.14310374940138096,35.775937350345245
