timeframe_minutes,family,domcycle,leveling,entry_buffer,exit_ratio,final_equity,total_return_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_rate_pct,avg_trade_return_pct,avg_win_pct,avg_loss_pct,avg_holding_bars,long_trade_count,short_trade_count,long_avg_trade_return_pct,short_avg_trade_return_pct,positive_days_pct,positive_years,worst_year_return_pct,best_year_return_pct,avg_low_band,avg_high_band,avg_band_width,avg_long_entry_level,avg_long_exit_level,avg_short_entry_level,avg_short_exit_level,rank_in_timeframe
1,mean_reversion,40,5.0,4.0,1.0,3015.2337119343524,-87.93906515226259,88.82065546928052,-3.133049977235296,0.7544294368161844,5264,51.139817629179326,-0.03930900374169886,0.23614305723482146,-0.3276126383252195,57.651025835866264,2686,2578,-0.039714280065580934,-0.03888674920099022,41.76706827309237,0,-44.12025071533529,-8.81933675546672,38.47186400302694,62.69745889589589,24.22559489287367,34.471864003029836,62.69745889589589,66.69745889590023,38.47186400302694,1
1,breakout,40,5.0,4.0,1.0,2803.254472498756,-88.78698211000497,88.85454161203559,-3.1650279259396554,0.7559441168691708,5264,36.797112462006076,-0.040690996258298265,0.3425192570503163,-0.26379837848216553,57.651025835866264,2578,2686,-0.04111325079900602,-0.04028571993441542,37.10843373493976,0,-40.47424210121485,-5.881098606397308,38.47186400302694,62.69745889589589,24.22559489287367,66.69745889590023,38.47186400302694,34.471864003029836,62.69745889589589,2
1,mean_reversion,40,5.0,4.0,0.5,2645.916841857591,-89.41633263256963,89.82389673353835,-4.632379724691263,0.6600873217751745,5822,50.910340089316385,-0.038140132243854014,0.1454823220800185,-0.22857293651816457,27.174166952937135,2985,2837,-0.038630500984677546,-0.0376241820530322,39.51807228915663,0,-45.01075690910884,-8.891305297250604,38.47186400302694,62.69745889589589,24.22559489287367,34.471864003029836,50.5846614494616,66.69745889590023,50.5846614494616,3
1,mean_reversion,40,10.0,4.0,1.0,2150.9447466239644,-91.39622101350415,91.74005146936838,-3.5270048838817183,0.7496254965650668,6489,51.48713206965634,-0.03703362960714095,0.2153534460820507,-0.304894245832557,51.10078594544614,3292,3197,-0.03445650710469589,-0.039687332227736634,39.598393574297184,0,-49.527251868547715,-11.078049712105484,40.70680563833108,60.646295406476774,19.939489768152118,36.70680563832919,60.646295406476774,64.64629540647671,40.70680563833108,4
1,breakout,40,5.0,4.0,0.5,2130.356833341518,-91.47857266663392,91.51209381832294,-5.00461977180642,0.6577111146741854,5822,31.72449330127104,-0.04185986775614428,0.2535394486630863,-0.17911836773761267,27.174166952937135,2837,2985,-0.04237581794696483,-0.041369499015318466,30.522088353413658,0,-47.80501604156092,-6.9057252889105945,38.47186400302694,62.69745889589589,24.22559489287367,66.69745889590023,50.5846614494616,34.471864003029836,50.5846614494616,5
1,mean_reversion,40,5.0,4.0,0.0,2103.6339453106816,-91.58546421875727,91.70387337011951,-9.549712165128916,0.44174322837496494,6810,38.12041116005874,-0.036220091326011394,0.0751844220908342,-0.1048499244608333,6.576064610866373,3557,3253,-0.036311142811544295,-0.036120530879025045,24.016064257028113,0,-44.291969718404474,-6.375214671215536,38.47186400302694,62.69745889589589,24.22559489287367,34.471864003029836,38.47186400302694,66.69745889590023,62.69745889589589,6
1,breakout,40,5.0,2.0,1.0,1810.6806669702223,-92.75727733211912,92.79279726553315,-3.4214361021109827,0.7555560108110655,6469,36.69809862420776,-0.03972901938516217,0.33461976093580204,-0.2567507543013989,58.581388158911736,3200,3269,-0.03581480890017155,-0.043560611172240235,37.18875502008032,0,-44.61458539263637,-8.413940529396369,38.47186400302694,62.69745889589589,24.22559489287367,64.69745889589782,38.47186400302694,36.471864003028664,62.69745889589589,7
1,mean_reversion,30,5.0,4.0,1.0,1755.5964566317216,-92.97761417347311,93.26837977193833,-4.178925139260824,0.7351358057669671,7054,49.85823646158208,-0.036928009832669965,0.20557169365671862,-0.27805649645189656,45.60688970796711,3570,3484,-0.039712778259470255,-0.03407450142747866,38.795180722891565,0,-48.26152427115563,-11.68163287507691,36.95810552003781,64.25046974918932,27.292364229146905,32.95810552003687,64.25046974918932,68.25046974918806,36.95810552003781,8
1,mean_reversion,40,5.0,2.0,1.0,1747.9906670036669,-93.00803733198532,93.39066751194854,-3.629362319562552,0.7436500632349708,6469,50.42510434379348,-0.04027098061483702,0.23167587074643037,-0.31688171623706235,58.581388158911736,3269,3200,-0.03643938882775681,-0.04418519109982449,40.08032128514056,0,-50.183512285276976,-9.668426155834727,38.47186400302694,62.69745889589589,24.22559489287367,36.471864003028664,62.69745889589589,64.69745889589782,38.47186400302694,9
1,mean_reversion,40,10.0,4.0,0.5,1488.633072493126,-94.0454677100275,94.22348891764682,-5.347642542160048,0.6561255186324606,7418,50.99757346993798,-0.03760762066879032,0.14070622969991314,-0.22318156728359756,27.087894311135077,3787,3631,-0.03817016953248653,-0.037020902809569906,36.06425702811245,0,-50.43333838525585,-13.50560053719241,40.70680563833108,60.646295406476774,19.939489768152118,36.70680563832919,50.67655052240308,64.64629540647671,50.67655052240308,10
1,breakout,40,10.0,4.0,1.0,1463.2982985089764,-94.1468068059641,94.17644767649335,-3.9323503014356107,0.7275328953476952,6489,35.24425951610418,-0.04296637039285897,0.3255208684157441,-0.24352094325228124,51.10078594544614,3197,3292,-0.04031266777226025,-0.04554349289530092,34.859437751004016,0,-48.814347989130646,-6.8641094578949025,40.70680563833108,60.646295406476774,19.939489768152118,64.64629540647671,40.70680563833108,36.70680563832919,60.646295406476774,11
