timeframe_minutes,domcycle,family,leveling,entry_buffer,exit_ratio,final_equity,total_return_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_rate_pct,avg_trade_return_pct,avg_holding_bars,long_trade_count,short_trade_count,positive_days_pct,positive_years,worst_year_return_pct,best_year_return_pct,avg_low_band,avg_high_band,avg_band_width,avg_long_entry_level,avg_long_exit_level,avg_short_entry_level,avg_short_exit_level,rank_in_timeframe
1,60,breakout,5.0,4.0,1.0,8902.1880048947,-64.3912479804212,65.47096584725874,-1.5031070061594263,0.8418155707830454,3351,39.18233363175172,-0.029543392394914873,80.49835869889586,1641,1710,41.04417670682731,0,-27.389620261708615,-1.4744488390645702,40.322839371309314,60.76816872415443,20.445329352833085,64.76816872415321,40.322839371309314,36.32283937131331,60.76816872415443,1
2,60,breakout,5.0,4.0,0.5,18551.38404361749,-25.794463825530045,36.969081060665076,-0.529309151604854,0.9205926768456831,1876,38.11300639658848,-0.01457398989309026,36.03304904051173,917,959,34.377510040160644,2,-13.591637600084555,2.923951920639363,40.202857705072645,61.25010530674424,21.047247601665404,65.2501053067445,50.726481505908374,36.202857705070194,50.726481505908374,1
5,60,breakout,5.0,4.0,0.5,27555.439656266735,10.221758625066935,17.418115195248994,0.26276743993416707,1.059022173754564,777,44.78764478764479,0.01518637397788156,34.67052767052767,374,403,25.301204819277107,4,-12.874075503220608,15.019482034616855,40.0297485042213,62.17754669914691,22.147798194927883,66.17754669914851,51.10364760168229,36.029748504221104,51.10364760168229,1
15,48,breakout,20.0,0.0,1.0,35202.35529165183,40.80942116660733,11.782467321398693,0.7063428842153283,1.1661600230384774,900,50.55555555555556,0.041122331512351125,14.76,441,459,33.57429718875502,5,-2.015830436803399,23.599655467377794,44.314555189442764,59.37320429210284,15.058649102660178,59.37320429210284,44.314555189442764,44.314555189442764,59.37320429210284,1
30,16,breakout,5.0,2.0,1.0,34909.393636077504,39.63757454431003,11.519245156336833,0.9693918870992633,1.2704011383832545,636,51.41509433962265,0.05477188777000973,7.2421383647798745,312,324,25.542168674698797,4,-3.4882876180192577,30.255719490870298,34.12992095485356,70.16476654607635,36.03484559122233,72.16476654607595,34.12992095485356,32.12992095485317,70.16476654607635,1
60,18,breakout,10.0,4.0,0.5,33108.81231706413,32.43524926825649,4.9699528252419185,1.2890572419376682,1.660973130836705,297,56.56565656565656,0.09645416723831109,3.3905723905723906,150,147,13.413654618473897,5,-0.34776105046817263,24.823543235008643,37.17875546378356,68.20145615985669,31.02270069607356,72.20145615985689,52.69010581182065,33.17875546378373,52.69010581182065,1
