timeframe_minutes,domcycle,family,leveling,entry_buffer,exit_ratio,final_equity,total_return_pct,max_drawdown_pct,sharpe,profit_factor,trade_count,win_rate_pct,avg_trade_return_pct,avg_holding_bars,long_trade_count,short_trade_count,positive_days_pct,positive_years,worst_year_return_pct,best_year_return_pct,avg_low_band,avg_high_band,avg_band_width,avg_long_entry_level,avg_long_exit_level,avg_short_entry_level,avg_short_exit_level,rank_in_timeframe
1,60,breakout,5.0,4.0,1.0,8902.1880048947,-64.3912479804212,65.47096584725874,-1.5031070061594263,0.8418155707830454,3351,39.18233363175172,-0.029543392394914873,80.49835869889586,1641,1710,41.04417670682731,0,-27.389620261708615,-1.4744488390645702,40.322839371309314,60.76816872415443,20.445329352833085,64.76816872415321,40.322839371309314,36.32283937131331,60.76816872415443,1
1,58,breakout,5.0,4.0,1.0,8487.396219795944,-66.05041512081623,67.24504078263985,-1.6036664085868284,0.8365760913600618,3486,38.84107860011474,-0.029754348858332495,77.92570281124497,1713,1773,40.803212851405625,0,-28.970000449147037,-0.8936975388899933,40.25793621718994,60.84159331060356,20.583657093417077,64.84159331060293,40.25793621718994,36.257936217190384,60.84159331060356,2
1,56,breakout,5.0,4.0,1.0,7983.601066559199,-68.0655957337632,68.73607541056029,-1.650389662254311,0.8354699535313306,3681,38.44064113012769,-0.029835290075100145,75.7000814995925,1796,1885,40.24096385542168,0,-28.288774901521023,-2.178390055611535,40.19325834684053,60.917456986819445,20.724198639980948,64.91745698681964,40.19325834684053,36.193258346840366,60.917456986819445,3
1,54,breakout,5.0,4.0,1.0,7680.360198613828,-69.27855920554468,69.56373677719475,-1.7114632178980882,0.8349661218812534,3849,38.58144972720187,-0.02951595699118056,73.94102364250455,1884,1965,40.401606425702816,1,-33.38241033554577,4.5235813435946115,40.12860540924916,60.9966785432377,20.868073133986293,64.99667854323812,40.12860540924916,36.12860540924699,60.9966785432377,4
1,52,breakout,5.0,4.0,1.0,6251.123209261017,-74.99550716295593,75.22761608634003,-1.9926485873301691,0.8133961949358618,4075,38.012269938650306,-0.03295038690459346,70.49963190184049,1985,2090,38.87550200803213,1,-37.275465811854794,2.823572852431123,40.062561673711905,61.07787606109591,21.01531438738113,65.07787606109433,40.062561673711905,36.06256167371446,61.07787606109591,5
1,50,breakout,5.0,4.0,1.0,5898.702725084788,-76.40518909966086,76.62421238444492,-2.1219208863143226,0.8062752632082859,4087,37.90066063126988,-0.03429624784460347,69.37044286762907,1977,2110,37.911646586345384,0,-35.38320734439418,-2.800884010884464,39.52634649462427,61.58996324860397,22.063616753981446,65.5899632486067,39.52634649462427,35.526346494620626,61.58996324860397,6
1,48,breakout,5.0,4.0,1.0,4454.456456786346,-82.18217417285462,82.2866855914333,-2.493954957475725,0.7801947588662925,4331,37.45093511891018,-0.03884301382873299,66.59616716693604,2109,2222,37.34939759036144,0,-37.26939171046495,-3.825096460661482,39.44186638677976,61.69026778259883,22.2484013958289,65.6902677826011,39.44186638677976,35.44186638677353,61.69026778259883,7
1,46,mean_reversion,5.0,4.0,1.0,3888.2502543106907,-84.44699898275724,85.47423863772224,-2.74988494907042,0.7649827645068054,4593,52.12279555845852,-0.03954960545337816,63.9412148922273,2349,2244,43.53413654618474,0,-42.081375187666104,-8.97067118872349,39.35602082406029,61.795225583170115,22.439204759100832,35.35602082406434,61.795225583170115,65.79522558317193,39.35602082406029,8
1,44,breakout,5.0,4.0,1.0,3362.0344169017553,-86.55186233239299,86.63074310934736,-2.9655232044184867,0.7648989786391405,4907,37.049113511310374,-0.03995184035738021,61.319747299775834,2405,2502,36.70682730923695,0,-39.35466918892045,-5.583534193834364,39.27032796961166,61.90239333403798,22.63206536443112,65.90239333403834,39.27032796961166,35.27032796961255,61.90239333403798,9
1,40,mean_reversion,5.0,4.0,1.0,3015.2337119343524,-87.93906515226259,88.82065546928052,-3.133049977235296,0.7544294368161844,5264,51.139817629179326,-0.03930900374169886,57.651025835866264,2686,2578,41.76706827309237,0,-44.12025071533529,-8.81933675546672,38.47186400302694,62.69745889589589,24.22559489287367,34.471864003029836,62.69745889589589,66.69745889590023,38.47186400302694,10
1,42,mean_reversion,5.0,4.0,1.0,2942.719577398757,-88.22912169040498,88.88742831088466,-3.1913615911216966,0.7510035755247763,5236,51.22230710466005,-0.039977283492867374,58.40488922841864,2660,2576,41.84738955823293,0,-46.42324199985404,-8.313627571019797,39.183947056449185,62.01308127345381,22.829134217003485,35.18394705644663,62.01308127345381,66.01308127345361,39.183947056449185,11
1,38,breakout,5.0,4.0,1.0,2670.43942795582,-89.31824228817672,89.3826008969743,-3.2208176239883595,0.759620321283801,5629,36.84491028601883,-0.0388884364737847,54.97797122046545,2766,2863,36.94779116465863,0,-38.83700205006212,-5.963013491180594,38.35600564967763,62.83837289524463,24.482367245572895,66.83837289524404,38.35600564967763,34.35600564967519,62.83837289524463,12
1,36,mean_reversion,5.0,4.0,1.0,2268.3539836271466,-90.92658406549141,91.51734939023545,-3.4924621410297423,0.7429225325924174,6038,50.84465054653858,-0.0389665772935483,51.94932096720768,3044,2994,40.803212851405625,0,-47.68226084486528,-11.16545967660316,38.23787060303902,62.98412431248997,24.746253709452073,34.23787060304117,62.98412431248997,66.98412431249083,38.23787060303902,13
1,34,mean_reversion,5.0,4.0,1.0,1880.0475076952434,-92.47980996921903,92.95720735542513,-3.8690747167380297,0.7351718904141425,6471,50.208623087621696,-0.03920940875016964,49.45958893524958,3253,3218,39.75903614457831,0,-47.91312552333281,-11.129627144707511,38.11682722922753,63.13070096250421,25.013873733266305,34.11682722923006,63.13070096250421,67.13070096250605,38.11682722922753,14
1,30,mean_reversion,5.0,4.0,1.0,1755.5964566317216,-92.97761417347311,93.26837977193833,-4.178925139260824,0.7351358057669671,7054,49.85823646158208,-0.036928009832669965,45.60688970796711,3570,3484,38.795180722891565,0,-48.26152427115563,-11.68163287507691,36.95810552003781,64.25046974918932,27.292364229146905,32.95810552003687,64.25046974918932,68.25046974918806,36.95810552003781,15
1,32,mean_reversion,5.0,4.0,1.0,1635.2392080388126,-93.45904316784474,93.76157161144579,-4.198260343500863,0.73057644741069,6988,50.243274184315965,-0.03827942705313611,46.84244419004007,3517,3471,39.196787148594375,0,-48.30479619247875,-11.058368819781801,37.99411694318127,63.27888864465903,25.28477170146947,33.99411694318635,63.27888864465903,67.27888864466064,37.99411694318127,16
1,28,mean_reversion,5.0,4.0,1.0,1308.7610372644403,-94.76495585094223,94.99537853180789,-4.571355631500119,0.7227449161035286,7699,49.64281075464346,-0.03763222821122671,42.766333290037664,3895,3804,37.99196787148594,0,-54.53071447217233,-13.062232281687319,36.786108642584075,64.45558465329171,27.669476010705818,32.78610864258578,64.45558465329171,68.45558465329312,36.786108642584075,17
1,26,mean_reversion,5.0,4.0,1.0,999.3771363124924,-96.00249145475003,96.22759713633195,-4.855757328653907,0.7121974727848183,8442,49.12343046671405,-0.03749525180368627,39.7194977493485,4271,4171,36.30522088353413,0,-59.66901207174119,-11.351910662153578,36.61435387355582,64.66192591763388,28.047572044077906,32.614353873554016,64.66192591763388,68.661925917635,36.61435387355582,18
1,24,mean_reversion,5.0,4.0,1.0,878.7191467306362,-96.48512341307746,96.65865686210961,-4.890276816137047,0.7189890431955227,9422,49.49055402250053,-0.034957585315397076,36.428677563150075,4783,4639,35.66265060240964,0,-62.21199694257149,-7.2467728187553355,36.44483058014809,64.87376725493272,28.42893667478223,32.44483058014691,64.87376725493272,68.87376725493195,36.44483058014809,19
1,22,mean_reversion,5.0,4.0,1.0,582.4594679177424,-97.67016212832903,97.77561825535943,-5.577703128301266,0.7048057978810718,10519,49.00655955889343,-0.035222716117018854,33.30734860728206,5343,5176,33.81526104417671,0,-65.42620549527322,-8.367634484611642,36.280851418999895,65.07920239269873,28.798350973700657,32.2808514190004,65.07920239269873,69.07920239269934,36.280851418999895,20
1,20,mean_reversion,5.0,4.0,1.0,556.5098585325195,-97.77396056586993,97.85582683551752,-5.806073119594233,0.7041105183393107,10816,48.724112426035504,-0.03468109883580265,32.139792899408285,5498,5318,33.49397590361446,0,-61.57227204109278,-10.354673326626324,34.793112340425864,66.51630883492774,31.723196494497664,30.793112340426582,66.51630883492774,70.51630883492791,34.793112340425864,21
1,18,mean_reversion,5.0,4.0,1.0,292.8343995495844,-98.82866240180167,98.86719811119515,-6.803343703350345,0.6840966797353638,12321,48.275302329356386,-0.03565188430160269,28.837350864377893,6273,6048,29.477911646586346,0,-64.65757112402855,-13.78448039378507,34.53640137732187,66.82466550359459,32.28826412627257,30.53640137732085,66.82466550359459,70.82466550359307,34.53640137732187,22
